
Wait stablised tot.cpu < 50
time	tot.cpu	usr.cpu	kswapd	rescd	mem.av	mem.fr	mem.sw	mem.pc
0.1	6	0	0	0	293	12	52	285	
0.2	7	0	0	0	293	12	52	285	
0.3	22	0	0	0	292	11	52	285	
0.4	34	0	0	0	292	9	52	287	
0.5	33	0	0	0	292	9	52	288	
0.6	34	0	1	0	291	10	52	286	
0.7	28	0	2	0	292	10	52	286	
0.8	28	0	0	0	292	9	52	287	
0.9	38	0	14	0	292	14	55	282	
1.0	36	0	2	0	292	14	55	283	
1.1	38	0	2	0	293	16	56	282	
1.2	31	0	0	0	293	16	56	282	
1.3	33	0	0	0	293	16	56	282	
1.4	34	0	0	0	293	16	56	282	
1.5	33	0	0	0	293	16	56	282	
1.6	31	0	0	0	293	16	56	282	
1.7	28	0	0	0	293	16	56	282	
1.8	28	0	0	0	293	16	56	282	
1.9	32	0	0	0	293	16	56	282	
2.0	28	0	0	0	293	16	56	282	
2.1	30	0	0	0	293	16	56	282	
2.2	30	0	0	0	293	16	56	282	
2.3	28	0	0	0	293	16	56	282	
2.4	29	0	0	0	293	16	56	282	
2.5	31	0	0	0	293	16	56	282	
2.7	31	0	0	0	293	16	56	282	
2.8	31	0	0	0	293	16	56	282	
2.9	29	0	0	0	293	16	56	282	
3.0	32	0	0	0	293	16	56	282	
3.1	30	0	0	0	293	16	56	282	
3.2	34	0	0	0	293	16	56	282	
 is stablised at 0.1(s)


AUL Launching... "org.tizen.browser"
Wait until usr.cpu CPU usage < 30.0
time	tot.cpu	usr.cpu	kswapd	rescd	mem.av	mem.fr	mem.sw	mem.pc
0.3	79	0	10	1	277	12	61	270	
0.4	98	36	9	0	277	9	62	272	
0.5	100	39	11	0	277	17	65	265	
0.7	99	35	11	0	276	16	68	265	
0.8	97	45	0	0	276	12	68	269	
0.9	99	46	3	0	276	9	68	272	
1.0	99	32	15	0	278	13	71	270	
1.1	86	45	4	0	276	13	72	268	
1.2	90	47	16	0	278	18	74	265	
1.3	75	53	2	0	277	13	75	268	
1.4	74	45	6	0	278	12	75	271	
1.5	92	36	19	0	277	14	77	268	
1.7	99	41	23	0	272	17	82	260	
1.8	90	46	7	0	272	17	83	260	
1.9	90	37	0	0	279	20	83	263	
2.0	90	36	0	0	284	22	83	267	
2.1	91	41	0	0	284	20	83	268	
2.2	93	43	0	0	282	17	83	270	
2.3	97	26	0	0	280	15	83	270	
2.4	99	24	0	0	279	14	83	270	
2.5	96	27	0	0	279	13	83	271	
2.6	96	43	0	0	279	11	83	273	
2.7	94	36	0	0	279	10	83	274	
2.8	81	24	0	0	279	10	83	274	
2.9	81	24	0	0	279	10	83	275	
3.0	77	26	0	0	280	10	83	275	
3.1	79	24	0	0	280	9	83	275	
3.2	79	25	0	0	280	9	83	275	
3.3	80	24	0	0	280	9	83	276	
3.4	80	25	0	0	280	9	83	276	
3.5	83	23	0	0	280	9	83	276	
3.6	79	23	0	0	280	9	83	276	
3.7	78	25	0	0	280	9	83	276	
3.8	80	24	0	0	280	9	83	276	
3.9	80	24	0	0	280	9	83	276	
4.0	81	24	0	0	280	9	83	276	
4.1	83	23	0	0	279	8	83	276	
4.2	79	23	0	0	281	9	83	276	
4.3	79	22	0	0	281	9	83	276	
4.4	79	26	0	0	280	9	83	276	
4.5	90	23	0	0	280	9	83	276	
4.6	79	25	0	0	280	9	83	276	
4.7	78	25	0	0	280	9	83	276	
4.8	81	14	0	0	280	8	83	277	
4.9	89	16	0	0	278	6	83	277	
5.0	92	7	9	0	277	6	84	276	
5.2	62	5	3	0	277	7	85	275	
5.3	84	17	8	0	277	10	86	272	
5.4	77	9	8	0	278	11	88	271	
5.5	98	21	0	0	276	9	88	272	
5.6	83	4	0	0	276	9	88	272	
5.7	70	2	0	0	276	9	88	272	
5.8	62	4	0	0	276	9	88	272	
5.9	60	1	0	0	276	9	88	272	
org.tizen.browser is stablised at 2.8(s)


Sleep for 3000ms
