
Wait stablised tot.cpu < 50
time	tot.cpu	usr.cpu	kswapd	rescd	mem.av	mem.fr	mem.sw	mem.pc
0.1	17	0	0	0	276	7	100	272	
0.2	20	0	0	0	276	7	100	272	
0.3	14	0	0	0	276	7	100	272	
0.4	18	0	0	0	276	7	100	272	
0.5	21	0	0	0	276	7	100	272	
0.6	17	0	0	0	276	7	100	272	
0.7	20	0	0	0	276	7	100	272	
0.8	18	0	0	0	276	7	100	272	
0.9	17	0	0	0	276	7	100	272	
1.0	23	0	0	0	276	7	100	272	
1.1	12	0	0	0	276	7	100	272	
1.2	21	0	0	0	276	7	100	272	
1.3	16	0	0	0	276	7	100	272	
1.4	24	0	0	0	276	7	100	272	
1.5	16	0	0	0	276	7	100	272	
1.6	18	0	0	0	276	7	100	272	
1.7	14	0	0	0	276	7	100	272	
1.8	22	0	0	0	276	7	100	272	
1.9	22	0	0	0	276	7	100	272	
2.0	16	0	0	0	276	7	100	272	
2.1	16	0	0	0	276	7	100	272	
2.2	23	0	0	0	276	7	100	272	
2.3	20	0	0	0	276	7	100	272	
2.4	18	0	0	0	276	7	100	272	
2.6	16	0	0	0	276	7	100	272	
2.7	14	0	0	0	276	7	100	272	
2.8	24	0	0	0	276	7	100	272	
2.9	14	0	0	0	276	7	100	272	
3.0	23	0	0	0	276	7	100	272	
3.1	14	0	0	0	276	7	100	272	
3.2	18	0	0	0	276	7	100	272	
 is stablised at 0.1(s)


AUL Launching... "org.tizen.browser"
Wait until usr.cpu CPU usage < 30.0
time	tot.cpu	usr.cpu	kswapd	rescd	mem.av	mem.fr	mem.sw	mem.pc
0.6	94	0	10	1	262	7	106	257	
0.7	100	41	15	0	262	11	108	254	
0.9	100	41	4	0	262	12	108	253	
1.0	100	48	6	0	262	12	109	253	
1.1	98	59	0	0	262	9	109	255	
1.3	100	52	0	0	262	7	109	257	
1.4	100	52	4	0	261	7	109	257	
1.5	100	43	19	0	262	13	110	252	
1.6	98	57	4	0	263	13	111	252	
1.7	98	50	0	0	263	13	111	252	
1.8	98	52	0	0	263	12	111	254	
1.9	100	61	0	0	261	8	111	255	
2.0	100	52	3	0	257	5	111	255	
2.2	100	52	19	0	257	10	112	249	
2.3	100	65	9	0	256	8	113	250	
2.4	100	42	15	0	256	5	113	253	
2.5	98	47	19	0	255	4	114	253	
2.6	100	27	25	0	254	7	114	250	
2.7	100	41	18	0	261	17	115	247	
2.9	98	65	2	0	261	17	115	247	
3.0	100	69	0	0	260	16	115	247	
3.1	100	39	0	0	266	19	115	250	
3.2	100	46	0	0	266	17	115	251	
3.3	100	50	0	0	266	16	115	253	
3.4	100	64	0	0	265	14	115	254	
3.5	100	57	0	0	265	11	115	256	
3.6	96	37	0	0	263	9	115	257	
3.7	100	31	0	0	263	9	115	257	
3.8	96	27	0	0	262	7	115	258	
3.9	96	50	0	0	262	6	115	258	
4.1	92	44	6	0	260	5	115	258	
4.2	100	31	21	0	260	8	116	254	
4.3	96	44	12	0	261	13	116	251	
4.4	98	45	0	0	259	10	116	252	
4.5	49	24	0	0	259	10	116	252	
4.6	16	0	0	0	259	10	116	252	
4.7	16	2	0	0	259	10	116	252	
4.8	31	16	0	0	259	10	116	252	
4.9	48	32	0	0	259	10	116	252	
5.0	19	2	0	0	259	10	116	252	
5.1	37	12	0	0	259	10	116	252	
5.2	96	40	0	0	257	8	116	252	
5.3	91	15	8	0	255	9	117	249	
5.4	76	6	10	0	257	13	117	247	
5.5	30	10	0	0	257	13	117	247	
5.6	19	2	0	0	257	13	117	247	
5.7	27	8	0	0	257	13	117	247	
5.8	29	10	0	0	257	13	117	247	
5.9	16	2	0	0	257	13	117	247	
6.0	30	8	0	0	257	13	117	247	
6.1	22	4	0	0	257	13	117	247	
6.2	92	35	0	0	258	13	117	247	
6.3	91	28	0	0	257	12	117	248	
6.4	100	34	10	0	256	12	118	247	
6.5	100	52	8	0	256	12	119	246	
6.6	100	53	3	0	255	12	119	246	
6.8	91	39	2	0	255	12	119	246	
6.9	94	49	0	0	255	11	119	246	
7.0	98	49	8	0	254	10	120	246	
7.1	100	46	6	0	253	10	120	246	
7.2	100	36	3	0	253	10	120	246	
7.3	100	47	6	0	250	7	121	245	
7.4	100	38	12	0	244	6	122	241	
7.5	100	37	21	0	237	5	123	236	
7.6	100	35	17	0	233	4	124	232	
7.7	98	24	35	0	233	10	126	226	
7.8	80	14	10	0	235	12	128	225	
7.9	83	17	0	0	233	7	127	229	
8.0	100	48	0	0	233	7	127	229	
8.1	100	40	0	0	232	6	127	229	
8.2	98	42	0	0	232	6	127	229	
8.3	93	52	6	0	231	6	128	228	
8.4	86	35	0	0	237	11	128	229	
8.5	88	12	2	0	234	5	128	232	
8.7	100	11	22	0	232	7	130	227	
8.8	100	2	16	0	241	20	131	223	
8.9	100	10	0	0	238	18	131	223	
9.0	98	27	0	0	241	20	131	223	
9.1	100	56	0	0	241	20	131	223	
9.2	100	35	0	0	241	20	131	224	
9.3	100	35	0	0	241	20	131	224	
9.4	94	27	0	0	238	17	131	224	
9.5	96	29	2	0	228	7	131	224	
9.6	98	15	25	0	225	12	134	216	
9.7	100	23	13	0	221	10	135	214	
9.8	98	19	21	0	216	14	136	204	
9.9	100	24	0	0	211	10	136	204	
10.0	98	30	9	0	205	6	137	202	
10.1	100	20	19	0	204	13	138	195	
10.2	84	18	6	0	204	13	138	194	
10.3	69	10	0	0	204	13	138	194	
10.4	62	2	0	0	204	13	138	194	
10.5	76	14	0	0	206	15	138	194	
10.6	64	6	0	0	208	17	138	194	
10.7	67	6	0	0	210	19	138	194	
10.8	72	16	0	0	210	19	138	194	
10.9	90	27	0	0	212	21	138	195	
11.0	98	36	0	0	211	20	138	195	
11.1	100	33	0	0	208	17	138	195	
11.2	100	42	0	0	211	20	138	195	
11.3	100	43	0	0	207	16	138	195	
11.4	100	30	4	0	203	12	138	195	
11.6	98	30	2	0	200	10	139	195	
11.7	63	22	0	0	200	9	139	195	
11.8	65	4	0	0	200	9	139	195	
11.9	71	10	0	0	200	9	139	195	
12.0	71	10	4	0	201	11	139	194	
12.1	62	6	0	0	202	12	139	194	
12.2	76	8	0	0	202	12	139	194	
12.3	71	8	0	0	202	12	139	194	
12.4	98	40	8	0	200	10	139	194	
12.5	100	29	17	0	194	8	140	190	
