
Wait stablised tot.cpu < 50
time	tot.cpu	usr.cpu	kswapd	rescd	mem.av	mem.fr	mem.sw	mem.pc
0.1	9	0	0	0	282	7	81	275	
0.2	10	0	0	0	282	7	81	275	
0.3	13	0	0	0	282	7	81	275	
0.4	11	0	0	0	282	7	81	275	
0.5	9	0	0	0	282	7	81	275	
0.6	12	0	0	0	282	7	81	275	
0.7	11	0	0	0	282	7	81	275	
0.8	15	0	0	0	282	7	81	275	
0.9	11	0	0	0	282	7	81	275	
1.0	14	0	0	0	282	7	81	275	
1.1	15	0	0	0	282	7	81	275	
1.2	12	0	0	0	282	7	81	275	
1.3	11	0	0	0	282	7	81	275	
1.4	11	0	0	0	282	7	81	275	
1.5	21	0	0	0	282	7	81	275	
1.6	13	0	0	0	282	6	81	275	
1.7	14	0	0	0	282	6	81	275	
1.8	19	0	0	0	282	7	81	275	
1.9	9	0	0	0	282	7	81	275	
2.0	10	0	0	0	282	7	81	275	
2.1	16	0	0	0	282	7	81	275	
2.2	16	0	0	0	282	7	81	275	
2.3	14	0	0	0	282	7	81	275	
2.4	7	0	0	0	282	7	81	275	
2.5	18	0	0	0	282	7	81	275	
2.7	9	0	0	0	282	7	81	275	
2.8	11	0	0	0	282	7	81	275	
2.9	21	0	0	0	282	7	81	275	
3.0	14	0	0	0	282	7	81	275	
3.1	13	0	0	0	282	7	81	275	
3.2	10	0	0	0	282	7	81	275	
 is stablised at 0.1(s)


AUL Launching... "org.tizen.browser"
Wait until usr.cpu CPU usage < 30.0
time	tot.cpu	usr.cpu	kswapd	rescd	mem.av	mem.fr	mem.sw	mem.pc
0.9	95	0	11	0	268	13	89	256	
1.0	100	25	0	0	269	11	89	258	
1.1	98	49	0	0	268	9	89	259	
1.3	100	63	0	0	268	8	89	260	
1.4	100	48	19	0	267	10	90	258	
1.5	98	24	10	0	268	12	91	256	
1.6	98	48	0	0	268	12	91	256	
1.7	100	43	0	0	268	11	91	257	
1.8	96	50	0	0	268	9	91	259	
1.9	100	56	0	0	268	9	91	259	
2.0	98	49	0	0	268	8	91	260	
2.1	98	50	10	0	267	9	92	259	
2.2	100	52	24	0	269	16	94	253	
2.3	98	69	4	0	269	14	94	256	
2.4	100	60	0	0	268	13	94	256	
2.5	100	56	0	0	268	12	94	257	
2.6	100	86	0	0	268	11	94	257	
2.7	98	70	0	0	275	17	94	258	
2.8	98	70	0	0	275	17	94	258	
2.9	98	60	0	0	272	12	94	260	
3.0	96	53	0	0	269	5	94	264	
3.1	100	36	21	0	265	6	96	259	
3.2	100	35	27	0	270	15	98	255	
3.3	98	44	12	0	271	15	99	256	
3.5	100	54	4	0	271	14	100	257	
3.6	100	48	0	0	271	14	100	258	
3.7	98	42	0	0	269	11	100	259	
3.8	100	56	0	0	269	10	100	259	
3.9	100	63	0	0	270	11	100	259	
4.0	96	58	0	0	270	10	100	260	
4.1	100	48	0	0	269	10	100	260	
4.2	92	58	0	0	269	9	100	260	
4.3	96	53	0	0	269	8	100	261	
4.4	100	42	8	0	266	4	100	262	
4.5	100	28	28	0	266	6	101	260	
4.6	98	30	25	0	266	7	101	260	
4.7	67	16	31	0	268	10	103	259	
4.8	18	0	0	0	268	10	103	259	
4.9	38	28	0	0	268	10	103	259	
5.0	32	18	0	0	268	9	103	259	
5.1	16	0	0	0	268	9	103	259	
5.2	51	30	0	0	268	9	103	259	
5.3	62	17	0	0	268	10	103	259	
5.4	82	16	0	0	268	9	103	259	
5.5	65	4	0	0	267	8	103	259	
5.6	38	20	0	0	267	8	103	259	
5.7	53	21	0	0	267	8	103	259	
5.8	61	4	0	0	266	7	103	259	
5.9	76	16	0	0	266	7	103	259	
6.0	13	4	0	0	266	7	103	259	
6.1	25	8	0	0	266	7	103	259	
6.2	21	9	0	0	266	7	103	259	
6.3	38	10	0	0	266	6	103	259	
6.4	48	18	0	0	266	6	103	259	
6.5	96	51	12	0	264	5	104	259	
6.6	100	58	12	0	264	7	105	258	
6.7	94	49	0	0	264	6	105	258	
6.8	98	31	14	0	262	5	105	257	
6.9	100	19	15	0	261	4	107	257	
7.1	100	21	19	0	261	7	108	255	
7.2	100	32	8	0	262	8	109	254	
7.3	100	71	0	0	261	7	109	254	
7.4	98	67	0	0	260	6	109	254	
7.5	90	60	0	0	260	6	109	254	
7.6	88	46	0	0	259	5	109	255	
7.7	84	20	20	0	258	7	110	252	
7.8	100	33	25	0	259	12	112	247	
7.9	86	31	8	0	259	13	112	247	
8.0	83	21	0	0	259	13	112	247	
8.1	94	32	0	0	259	13	112	247	
8.2	94	38	0	0	259	13	112	247	
8.3	87	37	0	0	259	12	112	247	
8.4	94	44	0	0	259	12	112	248	
8.5	100	42	6	0	258	11	113	247	
8.6	98	38	9	0	259	12	113	247	
8.7	100	38	4	0	258	11	114	247	
8.8	100	40	2	0	258	11	114	248	
8.9	100	42	10	0	257	11	114	247	
9.0	88	4	12	0	249	5	115	244	
9.1	100	8	6	0	247	10	115	237	
9.2	98	12	6	0	254	19	115	235	
9.3	100	22	2	0	252	18	115	235	
9.4	100	22	8	0	251	17	116	234	
9.5	100	25	2	0	251	18	116	234	
9.6	100	46	4	0	251	18	116	233	
9.7	100	52	0	0	251	19	116	233	
9.8	100	31	0	0	240	7	116	233	
9.9	98	29	2	0	236	6	116	230	
10.0	100	26	30	0	228	10	118	218	
10.1	100	32	8	0	223	6	118	218	
10.2	94	25	28	0	223	11	120	213	
10.3	88	14	16	0	224	16	121	209	
10.4	82	18	0	0	224	16	121	209	
10.6	90	29	0	0	224	15	121	210	
10.7	63	2	0	0	224	15	121	210	
10.8	73	10	0	0	225	15	121	210	
10.9	68	8	0	0	228	19	121	210	
11.0	71	12	0	0	232	22	121	210	
11.1	89	13	0	0	233	24	121	210	
11.2	70	13	0	0	237	28	121	210	
11.3	100	40	0	0	237	28	121	210	
11.4	100	35	0	0	237	28	121	210	
11.5	61	6	0	0	237	28	121	210	
11.6	67	8	0	0	237	28	121	210	
11.7	69	6	0	0	237	28	121	210	
11.8	85	13	0	0	233	24	121	210	
11.9	100	30	0	0	231	22	121	210	
12.0	92	27	0	0	228	19	121	210	
12.1	92	36	0	0	217	7	121	210	
12.2	100	24	18	0	212	6	123	206	
12.3	98	25	36	0	211	14	126	198	
12.4	92	24	20	0	212	15	128	198	
12.5	61	2	0	0	212	15	128	198	
12.6	72	10	0	0	212	15	128	198	
12.7	74	8	0	0	212	15	128	198	
12.8	81	21	0	0	212	15	128	198	
12.9	100	33	0	0	213	16	128	198	
13.0	100	36	0	0	215	18	128	198	
13.1	100	30	0	0	216	19	128	198	
13.2	100	50	0	0	216	19	128	198	
13.4	100	58	0	0	215	18	128	198	
13.5	96	51	0	0	210	13	128	198	
13.6	98	42	9	0	209	12	129	197	
13.7	76	20	0	0	208	12	129	197	
13.8	86	24	8	0	209	12	129	197	
13.9	92	22	12	0	209	12	131	198	
14.0	91	15	15	0	208	12	132	197	
14.1	62	8	0	0	208	11	132	197	
14.2	94	4	37	0	207	11	135	197	
14.3	92	10	33	0	206	11	138	196	
14.4	72	13	6	0	207	12	138	196	
14.5	92	18	12	0	207	13	139	195	
14.6	86	12	20	0	217	25	139	193	
14.7	100	2	38	0	217	38	139	182	
14.8	100	12	37	0	213	34	139	182	
14.9	100	15	35	0	210	31	139	182	
15.0	100	12	36	0	208	29	139	182	
15.1	100	8	42	0	208	28	139	183	
15.2	100	15	27	0	208	28	139	183	
15.3	98	29	15	0	207	28	140	182	
15.4	60	38	6	0	207	28	141	182	
15.5	67	6	0	0	206	27	141	182	
15.6	69	9	9	0	206	27	142	182	
15.7	69	8	2	0	205	26	142	182	
15.8	65	7	0	0	205	26	142	182	
15.9	76	13	2	0	236	57	142	182	
16.0	80	34	0	0	236	57	142	182	
16.1	86	40	0	0	236	57	142	182	
16.3	70	9	0	0	236	57	142	182	
16.4	88	33	0	0	236	56	142	183	
16.5	72	10	0	0	235	56	142	183	
16.6	70	14	0	0	235	55	142	183	
16.7	60	2	0	0	235	55	142	183	
16.8	67	16	0	0	234	54	142	183	
16.9	67	8	0	0	234	53	142	184	
17.0	78	20	0	0	233	52	142	184	
17.1	70	9	0	0	233	52	142	184	
17.2	71	9	0	0	232	51	142	184	
17.3	100	38	0	0	232	51	142	184	
17.4	100	40	0	0	231	51	142	184	
17.5	85	48	0	0	231	49	142	185	
17.6	88	36	0	0	230	45	142	188	
17.7	66	2	0	0	228	40	142	192	
17.8	58	22	0	0	228	38	142	193	
17.9	73	18	0	0	226	36	142	193	
18.0	69	2	0	0	226	36	142	193	
18.1	71	10	0	0	225	35	142	193	
18.2	65	12	0	0	225	34	142	193	
18.3	63	2	0	0	223	33	142	193	
18.4	70	9	0	0	223	32	142	194	
18.5	70	4	0	0	222	32	142	194	
18.6	82	12	0	0	220	29	142	194	
18.7	83	12	0	0	218	26	142	195	
18.8	82	2	0	0	212	17	141	199	
18.9	87	0	0	0	212	16	141	199	
19.0	92	0	0	0	211	13	141	202	
19.1	84	2	0	0	212	9	141	206	
19.3	96	6	0	0	211	7	141	208	
19.4	100	26	0	0	218	13	141	208	
19.5	100	20	0	0	218	12	141	208	
19.6	100	16	0	0	215	10	141	209	
19.7	100	20	0	0	211	5	141	210	
19.8	98	29	29	0	212	7	144	209	
19.9	93	24	7	0	210	5	145	208	
20.0	100	37	22	0	209	6	148	206	
20.1	100	19	42	0	209	11	152	201	
20.2	100	29	14	0	208	10	154	202	
20.3	100	28	18	0	200	4	157	199	
20.4	100	16	37	0	198	7	162	194	
20.6	100	6	35	0	198	11	167	190	
20.7	100	13	2	0	196	9	167	191	
20.8	100	4	31	0	197	11	171	189	
20.9	100	22	4	0	197	10	171	190	
21.0	100	13	2	0	197	10	171	190	
21.1	100	25	2	0	196	10	172	190	
21.2	94	12	4	0	196	9	172	190	
21.3	82	0	32	0	196	11	174	188	
21.4	63	0	0	0	193	8	174	188	
21.5	80	0	22	0	203	20	177	186	
21.6	68	13	0	0	225	40	177	188	
21.7	64	0	0	0	225	40	177	188	
21.8	63	2	0	0	225	40	177	188	
21.9	87	23	0	0	222	37	177	188	
22.0	100	25	0	0	219	34	177	188	
22.1	100	38	0	0	215	29	177	189	
22.2	100	42	0	0	211	26	177	189	
22.3	98	40	0	0	211	25	177	189	
22.4	94	36	0	0	216	31	177	189	
22.5	60	0	0	0	216	31	177	189	
22.6	78	22	0	0	223	37	177	189	
22.7	60	2	0	0	223	37	177	189	
22.8	62	0	0	0	223	37	177	189	
22.9	55	2	0	0	223	37	177	189	
23.0	60	2	0	0	223	37	177	189	
23.1	67	4	0	0	222	37	177	189	
23.2	76	12	0	0	218	33	177	189	
23.3	58	0	0	0	213	27	177	189	
23.4	58	0	0	0	209	23	177	189	
23.5	54	0	0	0	208	23	177	189	
23.6	61	0	0	0	220	35	177	189	
23.7	61	0	0	0	220	34	177	189	
23.9	57	2	0	0	220	34	177	189	
24.0	67	12	0	0	220	34	177	189	
24.1	62	4	0	0	220	34	177	189	
24.2	69	6	0	0	220	34	177	189	
24.3	82	25	0	0	225	39	177	189	
24.4	61	4	0	0	225	39	177	189	
24.5	74	2	0	0	225	38	177	190	
24.6	60	0	0	0	225	38	177	190	
24.7	63	2	0	0	225	38	177	190	
24.8	84	22	0	0	224	37	177	190	
24.9	76	4	0	0	224	36	177	191	
25.0	73	10	0	0	223	36	177	191	
