
Wait stablised tot.cpu < 50
time	tot.cpu	usr.cpu	kswapd	rescd	mem.av	mem.fr	mem.sw	mem.pc
0.1	18	0	0	0	308	16	70	291	
0.2	18	0	0	0	308	16	70	291	
0.3	14	0	0	0	308	16	70	291	
0.4	11	0	0	0	308	16	70	291	
0.5	21	0	0	0	308	16	70	291	
0.6	14	0	0	0	308	16	70	291	
0.7	15	0	0	0	308	16	70	291	
0.8	16	0	0	0	308	16	70	291	
0.9	16	0	0	0	308	16	70	291	
1.0	17	0	0	0	308	16	70	291	
1.1	16	0	0	0	308	16	70	291	
1.2	21	0	0	0	308	16	70	291	
1.3	12	0	0	0	308	16	70	291	
1.4	14	0	0	0	308	16	70	291	
1.5	13	0	0	0	308	16	70	291	
1.6	16	0	0	0	308	16	70	291	
1.7	12	0	0	0	308	16	70	291	
1.8	17	0	0	0	308	16	70	291	
1.9	12	0	0	0	308	16	70	291	
2.0	25	0	0	0	308	16	70	291	
2.1	20	0	0	0	308	16	70	291	
2.2	14	0	0	0	308	16	70	291	
2.3	12	0	0	0	308	16	70	291	
2.4	18	0	0	0	308	16	70	291	
2.5	11	0	0	0	308	16	70	291	
2.7	14	0	0	0	308	16	70	291	
2.8	15	0	0	0	308	16	70	291	
2.9	9	0	0	0	308	16	70	291	
3.0	14	0	0	0	308	16	70	291	
3.1	11	0	0	0	308	16	70	291	
3.2	24	0	0	0	308	16	70	291	
 is stablised at 0.1(s)


AUL Launching... "org.tizen.browser"
Wait until usr.cpu CPU usage < 30.0
time	tot.cpu	usr.cpu	kswapd	rescd	mem.av	mem.fr	mem.sw	mem.pc
0.2	87	0	9	2	294	8	71	285	
0.4	100	21	12	0	292	9	72	282	
0.5	100	19	21	0	292	11	73	281	
0.6	100	20	14	0	291	11	74	280	
0.8	100	34	13	0	291	13	74	278	
1.0	100	35	13	0	291	14	76	276	
1.1	99	44	3	0	291	13	76	278	
1.2	100	67	0	0	291	10	76	280	
1.3	100	57	9	0	291	10	76	281	
1.5	100	34	13	0	292	13	79	278	
1.7	97	44	15	0	293	18	80	275	
1.8	100	63	0	0	293	17	80	276	
1.9	100	63	0	0	292	16	80	276	
2.0	100	47	0	0	292	16	80	276	
2.1	100	56	0	0	292	14	80	278	
2.2	98	66	5	0	292	12	80	280	
2.3	98	37	12	0	291	15	81	276	
2.4	100	40	6	0	291	19	81	273	
2.6	100	38	2	0	292	18	81	274	
2.7	100	64	3	0	292	19	82	273	
2.8	98	67	0	0	292	18	82	274	
2.9	100	47	0	0	284	7	82	277	
3.0	100	43	0	0	289	11	82	277	
3.1	98	51	0	0	295	16	82	278	
3.2	100	58	0	0	293	14	82	280	
3.3	97	51	0	0	292	10	82	282	
3.4	98	54	0	0	290	8	82	283	
3.5	100	54	0	0	290	7	82	283	
3.6	100	46	4	0	287	5	82	282	
3.7	96	33	10	0	289	11	82	279	
3.8	98	35	4	0	289	13	83	276	
3.9	96	50	0	0	289	13	83	276	
4.0	96	39	4	0	289	13	83	276	
4.1	100	44	4	0	288	12	83	276	
4.2	92	51	2	0	288	13	83	275	
4.3	94	58	0	0	288	13	83	275	
4.5	100	59	0	0	288	12	83	276	
4.6	98	47	0	0	286	10	83	276	
4.7	77	15	0	0	284	9	83	276	
4.8	54	8	0	0	285	9	83	276	
4.9	16	4	0	0	285	9	83	276	
5.0	22	6	0	0	285	9	83	276	
5.1	27	10	0	0	285	9	83	276	
5.2	18	2	0	0	285	9	83	276	
5.3	23	8	0	0	285	9	83	276	
5.4	21	6	0	0	286	10	83	276	
5.5	51	14	0	0	286	10	83	276	
5.6	90	42	0	0	286	9	83	276	
5.7	90	20	0	0	284	8	83	276	
5.8	90	44	8	0	284	13	84	271	
5.9	70	36	2	0	283	12	84	271	
6.0	70	23	2	0	283	12	84	271	
6.1	94	52	4	0	283	12	84	271	
6.2	100	46	2	0	282	12	84	270	
6.3	96	44	0	0	282	11	84	271	
6.4	100	55	0	0	279	8	84	271	
6.5	98	48	0	0	278	7	84	271	
6.6	100	52	8	0	276	6	85	269	
6.7	94	46	9	0	273	8	85	266	
6.8	100	29	14	0	264	7	86	257	
7.0	98	31	17	0	258	4	87	254	
7.1	100	32	20	0	259	11	89	248	
7.2	100	25	10	0	259	10	90	249	
7.3	100	31	16	0	259	13	92	246	
7.4	100	37	6	0	260	15	93	245	
7.6	100	24	18	0	260	15	95	245	
7.7	98	41	4	0	260	15	95	246	
7.8	98	24	8	0	263	17	96	246	
7.9	100	17	6	0	265	20	97	246	
8.0	100	33	2	0	270	25	97	246	
8.1	100	33	0	0	270	24	97	246	
