
Wait stablised tot.cpu < 50
time	tot.cpu	usr.cpu	kswapd	rescd	mem.av	mem.fr	mem.sw	mem.pc
0.1	42	0	0	0	287	14	43	276	
0.2	38	0	0	0	287	13	43	277	
0.3	31	0	0	0	287	12	43	278	
0.4	31	0	0	0	287	12	43	278	
0.5	35	0	0	0	287	12	43	278	
0.6	28	0	0	0	287	11	43	278	
0.7	29	0	0	0	286	10	43	279	
0.8	27	0	0	0	286	9	43	280	
0.9	43	0	0	0	286	9	43	280	
1.0	31	0	0	0	286	9	43	280	
1.1	30	0	0	0	286	9	43	280	
1.2	32	0	0	0	286	9	43	280	
1.3	36	0	0	0	286	9	43	280	
1.4	33	0	0	0	287	9	43	280	
1.5	33	0	0	0	286	9	43	280	
1.6	33	0	0	0	286	9	43	280	
1.7	35	0	0	0	286	9	43	280	
1.8	32	0	0	0	286	9	43	280	
1.9	35	0	0	0	286	9	43	280	
2.0	40	0	0	0	286	9	43	280	
2.1	34	0	0	0	286	9	43	280	
2.2	33	0	0	0	286	9	43	280	
2.3	36	0	0	0	286	9	43	280	
2.4	33	0	0	0	286	9	43	280	
2.5	35	0	0	0	286	9	43	280	
2.7	34	0	0	0	286	9	43	280	
2.8	34	0	0	0	286	9	43	280	
2.9	35	0	0	0	286	9	43	280	
3.0	37	0	0	0	286	8	43	281	
3.1	27	0	0	0	286	8	43	281	
3.2	28	0	0	0	285	7	43	282	
 is stablised at 0.1(s)


AUL Launching... "org.tizen.browser"
Wait until usr.cpu CPU usage < 15.0
time	tot.cpu	usr.cpu	kswapd	rescd	mem.av	mem.fr	mem.sw	mem.pc
0.2	76	0	14	0	271	7	48	268	
0.3	98	20	17	0	271	9	50	266	
0.4	99	32	8	0	270	7	52	266	
0.5	98	31	11	0	270	10	54	263	
0.7	98	43	6	0	271	11	55	263	
0.8	97	41	12	0	270	16	58	257	
0.9	98	46	1	0	271	14	58	260	
1.0	95	27	4	0	271	12	59	262	
1.1	87	42	7	0	271	14	61	260	
1.2	88	57	0	0	272	13	61	261	
1.3	83	54	0	0	270	10	61	264	
1.4	74	44	3	0	270	9	63	264	
1.5	90	48	9	0	265	11	66	257	
1.6	89	46	2	0	265	11	67	258	
1.7	86	39	0	0	271	14	67	260	
1.8	83	42	0	0	279	20	67	261	
1.9	86	39	0	0	279	19	67	263	
2.0	80	35	0	0	276	14	67	265	
2.1	90	23	0	0	273	10	67	266	
2.2	83	30	0	0	273	10	67	267	
2.3	84	33	0	0	273	9	67	267	
2.4	76	37	0	0	272	6	67	269	
2.5	78	44	0	0	272	5	67	271	
2.6	87	48	7	0	272	10	69	266	
2.7	80	47	0	0	272	10	69	266	
2.8	64	34	0	0	272	9	69	266	
2.9	56	25	0	0	272	9	69	266	
3.0	57	24	0	0	272	9	69	267	
3.1	60	25	0	0	272	8	69	267	
3.2	60	24	0	0	273	9	69	267	
3.3	60	25	0	0	275	11	69	267	
3.4	59	25	0	0	275	11	69	267	
3.5	58	26	0	0	275	11	69	267	
3.6	54	25	0	0	275	11	69	267	
3.7	56	24	0	0	275	11	69	267	
3.8	58	24	0	0	275	11	69	267	
3.9	52	25	0	0	275	11	69	267	
4.0	58	24	0	0	275	11	69	267	
4.1	57	26	0	0	275	11	69	267	
4.2	58	24	0	0	275	11	69	268	
4.3	58	23	0	0	275	11	69	268	
4.5	57	25	0	0	275	11	69	268	
4.6	56	26	0	0	275	11	69	267	
4.7	56	24	0	0	275	11	69	268	
4.8	55	17	0	0	274	10	69	268	
4.9	92	22	0	0	272	7	69	269	
5.0	80	13	9	0	271	7	70	268	
5.1	92	20	3	0	269	5	71	268	
5.2	96	18	10	0	270	6	73	266	
5.3	80	31	6	0	271	9	74	266	
5.4	76	26	2	0	272	10	74	265	
5.5	90	23	3	0	272	10	75	265	
5.6	65	23	1	0	272	10	75	266	
5.7	66	30	4	0	273	9	76	267	
5.8	84	24	18	0	273	11	79	265	
5.9	70	16	4	0	273	11	79	266	
6.0	74	21	6	0	274	10	79	267	
6.1	83	16	15	0	273	9	80	268	
6.2	95	36	25	0	274	13	81	264	
6.3	91	33	15	0	274	14	81	265	
6.4	83	31	0	0	274	10	81	268	
6.5	91	34	6	0	273	10	81	267	
6.6	92	38	12	0	273	13	82	264	
6.8	68	14	0	0	273	11	82	266	
6.9	73	21	0	0	272	9	82	267	
7.0	80	26	3	0	271	9	82	266	
7.1	63	12	2	0	271	8	82	267	
7.2	90	17	15	0	262	11	84	255	
7.3	89	21	12	0	254	4	86	254	
7.4	95	33	15	0	247	9	88	242	
7.5	60	25	1	0	244	10	88	238	
7.6	64	6	5	0	241	10	88	235	
7.7	64	6	7	0	243	15	89	233	
7.8	56	4	5	0	245	14	91	234	
7.9	68	9	5	0	245	14	92	236	
8.0	65	8	2	0	245	14	93	236	
8.1	70	11	6	0	246	15	94	236	
8.2	75	19	0	0	250	18	94	236	
8.3	67	11	0	0	253	22	94	236	
8.4	65	9	0	0	259	27	94	236	
8.5	83	24	0	0	262	30	94	236	
8.6	61	2	0	0	262	30	94	236	
8.7	60	7	0	0	263	30	94	237	
9.0	48	17	0	0	261	28	94	237	
9.1	85	25	0	0	250	18	94	237	
9.2	84	21	0	0	237	5	94	237	
9.3	91	20	18	0	230	4	99	230	
9.4	97	28	18	0	229	8	102	225	
9.5	74	13	17	0	228	12	104	220	
9.6	35	5	0	0	228	12	104	220	
9.7	43	6	0	0	228	12	104	220	
9.8	32	1	0	0	228	12	104	220	
9.9	48	12	0	0	228	12	104	220	
10.0	62	25	0	0	228	12	104	220	
10.1	68	27	0	0	229	13	104	220	
10.2	90	41	0	0	227	10	104	222	
10.3	81	43	0	0	226	7	104	224	
10.4	66	19	20	0	224	12	107	216	
10.5	46	8	5	0	224	13	108	216	
10.6	45	8	3	0	223	10	108	217	
10.7	49	5	6	0	223	11	110	217	
10.8	42	8	0	0	218	6	110	217	
10.9	78	23	18	1	214	10	112	209	
11.0	77	19	24	0	212	11	115	205	
11.1	58	1	24	0	210	12	119	203	
11.2	39	7	2	0	213	15	120	203	
11.3	44	8	0	0	213	15	120	203	
11.4	42	4	6	0	208	11	120	201	
11.5	39	5	1	0	208	11	121	201	
11.6	35	2	3	0	207	10	121	201	
11.7	41	4	5	0	207	11	122	200	
11.8	40	5	0	0	207	11	122	200	
11.9	48	3	2	0	209	11	122	202	
12.0	66	9	4	0	241	43	123	203	
12.2	55	11	0	0	242	43	123	203	
12.3	45	11	0	0	241	42	123	204	
12.4	44	10	0	0	241	42	123	204	
12.5	39	14	0	0	241	41	123	204	
12.6	51	5	0	0	241	41	123	205	
12.7	40	7	0	0	241	40	123	205	
12.8	40	2	0	0	241	40	123	205	
12.9	63	24	0	0	240	39	123	205	
13.0	66	22	0	0	240	39	123	205	
13.1	52	11	0	0	239	38	123	205	
13.2	48	12	0	0	238	37	123	205	
13.3	57	18	0	0	236	32	123	209	
13.4	71	14	0	0	232	24	122	213	
13.5	39	13	0	0	231	22	122	213	
13.6	54	18	0	0	229	20	122	214	
13.7	41	5	0	0	229	20	122	214	
13.8	36	2	0	0	228	18	122	214	
13.9	36	5	0	0	226	16	122	214	
