
Wait stablised tot.cpu < 50
time	tot.cpu	usr.cpu	kswapd	rescd	mem.av	mem.fr	mem.sw	mem.pc
0.1	11	0	0	0	291	13	60	278	
0.2	20	0	0	0	291	13	60	278	
0.3	16	0	0	0	291	13	60	278	
0.4	19	0	0	0	291	13	60	278	
0.5	13	0	0	0	291	13	60	278	
0.6	22	0	0	0	291	13	60	278	
0.7	16	0	0	0	291	13	60	278	
0.8	17	0	0	0	291	13	60	278	
0.9	17	0	0	0	291	13	60	278	
1.0	19	0	0	0	291	13	60	278	
1.1	17	0	0	0	291	13	60	278	
1.2	12	0	0	0	291	13	60	278	
1.3	24	0	0	0	292	13	60	278	
1.4	14	0	0	0	292	13	60	278	
1.5	22	0	0	0	292	13	60	278	
1.6	14	0	0	0	292	13	60	278	
1.7	24	0	0	0	292	13	60	278	
1.8	16	0	0	0	292	13	60	278	
1.9	16	0	0	0	292	13	60	278	
2.0	14	0	0	0	292	13	60	278	
2.1	14	0	0	0	292	13	60	278	
2.2	16	0	0	0	292	13	60	278	
2.3	24	0	0	0	292	13	60	278	
2.4	39	0	0	0	292	13	60	278	
2.5	19	0	0	0	292	13	60	278	
2.6	10	0	0	0	292	13	60	278	
2.7	18	0	0	0	292	13	60	278	
2.9	14	0	0	0	292	13	60	278	
3.0	19	0	0	0	292	13	60	278	
3.1	23	0	0	0	292	13	60	278	
3.2	16	0	0	0	292	13	60	278	
 is stablised at 0.1(s)


AUL Launching... "org.tizen.browser"
Wait until usr.cpu CPU usage < 30.0
time	tot.cpu	usr.cpu	kswapd	rescd	mem.av	mem.fr	mem.sw	mem.pc
0.9	96	0	10	1	273	5	63	268	
1.0	99	21	10	0	273	6	64	267	
1.1	100	57	11	0	274	10	66	264	
1.2	98	57	0	0	275	8	66	267	
1.3	100	50	0	0	275	6	66	269	
1.4	100	50	0	0	275	5	66	269	
1.6	100	56	9	0	275	8	66	266	
1.7	100	47	8	0	275	10	67	265	
1.8	98	49	8	0	275	10	68	265	
1.9	100	50	13	0	277	16	68	261	
2.0	100	65	0	0	278	16	68	262	
2.1	98	57	0	0	277	15	68	262	
2.2	98	58	0	0	277	12	68	266	
2.3	100	50	0	0	277	8	68	268	
2.4	100	42	0	0	276	7	68	269	
2.5	100	44	0	0	275	6	68	269	
2.6	100	54	0	0	275	6	68	269	
2.7	98	59	2	0	274	5	68	270	
2.8	100	41	16	0	274	9	70	265	
2.9	100	53	6	0	282	21	70	261	
3.0	92	53	2	0	282	20	70	262	
3.1	87	64	0	0	281	18	70	263	
3.2	90	57	2	0	281	16	70	265	
3.3	96	49	2	0	280	15	70	265	
3.4	98	35	4	0	277	11	71	266	
3.6	98	46	4	0	277	13	71	265	
3.7	98	56	0	0	277	12	71	265	
3.8	94	48	0	0	277	11	71	266	
3.9	94	48	0	0	276	10	71	266	
4.0	96	48	0	0	274	7	71	268	
4.1	100	33	12	0	268	3	72	264	
4.2	100	31	15	0	272	16	73	256	
4.3	98	42	4	0	271	15	74	256	
4.4	100	46	0	0	269	12	74	257	
4.5	100	48	0	0	268	11	74	257	
4.6	100	35	8	0	267	10	75	257	
4.7	100	60	0	0	269	12	75	257	
4.8	86	60	0	0	269	12	75	257	
4.9	17	2	0	0	269	12	75	257	
5.0	71	31	0	0	270	13	75	257	
5.1	96	35	0	0	269	11	75	257	
5.2	100	29	13	0	268	11	76	257	
5.3	100	46	0	0	269	12	76	257	
5.4	100	54	0	0	269	12	76	257	
5.5	98	47	0	0	268	11	76	258	
5.6	100	51	8	0	268	10	77	258	
