
Wait stablised tot.cpu < 50
time	tot.cpu	usr.cpu	kswapd	rescd	mem.av	mem.fr	mem.sw	mem.pc
0.1	14	0	0	0	289	9	47	283	
0.2	9	0	0	0	289	9	47	283	
0.3	8	0	0	0	289	9	47	283	
0.4	10	0	0	0	289	9	47	283	
0.5	3	0	0	0	289	9	47	283	
0.6	6	0	0	0	289	9	47	283	
0.7	8	0	0	0	289	9	47	283	
0.8	38	0	0	0	288	8	47	284	
0.9	29	0	0	0	288	6	47	285	
1.0	31	0	0	0	288	6	47	285	
1.1	31	0	0	0	288	6	47	285	
1.2	23	0	0	0	288	6	47	286	
1.3	40	0	14	0	289	11	49	281	
1.4	26	0	3	0	289	12	50	280	
1.5	46	0	2	0	290	13	50	280	
1.6	40	0	0	0	290	13	50	281	
1.7	32	0	0	0	290	13	50	281	
1.9	38	0	0	0	290	13	50	281	
2.0	44	0	0	0	290	12	50	281	
2.1	59	0	0	0	290	11	50	282	
2.2	55	0	0	0	289	10	50	282	
2.3	57	0	15	0	290	7	52	286	
2.4	66	0	10	0	291	11	53	283	
2.5	56	0	0	0	291	11	53	283	
2.6	55	0	0	0	289	9	53	283	
2.7	57	0	0	0	288	9	53	283	
2.8	56	0	0	0	287	8	53	283	
2.9	40	0	0	0	287	7	53	283	
3.0	36	0	0	0	287	7	53	283	
3.1	45	0	0	0	287	7	53	283	
3.2	49	0	0	0	286	7	53	283	
3.3	32	0	0	0	286	7	53	283	
3.4	37	0	0	0	286	6	53	283	
3.5	39	0	0	0	286	6	53	283	
3.6	35	0	0	0	285	5	53	283	
3.7	23	0	0	0	285	5	53	284	
3.8	31	0	7	0	286	8	55	281	
3.9	43	0	14	0	287	14	58	277	
4.0	29	0	0	0	287	13	58	278	
4.1	23	0	0	0	287	11	58	278	
4.2	44	0	0	0	286	11	58	279	
4.3	24	0	0	0	286	10	58	280	
4.4	42	0	0	0	286	9	58	280	
4.5	36	0	0	0	286	9	58	280	
4.6	33	0	0	0	286	9	58	280	
4.7	31	0	0	0	286	9	58	280	
4.8	32	0	0	0	286	9	58	280	
4.9	41	0	0	0	286	9	58	280	
5.0	33	0	0	0	286	9	58	280	
5.1	32	0	0	0	286	9	58	280	
5.2	30	0	0	0	286	9	58	280	
5.3	31	0	0	0	286	9	58	280	
5.4	30	0	0	0	286	9	58	280	
5.5	28	0	0	0	286	9	58	280	
5.6	37	0	0	0	286	9	58	280	
5.7	29	0	0	0	286	9	58	280	
5.8	37	0	0	0	286	9	58	280	
5.9	32	0	0	0	286	9	58	280	
 is stablised at 2.9(s)


AUL Launching... "org.tizen.browser"
Wait until usr.cpu CPU usage < 30.0
time	tot.cpu	usr.cpu	kswapd	rescd	mem.av	mem.fr	mem.sw	mem.pc
0.2	79	0	4	1	280	7	59	276	
0.3	98	13	16	1	271	7	64	267	
0.4	100	20	7	0	272	5	65	270	
0.5	99	40	9	0	271	6	68	269	
0.6	99	42	5	0	272	7	69	268	
0.7	100	41	3	0	271	6	70	268	
0.8	100	29	1	0	271	4	70	270	
0.9	100	29	1	0	273	6	70	271	
1.0	100	30	6	0	274	6	71	271	
1.1	96	30	6	0	275	7	72	272	
1.2	95	45	0	0	274	5	72	272	
1.3	87	46	7	0	274	5	74	273	
1.4	84	40	9	0	275	5	75	273	
1.5	81	37	7	0	275	6	76	273	
1.7	87	40	13	0	276	9	79	270	
1.8	87	56	0	0	276	9	79	271	
1.9	88	39	0	0	281	12	79	273	
2.0	74	34	0	0	280	7	79	277	
2.1	94	27	7	0	280	6	79	278	
2.2	94	46	13	0	280	6	80	277	
2.3	99	32	21	0	280	10	82	273	
2.4	88	26	11	0	280	15	84	269	
2.5	77	24	0	0	280	14	84	269	
2.6	89	32	0	0	280	13	84	270	
2.7	96	43	0	0	280	11	84	272	
2.8	79	49	0	0	280	11	84	273	
2.9	83	49	0	0	280	11	84	273	
3.0	88	49	0	0	280	10	84	273	
3.1	58	26	0	0	280	10	84	274	
3.2	59	25	0	0	280	9	84	274	
3.3	68	25	0	0	280	8	84	275	
3.4	58	24	0	0	279	7	84	276	
3.5	66	22	12	0	279	8	86	275	
3.6	63	24	12	0	280	11	88	273	
3.7	65	26	4	0	279	8	88	276	
3.8	49	24	2	0	281	8	88	278	
3.9	56	25	5	0	282	12	89	275	
4.0	52	26	3	0	283	11	89	276	
4.1	54	22	2	0	283	11	89	276	
4.2	62	23	2	0	284	10	89	278	
4.3	78	21	1	0	284	8	89	279	
4.4	59	17	5	0	284	9	90	279	
4.5	56	17	1	0	287	12	90	279	
4.6	70	15	1	0	285	11	90	279	
4.7	54	17	5	0	285	11	91	278	
4.9	59	20	5	0	286	11	92	278	
5.0	56	19	6	0	286	10	93	280	
5.1	48	19	0	0	286	9	93	281	
5.2	57	18	0	0	286	8	93	282	
5.3	55	17	0	0	285	7	92	282	
5.4	54	20	0	0	288	10	92	282	
5.5	73	10	0	0	288	9	92	283	
5.6	81	17	0	0	286	7	92	283	
5.7	28	0	0	0	286	7	92	284	
5.9	24	12	0	0	286	6	92	284	
6.0	63	26	4	0	284	5	92	283	
6.1	75	7	24	0	284	9	97	280	
6.2	43	6	8	0	286	11	98	279	
org.tizen.browser is stablised at 3.1(s)


Sleep for 3000ms
