
Wait stablised tot.cpu < 50
time	tot.cpu	usr.cpu	kswapd	rescd	mem.av	mem.fr	mem.sw	mem.pc
0.1	8	0	0	0	295	13	40	286	
0.2	5	0	0	0	295	13	40	286	
0.3	36	0	0	0	295	11	40	287	
0.4	29	0	0	0	295	11	40	288	
0.5	37	0	0	0	295	11	40	288	
0.6	33	0	0	0	295	10	40	288	
0.7	28	0	0	0	294	9	40	289	
0.8	23	0	0	0	294	8	40	290	
0.9	29	0	0	0	294	7	40	290	
1.0	36	0	0	0	294	7	40	290	
1.1	30	0	0	0	294	7	40	290	
1.2	29	0	0	0	294	7	40	290	
1.3	30	0	0	0	294	7	40	290	
1.4	29	0	0	0	294	7	40	290	
1.5	30	0	0	0	294	7	40	290	
1.6	27	0	0	0	294	7	40	290	
1.7	29	0	0	0	294	7	40	290	
1.8	30	0	0	0	294	7	40	290	
1.9	33	0	0	0	294	7	40	290	
2.0	30	0	0	0	294	7	40	290	
2.1	31	0	0	0	294	7	40	290	
2.2	31	0	0	0	294	7	40	291	
2.3	30	0	0	0	294	7	40	291	
2.4	32	0	0	0	294	7	40	291	
2.6	31	0	0	0	294	7	40	291	
2.7	32	0	0	0	294	7	40	291	
2.8	29	0	0	0	294	7	40	291	
2.9	35	0	0	0	294	7	40	291	
3.0	33	0	0	0	294	7	40	291	
3.1	29	0	0	0	294	6	40	292	
3.2	24	0	0	0	294	5	40	292	
 is stablised at 0.1(s)


AUL Launching... "org.tizen.browser"
Wait until usr.cpu CPU usage < 15.0
time	tot.cpu	usr.cpu	kswapd	rescd	mem.av	mem.fr	mem.sw	mem.pc
0.2	80	0	16	2	281	7	45	278	
0.3	96	30	15	0	278	8	48	273	
0.4	100	38	15	0	277	15	51	265	
0.5	97	44	3	0	277	12	51	268	
0.7	98	47	3	0	277	11	52	270	
0.8	98	44	12	0	277	15	54	266	
0.9	97	39	4	0	277	12	54	268	
1.0	97	36	6	0	277	12	55	268	
1.1	91	50	4	0	278	15	56	267	
1.2	90	57	5	0	277	12	58	269	
1.3	80	45	4	0	277	11	59	269	
1.4	79	40	9	0	272	8	62	267	
1.5	76	43	6	0	273	12	64	265	
1.6	83	35	6	0	272	9	65	266	
1.7	81	36	5	0	287	22	66	269	
1.8	76	32	0	0	286	19	66	271	
2.0	78	42	0	0	284	15	66	273	
2.1	93	40	0	0	283	11	66	275	
2.2	75	28	0	0	281	10	66	275	
2.3	78	26	0	0	281	9	66	276	
2.4	80	31	0	0	281	7	66	277	
2.5	74	47	0	0	281	6	66	279	
2.6	78	42	4	0	280	5	67	278	
2.7	63	23	6	0	282	9	68	277	
2.8	61	24	0	0	282	9	68	277	
2.9	56	24	0	0	282	9	68	277	
3.0	56	23	0	0	282	8	68	278	
3.1	55	26	0	0	282	8	68	278	
3.2	55	25	0	0	282	8	68	278	
3.3	56	24	0	0	282	8	68	278	
3.4	56	22	0	0	282	7	68	279	
3.5	57	24	0	0	283	8	68	279	
3.6	54	24	0	0	283	8	68	279	
3.7	54	24	0	0	283	8	68	279	
3.8	56	24	0	0	283	8	68	279	
3.9	55	25	0	0	284	8	68	280	
4.0	52	23	0	0	283	7	68	280	
4.1	54	23	0	0	284	7	68	280	
4.2	55	24	0	0	284	7	68	280	
4.3	57	24	0	0	284	7	68	280	
4.4	54	24	0	0	284	7	68	280	
4.5	56	25	0	0	284	7	68	280	
4.6	56	25	0	0	284	7	68	280	
4.7	57	21	0	0	284	7	68	280	
4.8	67	8	0	0	283	6	68	281	
4.9	64	12	0	0	283	5	68	282	
5.0	51	21	0	0	283	5	68	282	
5.1	44	10	0	0	283	5	68	282	
5.2	80	21	11	0	284	8	71	279	
5.3	67	12	7	0	283	8	73	278	
5.4	58	1	2	0	285	11	74	278	
5.5	64	5	21	0	286	15	76	275	
5.6	34	3	0	0	286	14	76	276	
5.7	32	2	0	0	286	12	76	278	
5.8	26	5	0	0	286	6	76	284	
5.9	47	2	22	0	286	6	77	284	
6.1	51	4	26	0	288	7	80	284	
6.2	51	5	19	0	289	11	83	283	
6.3	34	1	4	0	290	11	83	283	
6.4	68	12	1	0	290	8	83	285	
6.5	79	10	9	0	290	13	84	281	
6.6	66	11	1	0	288	11	84	282	
6.7	66	11	4	0	288	11	84	281	
6.8	69	20	2	0	287	11	84	281	
6.9	81	31	2	0	287	11	84	281	
7.0	81	31	0	0	287	11	84	281	
7.1	89	35	2	0	281	4	85	281	
7.2	91	25	15	0	278	11	87	272	
7.3	99	43	12	0	269	7	88	267	
7.4	99	35	14	0	262	10	90	256	
7.5	92	40	5	0	257	7	91	255	
7.6	84	18	13	0	258	12	92	250	
7.7	85	19	5	0	258	12	93	250	
7.8	81	19	6	0	258	10	95	253	
7.9	87	21	10	0	258	11	97	251	
8.0	92	34	8	0	255	10	98	249	
8.1	96	32	7	0	260	15	100	249	
8.3	85	36	1	0	262	16	100	250	
8.4	70	27	0	0	269	23	100	251	
8.5	72	10	0	0	273	27	100	251	
8.6	67	6	0	0	273	26	100	252	
8.7	22	4	0	0	273	26	100	252	
9.0	34	3	0	0	273	26	100	252	
9.1	34	6	0	0	273	26	100	252	
9.2	58	23	0	0	273	26	100	252	
9.3	56	19	0	0	273	26	100	252	
9.4	53	7	0	0	262	14	100	252	
9.5	85	21	0	0	253	6	100	252	
9.6	75	27	19	0	251	9	103	246	
9.7	99	42	20	0	242	8	107	239	
9.8	99	26	20	0	237	11	110	231	
