
Wait stablised tot.cpu < 50
time	tot.cpu	usr.cpu	kswapd	rescd	mem.av	mem.fr	mem.sw	mem.pc
0.1	11	0	0	0	302	23	63	279	
0.2	26	0	0	0	302	23	63	279	
0.3	16	0	0	0	302	23	63	279	
0.4	20	0	0	0	302	23	63	279	
0.5	23	0	0	0	302	23	63	279	
0.6	18	0	0	0	302	23	63	279	
0.7	15	0	0	0	302	23	63	279	
0.8	26	0	0	0	302	23	63	279	
0.9	22	0	0	0	302	23	63	279	
1.0	17	0	0	0	302	23	63	279	
1.1	20	0	0	0	302	23	63	279	
1.2	17	0	0	0	302	23	63	279	
1.3	22	0	0	0	302	23	63	279	
1.4	16	0	0	0	302	23	63	279	
1.5	19	0	0	0	302	23	63	279	
1.6	20	0	0	0	302	23	63	279	
1.7	19	0	0	0	302	23	63	279	
1.8	16	0	0	0	302	23	63	279	
1.9	25	0	0	0	302	23	63	279	
2.0	12	0	0	0	302	23	63	279	
2.1	20	0	0	0	302	23	63	279	
2.2	12	0	0	0	302	23	63	279	
2.3	18	0	0	0	302	23	63	279	
2.4	17	0	0	0	302	23	63	279	
2.5	20	0	0	0	302	23	63	279	
2.7	31	0	0	0	302	23	63	279	
2.8	60	0	0	0	302	22	63	280	
2.9	55	0	0	0	301	20	63	281	
3.0	51	0	0	0	301	15	63	286	
3.1	58	0	20	0	301	13	64	287	
3.2	62	0	6	0	300	13	64	287	
3.3	66	0	4	0	300	15	65	286	
3.4	67	0	0	0	299	13	65	286	
3.5	58	0	0	0	298	12	65	286	
3.6	59	0	0	0	298	12	65	286	
3.7	34	0	0	0	298	12	65	286	
3.8	23	0	0	0	298	12	65	286	
3.9	61	0	0	0	297	11	65	286	
4.0	31	0	0	0	297	11	65	286	
4.1	22	0	0	0	298	12	65	286	
4.2	45	0	0	0	298	12	65	286	
4.3	18	0	0	0	298	12	65	286	
4.4	16	0	0	0	298	12	65	286	
4.5	24	0	0	0	298	12	65	286	
4.6	33	0	0	0	298	12	65	286	
4.7	22	0	0	0	298	12	65	286	
4.8	20	0	0	0	298	12	65	286	
4.9	45	0	0	0	298	12	65	286	
5.0	22	0	0	0	298	12	65	286	
5.1	19	0	0	0	298	12	65	286	
5.2	31	0	0	0	298	12	65	286	
5.3	21	0	0	0	298	12	65	286	
5.4	12	0	0	0	298	12	65	286	
5.5	20	0	0	0	298	12	65	286	
5.6	25	0	0	0	298	12	65	286	
5.7	16	0	0	0	298	12	65	286	
5.8	20	0	0	0	298	12	65	286	
5.9	25	0	0	0	298	12	65	286	
6.0	19	0	0	0	298	12	65	286	
6.1	14	0	0	0	298	12	65	286	
6.2	16	0	0	0	298	12	65	286	
6.3	22	0	0	0	298	12	65	286	
6.4	16	0	0	0	298	12	65	286	
6.5	31	0	0	0	298	12	65	286	
6.6	24	0	0	0	298	12	65	286	
6.8	14	0	0	0	298	12	65	286	
6.9	48	0	0	0	298	12	65	286	
7.0	22	0	0	0	298	12	65	286	
7.1	18	0	0	0	298	12	65	286	
 is stablised at 4.0(s)


AUL Launching... "org.tizen.browser"
Wait until usr.cpu CPU usage < 30.0
time	tot.cpu	usr.cpu	kswapd	rescd	mem.av	mem.fr	mem.sw	mem.pc
0.8	95	0	13	1	281	12	71	269	
1.0	100	25	10	0	281	13	73	269	
1.1	100	58	0	0	283	13	73	270	
1.2	100	51	0	0	282	8	73	274	
1.3	100	53	0	0	282	7	73	275	
1.4	100	42	15	0	282	10	74	272	
1.6	100	32	7	0	284	14	74	270	
1.7	100	50	0	0	284	14	74	271	
1.8	100	53	0	0	284	13	74	272	
1.9	92	44	0	0	284	12	74	272	
2.0	100	54	0	0	284	12	74	273	
2.1	100	47	0	0	284	10	74	274	
2.2	98	45	8	0	280	5	74	275	
2.3	100	34	21	0	277	11	76	266	
2.4	100	50	7	0	277	16	77	262	
2.6	100	56	0	0	276	13	77	264	
2.7	100	54	0	0	283	17	77	266	
2.8	100	48	0	0	283	16	77	268	
2.9	100	38	0	0	282	14	77	268	
3.0	100	45	0	0	281	13	77	268	
3.1	100	53	0	0	280	12	77	269	
3.2	100	59	0	0	281	11	77	270	
3.3	100	63	0	0	287	17	77	271	
3.4	96	75	0	0	287	17	77	271	
3.5	94	60	0	0	287	15	77	273	
3.6	96	65	0	0	287	13	77	274	
3.9	97	66	0	0	286	11	77	275	
4.0	100	41	0	0	285	10	77	276	
4.1	100	46	0	0	282	7	77	276	
4.2	100	44	0	0	284	8	77	276	
4.3	98	40	0	0	284	7	77	277	
4.4	65	10	0	0	283	7	77	277	
4.5	67	18	0	0	283	6	77	277	
4.6	75	13	13	0	282	7	78	275	
4.7	84	27	8	0	282	8	78	274	
4.8	95	11	21	0	280	10	80	271	
4.9	72	0	9	0	281	13	81	268	
5.0	16	0	0	0	281	13	81	268	
5.1	49	2	0	0	281	13	81	268	
5.3	27	2	0	0	281	13	81	268	
5.4	63	40	0	0	282	14	81	268	
5.5	19	0	0	0	282	14	81	268	
5.6	31	8	0	0	282	14	81	268	
5.7	96	50	0	0	281	13	81	268	
5.8	100	5	0	0	278	10	81	268	
5.9	88	21	0	0	278	10	81	268	
6.0	47	2	4	0	279	11	81	268	
6.1	64	10	0	0	279	11	81	268	
6.2	25	8	0	0	279	11	81	268	
6.3	25	2	0	0	279	11	81	268	
6.4	25	8	0	0	279	11	81	268	
6.5	15	4	0	0	279	11	81	268	
6.6	31	8	0	0	279	11	81	268	
6.7	28	9	0	0	279	11	81	268	
6.8	37	10	0	0	279	11	81	269	
6.9	86	32	0	0	279	10	81	269	
7.0	98	26	7	0	277	10	82	268	
7.1	76	33	8	0	278	10	83	267	
7.2	76	18	12	0	278	10	84	268	
7.3	96	38	6	0	276	9	85	268	
7.4	100	64	8	0	274	13	86	262	
7.5	100	44	6	0	274	13	87	261	
7.6	100	42	0	0	274	13	87	261	
7.8	100	48	0	0	271	10	87	261	
7.9	98	50	10	0	266	9	87	258	
8.0	100	46	20	0	263	16	88	247	
8.1	88	44	0	0	263	16	88	247	
8.2	80	22	0	0	263	14	88	249	
8.3	88	40	0	0	262	11	88	252	
8.4	92	30	0	0	262	10	88	252	
8.5	100	46	7	0	257	8	89	250	
8.6	100	39	13	0	253	10	89	244	
8.7	100	38	8	0	252	12	90	241	
8.8	98	35	8	0	252	12	90	240	
8.9	100	30	2	0	255	15	90	240	
9.0	100	15	0	0	264	24	90	240	
9.1	100	31	0	0	263	23	90	240	
9.2	100	33	0	0	262	22	90	241	
9.3	100	43	0	0	264	24	90	241	
9.4	100	48	0	0	264	23	90	241	
9.5	90	41	0	0	263	23	90	241	
9.6	94	38	0	0	263	22	90	242	
9.7	100	44	0	0	263	22	90	242	
9.8	100	44	0	0	263	22	90	242	
10.0	78	18	0	0	262	21	90	242	
10.1	70	9	0	0	262	21	90	242	
10.2	78	4	0	0	259	17	90	242	
10.3	100	20	10	0	247	7	91	240	
10.4	100	42	21	0	244	13	92	231	
10.5	100	28	10	0	235	7	93	228	
10.6	100	23	33	0	232	10	94	223	
10.7	100	12	14	0	229	10	94	220	
10.8	86	20	8	0	231	13	95	219	
10.9	71	15	0	0	230	12	95	219	
11.0	77	19	0	0	230	11	95	219	
11.1	68	14	0	0	230	11	95	219	
11.2	62	4	0	0	230	11	95	219	
11.3	78	14	0	0	232	14	95	219	
11.4	73	15	0	0	235	16	95	219	
11.5	65	4	0	0	237	18	95	219	
11.6	84	27	0	0	237	18	95	219	
11.7	100	39	0	0	240	21	95	219	
11.8	100	40	0	0	240	21	95	219	
11.9	98	40	0	0	240	21	95	219	
12.0	100	40	0	0	233	14	95	220	
12.1	100	40	6	0	224	5	95	219	
12.2	100	32	22	0	221	5	95	217	
12.3	100	27	23	0	218	4	96	215	
12.4	100	14	33	0	219	12	97	208	
12.5	86	31	0	0	219	12	97	208	
12.6	69	19	0	0	219	12	97	208	
12.7	71	15	0	0	219	12	97	208	
12.8	66	4	0	0	219	12	97	208	
12.9	74	10	0	0	220	12	97	208	
13.0	75	13	0	0	222	14	97	208	
13.1	73	6	0	0	225	17	97	208	
13.2	72	9	0	0	226	18	97	208	
13.3	68	4	0	0	228	20	97	208	
13.4	92	31	0	0	227	19	97	208	
13.6	96	30	10	0	218	9	98	210	
13.7	100	31	11	0	219	12	98	208	
13.8	100	34	6	0	218	11	99	208	
13.9	100	38	4	0	219	12	100	208	
14.0	100	18	0	0	215	8	100	208	
14.1	98	13	18	0	212	8	100	204	
14.2	100	8	23	0	212	11	102	201	
14.3	100	15	13	0	210	10	104	200	
14.4	100	15	6	0	203	5	104	199	
14.5	100	21	17	0	205	10	106	196	
14.6	100	22	10	0	203	9	107	195	
14.7	100	36	11	0	204	11	108	193	
14.8	100	38	14	0	203	10	109	193	
14.9	100	38	4	0	202	9	110	193	
15.0	88	12	18	0	202	11	112	192	
15.1	78	14	8	0	202	10	112	193	
15.2	73	10	8	0	203	12	113	193	
15.3	64	4	0	0	204	12	113	193	
15.4	71	10	0	0	204	12	113	193	
15.5	71	8	0	0	206	14	113	193	
15.6	94	31	0	0	206	13	113	193	
15.7	100	27	0	0	206	13	113	193	
15.8	100	33	0	0	207	14	113	193	
15.9	94	31	0	0	208	16	113	193	
16.0	73	14	0	0	209	17	113	193	
16.1	96	33	0	0	208	12	113	197	
16.2	98	27	0	0	207	9	113	199	
16.3	94	46	4	0	203	5	113	199	
16.4	100	16	31	0	202	8	116	195	
16.5	100	12	21	0	205	13	118	192	
16.7	100	11	15	0	202	10	119	192	
16.8	98	12	33	0	202	11	123	192	
16.9	86	24	0	0	199	8	123	192	
17.0	100	7	33	0	199	12	126	188	
17.1	82	12	14	0	200	13	127	188	
17.2	64	4	0	0	199	12	127	188	
17.3	71	10	0	0	198	11	127	188	
17.4	74	14	0	0	199	12	127	188	
17.5	66	6	0	0	199	12	127	188	
17.6	83	19	0	0	200	12	127	188	
17.7	96	41	0	0	201	12	127	189	
17.8	96	40	0	0	203	15	127	189	
17.9	100	40	0	0	203	15	127	189	
18.0	96	35	0	0	202	13	127	189	
18.1	98	45	0	0	201	13	127	189	
18.2	98	39	0	0	201	12	127	189	
18.3	86	16	0	0	199	7	127	192	
18.4	85	0	17	0	193	5	130	188	
18.5	100	4	25	0	196	13	132	183	
18.6	94	0	12	0	194	11	133	183	
18.7	80	0	4	0	195	9	134	186	
18.8	96	2	10	0	195	8	134	188	
18.9	100	16	6	0	203	17	135	187	
19.0	100	7	0	0	203	16	135	187	
19.1	100	10	0	0	195	8	135	188	
19.2	98	10	0	0	192	5	135	188	
19.3	100	4	15	0	192	5	136	187	
19.5	100	2	16	0	193	9	138	185	
19.6	100	7	0	0	194	9	138	185	
19.7	90	13	0	0	194	9	138	186	
19.8	96	24	0	0	194	8	138	186	
19.9	98	26	0	0	193	8	138	186	
20.0	88	16	0	0	193	7	138	186	
20.1	60	0	0	0	193	7	138	186	
20.2	62	0	0	0	192	7	138	186	
20.3	87	17	0	0	191	6	138	186	
20.4	98	11	15	0	188	4	140	184	
20.5	100	8	23	0	189	8	143	181	
20.6	67	6	2	0	194	13	144	181	
20.7	72	0	0	0	191	8	144	183	
20.8	100	0	29	0	188	11	148	178	
20.9	100	0	36	0	187	11	151	176	
21.0	90	0	10	0	187	12	152	176	
21.1	60	0	0	0	185	9	152	176	
21.2	65	6	0	0	198	21	152	177	
21.3	63	0	0	0	197	21	152	177	
org.tizen.browser is stablised at 18.3(s)


Sleep for 3000ms
time	tot.cpu	usr.cpu	kswapd	rescd	mem.av	mem.fr	mem.sw	mem.pc
0.1	86	0	0	0	196	20	152	177	
0.2	100	0	0	0	194	17	152	177	
0.3	100	0	0	0	191	14	152	177	
0.4	100	0	0	0	190	14	152	177	
0.5	100	0	0	0	196	19	152	177	
0.6	98	0	0	0	204	27	152	178	
0.7	67	0	0	0	204	27	152	178	
0.8	94	0	0	0	203	25	152	178	
0.9	75	0	0	0	203	25	152	178	
1.0	72	0	0	0	203	25	152	178	
1.1	64	0	0	0	203	25	152	178	
1.2	69	0	0	0	203	25	152	178	
1.3	69	0	0	0	203	25	152	178	
1.4	81	0	0	0	202	25	152	178	
1.5	69	0	0	0	201	24	152	178	
1.6	71	0	0	0	202	25	152	178	
1.7	63	0	0	0	202	24	152	178	
1.8	71	0	0	0	202	24	152	178	
1.9	71	0	0	0	201	24	152	178	
2.0	73	0	0	0	201	23	152	179	
2.1	64	0	0	0	201	23	152	179	
2.2	85	0	0	0	199	21	152	179	
2.3	100	0	0	0	196	18	152	179	
2.4	100	0	0	0	195	17	152	179	
2.5	85	0	0	0	193	15	152	179	
2.7	88	0	4	0	193	15	153	179	
2.8	92	0	6	0	193	15	153	179	
2.9	100	0	2	0	192	14	154	179	
3.0	98	0	4	0	190	12	154	179	
3.1	100	0	19	0	191	13	156	179	

Wait stablised tot.cpu < 50
time	tot.cpu	usr.cpu	kswapd	rescd	mem.av	mem.fr	mem.sw	mem.pc
0.1	100	0	4	0	194	15	158	179	
0.2	98	0	0	0	194	16	158	179	
0.3	81	0	0	0	190	12	158	179	
0.4	71	0	0	0	190	12	158	179	
0.5	74	0	0	0	190	12	158	179	
0.6	87	0	0	0	190	12	158	179	
0.7	76	0	0	0	190	12	158	179	
0.8	73	0	0	0	190	12	158	179	
0.9	78	0	0	0	190	12	158	179	
1.1	69	0	0	0	190	12	158	179	
1.2	75	0	0	0	190	12	158	179	
1.3	72	0	0	0	190	12	158	179	
1.4	72	0	0	0	193	15	158	179	
1.5	69	0	0	0	193	15	158	179	
1.6	94	0	0	0	191	12	158	179	
1.7	95	0	2	0	191	13	158	179	
1.8	98	0	6	0	191	13	159	179	
1.9	82	0	2	0	191	13	159	179	
2.0	82	0	0	0	188	10	159	179	
2.1	96	0	25	0	188	10	161	179	
2.2	75	0	4	0	189	11	162	179	
2.3	33	0	0	0	189	11	162	179	
2.4	37	0	0	0	189	11	162	179	
2.5	62	0	0	0	189	11	162	179	
2.6	80	0	0	0	189	11	162	179	
2.7	40	0	0	0	189	11	162	179	
2.8	33	0	0	0	189	11	162	179	
2.9	27	0	0	0	189	11	162	179	
3.0	58	0	0	0	189	11	162	179	
3.1	44	0	0	0	190	12	162	179	
3.2	63	0	0	0	191	12	162	179	
3.3	57	0	0	0	190	12	162	179	
3.4	27	0	0	0	190	12	162	179	
3.6	59	0	0	0	190	12	162	179	
3.7	38	0	0	0	190	12	162	179	
3.8	31	0	0	0	190	12	162	179	
3.9	25	0	0	0	190	12	162	179	
4.0	44	0	0	0	190	12	162	179	
4.1	37	0	0	0	190	12	162	179	
4.2	58	0	0	0	190	11	162	179	
4.3	96	0	0	0	189	8	162	181	
4.4	95	0	0	0	188	7	162	181	
4.5	100	0	27	0	188	12	164	177	
4.6	73	0	4	0	188	12	165	177	
4.7	85	0	0	0	194	18	165	177	
4.8	58	0	0	0	195	18	165	177	
4.9	100	0	0	0	189	12	165	177	
5.0	100	0	16	0	181	5	167	176	
5.1	100	0	17	0	181	8	169	174	
5.2	55	0	0	0	182	8	169	174	
5.3	25	0	0	0	182	8	169	174	
5.4	23	0	0	0	183	10	169	174	
5.5	10	0	0	0	183	10	169	174	
5.6	65	0	0	0	183	10	169	174	
5.7	80	0	0	0	183	9	169	174	
5.8	79	0	0	0	184	9	169	175	
5.9	29	0	0	0	186	11	169	175	
6.0	17	0	0	0	187	13	169	175	
6.1	12	0	0	0	193	19	169	175	
6.2	20	0	0	0	193	19	169	175	
6.3	14	0	0	0	193	19	169	175	
6.4	18	0	0	0	193	19	169	175	
6.5	8	0	0	0	193	19	169	175	
6.6	14	0	0	0	193	19	169	175	
6.7	10	0	0	0	193	19	169	175	
6.8	10	0	0	0	193	19	169	175	
6.9	22	0	0	0	193	19	169	175	
7.0	11	0	0	0	193	19	169	175	
7.1	13	0	0	0	193	19	169	175	
7.2	12	0	0	0	193	19	169	175	
7.4	10	0	0	0	193	19	169	175	
7.5	14	0	0	0	193	19	169	175	
7.6	10	0	0	0	193	19	169	175	
7.7	16	0	0	0	193	19	169	175	
7.8	8	0	0	0	193	19	169	175	
7.9	14	0	0	0	193	19	169	175	
8.0	19	0	0	0	193	19	169	175	
8.1	13	0	0	0	193	19	169	175	
8.2	15	0	0	0	193	19	169	175	
8.3	16	0	0	0	193	19	169	175	
8.4	14	0	0	0	193	19	169	175	
8.5	20	0	0	0	193	19	169	175	
8.6	20	0	0	0	193	19	169	175	
8.7	12	0	0	0	193	19	169	175	
8.8	17	0	0	0	193	19	169	175	
8.9	9	0	0	0	193	19	169	175	
9.0	17	0	0	0	193	19	169	175	
 is stablised at 5.9(s)


AUL Launching... "org.tizen.tv-viewer"
Wait until usr.cpu CPU usage < 50.0

Sleep for 3000ms
time	tot.cpu	usr.cpu	kswapd	rescd	mem.av	mem.fr	mem.sw	mem.pc
0.1	96	0	27	0	180	11	171	169	
0.2	91	0	9	0	189	19	171	171	
0.3	98	0	0	0	189	14	171	176	
0.4	100	0	0	0	186	7	171	179	
0.5	86	0	0	0	186	8	171	179	
0.6	93	0	0	0	186	7	171	180	
0.7	87	0	0	0	186	6	171	180	
0.9	94	0	0	0	186	6	171	180	
1.0	96	0	0	0	186	6	171	180	
1.1	100	0	6	0	185	5	171	180	
1.2	100	0	29	0	185	6	172	179	
1.3	89	0	11	0	186	7	172	179	
1.4	92	0	0	0	186	7	172	179	
1.5	98	0	0	0	185	6	172	180	
1.6	96	0	0	0	186	6	172	181	
1.7	100	0	12	0	186	5	172	181	
1.8	100	0	37	0	187	7	174	180	
1.9	91	0	2	0	187	7	175	181	
2.0	92	0	0	0	187	7	174	181	
2.1	82	0	0	0	187	7	174	181	
2.2	82	0	0	0	187	7	174	181	
