
Wait stablised tot.cpu < 50
time	tot.cpu	usr.cpu	kswapd	rescd	mem.av	mem.fr	mem.sw	mem.pc
0.1	9	0	0	0	298	13	41	289	
0.2	9	0	0	0	298	13	41	289	
0.3	4	0	0	0	298	13	41	289	
0.4	6	0	0	0	298	13	41	289	
0.5	5	0	0	0	298	13	41	289	
0.6	6	0	0	0	298	13	41	289	
0.7	6	0	0	0	298	13	41	289	
0.8	11	0	0	0	298	13	41	289	
0.9	19	0	0	0	298	12	41	289	
1.0	36	0	0	0	298	11	41	290	
1.1	33	0	0	0	298	10	41	291	
1.2	33	0	0	0	297	10	41	291	
1.3	32	0	0	0	298	9	41	291	
1.4	24	0	0	0	297	8	41	292	
1.5	26	0	0	0	297	7	41	293	
1.6	39	0	0	0	297	7	41	293	
1.7	38	0	0	0	297	6	41	293	
1.8	37	0	0	0	297	7	41	293	
1.9	33	0	0	0	297	7	41	293	
2.0	37	0	0	0	297	7	41	293	
2.1	30	0	0	0	297	7	41	293	
2.2	31	0	0	0	297	6	41	293	
2.3	28	0	0	0	297	6	41	293	
2.5	30	0	0	0	297	6	41	293	
2.6	31	0	0	0	297	6	41	293	
2.7	29	0	0	0	297	6	41	293	
2.8	32	0	0	0	297	6	41	293	
2.9	31	0	0	0	297	6	41	293	
3.0	28	0	0	0	297	7	41	293	
3.1	30	0	0	0	297	7	41	293	
3.2	31	0	0	0	297	7	41	293	
 is stablised at 0.1(s)


AUL Launching... "org.tizen.browser"
Wait until usr.cpu CPU usage < 15.0
time	tot.cpu	usr.cpu	kswapd	rescd	mem.av	mem.fr	mem.sw	mem.pc
0.2	79	0	10	1	290	5	43	288	
0.3	100	18	13	0	282	5	45	280	
0.4	100	39	5	0	280	5	46	279	
0.5	100	32	9	0	280	7	47	276	
0.6	99	48	7	0	280	8	49	275	
0.8	97	39	5	0	280	8	50	275	
0.9	100	35	13	0	281	13	52	271	
1.0	97	29	2	0	281	12	52	272	
1.1	99	56	2	0	281	12	53	273	
1.2	89	44	6	0	281	13	54	271	
1.3	77	45	0	0	280	8	54	276	
1.4	88	48	0	0	279	5	54	277	
1.5	85	49	9	0	274	7	57	270	
1.6	82	44	0	0	273	5	57	272	
1.7	78	40	8	0	281	14	61	270	
1.8	77	46	0	0	288	20	61	272	
1.9	84	41	0	0	286	16	61	273	
2.0	76	29	0	0	283	13	61	274	
2.1	72	25	0	0	285	12	61	275	
2.2	75	25	0	0	284	11	61	276	
2.3	66	40	0	0	283	6	61	280	
2.4	78	45	6	0	282	7	62	279	
2.5	89	50	12	0	284	13	65	275	
2.6	96	46	0	0	284	13	65	275	
2.7	62	32	0	0	284	13	65	275	
2.8	63	24	0	0	284	12	65	275	
2.9	56	26	0	0	284	12	65	276	
3.0	58	24	0	0	284	12	65	276	
3.1	59	24	0	0	284	12	65	276	
3.2	52	26	0	0	284	12	65	276	
3.4	56	24	0	0	284	11	65	276	
3.5	56	24	0	0	284	11	65	276	
3.6	63	24	0	0	284	11	65	276	
3.7	57	24	0	0	284	11	65	276	
3.8	58	24	0	0	284	12	65	276	
3.9	60	24	0	0	285	12	65	276	
4.0	56	25	0	0	285	12	65	276	
4.1	62	24	0	0	284	11	65	276	
4.2	58	24	0	0	284	11	65	276	
4.3	59	24	0	0	286	13	65	276	
4.4	57	25	0	0	286	13	65	276	
4.5	56	26	0	0	286	13	65	276	
4.6	59	23	0	0	286	13	65	277	
4.7	55	5	0	0	286	11	65	279	
4.8	67	15	0	0	286	9	65	280	
4.9	62	5	0	0	284	6	65	281	
5.0	33	1	0	0	283	6	65	281	
5.1	51	21	0	0	283	6	65	281	
5.2	49	8	1	0	284	6	65	281	
5.3	83	21	10	0	284	8	67	278	
5.4	67	6	5	0	281	8	68	276	
5.5	63	1	6	0	282	11	69	275	
5.6	44	4	0	0	282	11	69	275	
5.7	33	1	0	0	282	11	69	275	
5.8	36	4	0	0	283	12	69	275	
5.9	38	4	0	0	283	12	69	275	
6.0	33	1	0	0	283	12	69	275	
6.1	37	4	0	0	283	12	69	275	
6.2	37	4	0	0	283	11	69	275	
6.3	45	2	0	0	283	11	69	276	
6.4	56	12	0	0	282	8	69	278	
6.5	76	20	9	0	283	10	71	277	
6.6	72	10	6	0	282	8	72	277	
6.7	81	21	15	0	282	11	75	274	
6.8	62	10	4	0	283	10	75	276	
6.9	81	33	2	0	282	8	75	278	
7.0	79	25	10	0	282	11	76	276	
7.1	69	17	2	0	282	9	77	277	
7.3	89	41	8	0	282	9	77	277	
7.4	100	42	17	0	280	11	78	273	
7.5	98	32	22	0	275	14	79	265	
7.6	96	36	11	0	268	8	80	265	
7.7	91	36	15	0	259	10	81	254	
7.8	88	33	7	0	255	10	82	251	
7.9	72	22	8	0	254	9	83	249	
8.0	69	12	6	0	253	10	84	248	
8.1	76	12	7	0	250	10	84	244	
8.2	75	15	1	0	252	10	85	246	
8.3	80	11	7	0	251	9	85	247	
8.4	77	8	9	0	254	13	87	246	
8.5	88	4	6	0	256	14	88	246	
8.6	80	6	0	0	259	17	88	246	
8.7	80	5	0	0	262	18	88	249	
8.8	81	8	0	0	264	18	88	251	
8.9	72	7	0	0	264	17	88	252	
9.0	57	3	0	0	263	16	88	252	
9.1	65	8	0	0	263	16	88	252	
9.2	75	12	0	0	255	8	88	253	
9.3	100	26	10	0	250	5	90	250	
9.4	100	21	13	0	247	6	93	246	
9.5	93	12	8	0	246	7	95	244	
9.6	99	17	18	0	240	9	100	236	
9.7	94	16	5	0	239	8	100	235	
9.9	100	19	7	0	235	9	102	231	
10.0	43	2	9	0	236	12	104	229	
10.1	36	11	0	0	237	11	104	230	
10.2	57	2	0	0	237	10	104	232	
10.3	41	6	0	0	237	10	104	232	
10.4	62	24	0	0	237	10	104	232	
10.5	64	24	0	0	239	12	104	232	
10.6	66	25	0	0	241	14	104	232	
10.7	48	8	0	0	244	16	104	232	
10.8	63	24	0	0	241	11	104	234	
10.9	80	19	14	0	234	10	105	228	
11.0	91	30	18	0	227	11	107	221	
11.1	44	9	6	0	227	12	108	220	
11.2	37	3	3	0	226	11	109	220	
11.3	58	22	2	0	226	11	109	220	
11.4	62	24	3	0	226	11	109	219	
11.5	39	6	0	0	225	11	109	219	
11.6	42	9	0	0	225	10	109	220	
11.7	48	14	4	0	225	11	110	219	
11.8	40	8	0	0	230	15	110	220	
11.9	38	8	0	0	233	19	110	220	
12.0	33	5	0	0	239	23	110	220	
12.1	40	7	0	0	239	23	110	221	
12.2	47	7	0	0	238	20	110	222	
12.3	35	6	0	0	238	20	110	222	
12.4	34	4	0	0	237	20	110	222	
12.5	34	3	0	0	237	19	110	222	
12.6	45	8	0	0	236	19	110	222	
12.7	52	14	0	0	235	14	110	226	
12.8	68	18	7	0	233	10	111	227	
12.9	63	18	3	0	235	13	111	227	
13.0	51	3	1	0	236	12	111	229	
13.1	39	4	1	0	236	12	112	229	
13.2	51	14	2	0	235	11	112	229	
13.3	64	20	4	0	234	10	113	229	
13.4	50	13	3	0	234	11	114	229	
13.5	30	3	0	0	234	11	114	229	
13.7	42	4	0	0	234	10	114	229	
13.8	41	8	0	0	234	9	114	230	
13.9	58	23	0	0	233	8	114	230	
14.0	60	24	0	0	233	7	114	230	
14.1	66	26	5	0	231	9	114	227	
14.2	56	6	5	0	231	7	115	229	
14.3	57	0	16	0	232	15	116	221	
14.4	55	3	0	0	224	7	116	222	
14.5	67	0	8	0	225	9	117	221	
14.6	82	1	18	0	226	9	118	222	
14.7	99	8	20	0	226	13	121	217	
14.8	90	12	1	0	224	10	121	219	
14.9	90	10	0	0	223	7	121	222	
15.0	88	10	0	0	223	5	121	223	
15.1	82	11	9	0	223	7	122	222	
15.2	49	1	14	0	226	16	123	215	
15.3	31	2	0	0	226	16	123	215	
15.4	31	0	0	0	226	15	123	215	
15.5	31	0	0	0	225	15	123	215	
15.7	35	2	0	0	226	15	123	216	
15.8	46	9	2	0	222	11	124	215	
15.9	54	17	8	0	217	11	125	212	
16.0	58	27	1	0	220	14	125	211	
16.1	55	24	2	0	214	8	125	210	
16.2	67	26	12	0	215	18	127	202	
16.3	46	10	1	0	212	22	127	195	
16.4	41	0	10	0	212	33	129	183	
16.5	33	4	0	0	224	44	129	184	
16.6	35	0	0	0	224	44	129	184	
16.7	33	2	0	0	225	45	129	184	
16.8	41	7	0	0	232	53	129	184	
16.9	31	0	0	0	232	52	129	184	
17.0	31	0	0	0	232	52	129	184	
17.1	28	0	0	0	232	52	129	184	
17.2	32	3	0	0	232	52	129	184	
17.3	36	5	0	0	231	52	129	184	
17.4	33	4	0	0	231	51	129	185	
17.5	31	0	0	0	231	51	129	185	
17.6	32	0	0	0	231	51	129	185	
17.7	38	5	0	0	230	50	129	185	
17.8	31	1	0	0	230	50	129	185	
17.9	30	0	0	0	230	50	129	185	
18.0	32	0	0	0	230	50	129	185	
18.1	37	0	0	0	230	50	129	185	
18.2	42	7	0	0	230	49	129	185	
18.3	32	1	0	0	230	50	129	185	
18.4	35	2	0	0	230	50	129	185	
18.5	31	0	0	0	230	50	129	185	
18.6	48	6	0	0	229	49	129	185	
18.7	49	19	0	0	228	48	129	185	
18.8	42	4	0	0	227	46	129	185	
18.9	44	4	0	0	219	39	129	185	
19.0	79	32	0	0	206	26	129	185	
19.2	31	10	0	0	206	26	129	185	
19.3	40	1	0	0	206	26	129	185	
19.4	32	8	0	0	204	24	129	185	
19.5	5	0	0	0	204	24	129	185	
19.6	10	0	0	0	204	23	129	186	
19.7	15	0	0	0	205	24	129	186	
19.8	5	0	0	0	205	24	129	186	
19.9	15	4	0	0	205	24	129	186	
20.0	8	1	0	0	207	26	129	186	
20.1	8	2	0	0	213	32	129	186	
20.2	10	0	0	0	213	32	129	186	
20.3	11	0	0	0	213	32	129	186	
20.4	11	4	0	0	213	32	129	186	
20.5	6	0	0	0	213	32	129	186	
20.6	11	0	0	0	213	32	129	186	
20.7	8	0	0	0	213	32	129	186	
20.8	10	0	0	0	214	33	129	186	
20.9	12	4	0	0	214	33	129	186	
21.0	8	0	0	0	214	33	129	186	
21.1	6	0	0	0	214	33	129	186	
21.2	9	0	0	0	214	33	129	186	
21.3	8	0	0	0	214	33	129	186	
21.4	10	3	0	0	214	33	129	186	
21.5	7	0	0	0	214	33	129	186	
21.6	14	1	0	0	214	33	129	186	
21.7	12	0	0	0	214	33	129	186	
21.8	8	0	0	0	214	33	129	186	
21.9	21	4	0	0	214	33	129	186	
22.0	8	1	0	0	214	33	129	186	
22.1	11	0	0	0	214	33	129	186	
22.2	7	0	0	0	214	33	129	186	
org.tizen.browser is stablised at 19.2(s)


Sleep for 3000ms
time	tot.cpu	usr.cpu	kswapd	rescd	mem.av	mem.fr	mem.sw	mem.pc
0.1	7	0	0	0	214	33	129	186	
0.2	9	0	0	0	214	33	129	186	
0.3	13	0	0	0	214	33	129	186	
0.4	9	0	0	0	214	33	129	186	
0.5	8	0	0	0	214	32	129	186	
0.6	9	0	0	0	214	32	129	186	
0.7	9	0	0	0	214	32	129	186	
0.8	6	0	0	0	214	32	129	186	
0.9	8	0	0	0	214	32	129	186	
1.0	12	0	0	0	214	32	129	186	
1.1	9	0	0	0	214	32	129	186	
1.2	8	0	0	0	214	32	129	186	
1.3	13	0	0	0	214	32	129	186	
1.4	7	0	0	0	214	32	129	186	
1.5	10	0	0	0	214	32	129	186	
1.6	10	0	0	0	214	32	129	186	
1.7	5	0	0	0	214	32	129	186	
1.8	7	0	0	0	214	32	129	186	
1.9	6	0	0	0	213	32	129	186	
2.0	12	0	0	0	213	32	129	186	
2.1	7	0	0	0	213	32	129	186	
2.2	10	0	0	0	214	32	129	186	
2.3	11	0	0	0	214	32	129	186	
