
Wait stablised tot.cpu < 50
time	tot.cpu	usr.cpu	kswapd	rescd	mem.av	mem.fr	mem.sw	mem.pc
0.1	15	0	0	0	286	10	83	276	
0.2	11	0	0	0	286	10	83	276	
0.3	9	0	0	0	286	10	83	276	
0.4	7	0	0	0	286	10	83	276	
0.5	16	0	0	0	286	10	83	276	
0.6	7	0	0	0	286	10	83	276	
0.7	13	0	0	0	286	10	83	276	
0.8	6	0	0	0	286	10	83	276	
0.9	14	0	0	0	286	10	83	276	
1.0	9	0	0	0	286	10	83	276	
1.1	25	0	0	0	286	10	83	276	
1.2	10	0	0	0	286	10	83	276	
1.3	14	0	0	0	286	10	83	276	
1.4	23	0	0	0	286	10	83	276	
1.5	12	0	0	0	286	10	83	276	
1.6	10	0	0	0	286	10	83	276	
1.7	10	0	0	0	286	10	83	276	
1.8	10	0	0	0	286	10	83	276	
1.9	16	0	0	0	286	10	83	276	
2.0	13	0	0	0	286	10	83	276	
2.1	9	0	0	0	286	10	83	276	
2.2	9	0	0	0	286	10	83	276	
2.3	9	0	0	0	286	10	83	276	
2.4	13	0	0	0	286	10	83	276	
2.6	19	0	0	0	286	10	83	276	
2.7	7	0	0	0	286	10	83	276	
2.8	14	0	0	0	286	10	83	276	
2.9	11	0	0	0	286	10	83	276	
3.0	16	0	0	0	286	10	83	276	
3.1	9	0	0	0	286	10	83	276	
3.2	14	0	0	0	286	10	83	276	
 is stablised at 0.1(s)


AUL Launching... "org.tizen.browser"
Wait until usr.cpu CPU usage < 30.0
time	tot.cpu	usr.cpu	kswapd	rescd	mem.av	mem.fr	mem.sw	mem.pc
0.2	78	0	8	1	278	7	85	271	
0.3	97	13	14	2	272	5	86	267	
0.4	100	16	17	0	270	4	88	266	
0.6	100	16	14	0	270	6	88	264	
0.7	100	14	12	0	270	6	89	264	
0.8	100	27	19	0	269	7	91	262	
0.9	100	34	18	0	270	12	93	259	
1.1	100	29	0	0	270	9	93	260	
1.2	100	56	0	0	270	7	93	263	
1.3	100	44	11	0	269	7	94	263	
1.4	100	46	17	0	272	10	96	261	
1.5	100	60	0	0	272	9	96	263	
1.6	100	50	0	0	272	7	96	265	
1.7	100	27	7	0	270	7	97	264	
1.9	100	45	15	0	272	10	99	262	
2.0	98	54	0	0	272	9	99	263	
2.1	100	59	0	0	272	8	99	264	
2.2	100	60	0	0	272	8	99	264	
2.3	100	59	0	0	272	8	99	265	
2.4	100	61	13	0	272	9	100	263	
2.5	100	48	2	0	273	9	100	264	
2.7	100	46	2	0	272	8	100	265	
2.8	100	35	0	0	272	7	100	265	
2.9	100	43	14	0	264	7	102	257	
3.0	100	54	19	0	265	10	104	255	
3.1	100	73	0	0	265	10	104	255	
3.2	100	47	0	0	271	13	104	258	
3.3	100	52	0	0	279	20	104	259	
3.5	100	67	0	0	277	16	104	262	
3.6	100	54	0	0	277	14	104	263	
3.7	100	40	0	0	273	10	104	263	
3.8	100	34	0	0	275	11	104	264	
3.9	100	34	0	0	274	10	104	265	
4.0	96	29	0	0	274	9	104	265	
4.1	96	31	0	0	273	7	104	266	
4.2	100	44	6	0	271	5	104	266	
4.4	100	44	15	0	271	7	106	264	
4.5	100	15	21	0	270	7	107	263	
4.6	100	17	24	0	269	6	108	263	
4.7	100	2	26	0	267	8	108	260	
