
Pre-Reclaim: 240000

Sleep for 5000ms
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	60	0	49	298	35	98	
0.2	60	0	51	301	42	103	
0.3	65	0	49	304	45	108	
0.4	62	0	51	307	57	113	
0.5	65	0	49	311	61	119	
0.6	60	0	50	315	65	125	
0.7	59	0	48	318	88	129	
0.8	59	0	47	321	91	134	
0.9	60	0	53	326	96	141	
1.0	66	0	48	332	101	148	
1.1	61	0	50	337	107	156	
1.2	62	0	51	342	111	162	
1.3	63	0	52	345	129	166	
1.4	64	0	47	345	151	166	
1.5	61	0	51	347	153	168	
1.6	62	0	49	351	157	174	
1.7	62	0	50	356	161	181	
1.8	62	0	48	360	166	188	
1.9	62	0	48	364	170	193	
2.0	60	0	49	367	173	199	
2.1	60	0	50	370	175	204	
2.2	60	0	52	372	178	209	
2.3	62	0	46	374	180	215	
2.5	63	0	47	376	182	220	
2.6	62	0	51	378	184	226	
2.7	59	0	51	381	190	229	
2.8	60	0	51	383	200	233	
2.9	66	0	52	385	228	237	
3.0	81	0	40	389	233	243	
3.1	100	0	38	389	244	246	
3.2	42	0	12	390	257	246	
3.3	13	0	0	390	257	246	
3.4	20	0	0	390	257	246	
3.5	11	0	0	390	257	246	
3.6	18	0	0	390	257	246	
3.7	14	0	0	390	257	246	
3.8	11	0	0	390	257	246	
3.9	18	0	0	390	257	246	
4.0	16	0	0	390	257	246	
4.1	15	0	0	390	257	246	
4.2	10	0	0	391	257	246	
4.3	23	0	0	391	257	246	
4.4	16	0	0	391	257	246	
4.5	18	0	0	391	257	246	
4.6	14	0	0	392	258	246	
4.7	10	0	0	392	258	246	
4.8	12	0	0	392	258	246	
4.9	19	0	0	392	258	246	
5.0	16	0	0	392	258	246	
5.1	18	0	0	392	258	246	

Pre-Reclaim: 0

Sleep for 1000ms
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	17	0	0	392	258	246	
0.2	10	0	0	392	258	246	
0.3	7	0	0	392	259	246	
0.4	9	0	0	392	259	246	
0.5	31	0	0	392	259	246	
0.6	20	0	0	393	259	246	
0.7	47	0	0	397	261	246	
0.8	37	0	0	397	261	246	
0.9	13	0	0	398	261	246	
1.0	18	0	0	398	261	246	

Wait stablised tot.cpu < 50
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	9	0	0	398	261	246	
0.2	14	0	0	398	261	246	
0.3	7	0	0	398	261	246	
0.4	21	0	0	398	261	246	
0.5	9	0	0	398	261	246	
0.6	10	0	0	398	261	246	
0.7	12	0	0	398	261	246	
0.8	15	0	0	398	261	246	
0.9	18	0	0	398	261	246	
1.0	9	0	0	398	261	246	
1.1	18	0	0	398	261	246	
1.2	10	0	0	398	261	246	
1.3	16	0	0	398	261	246	
1.4	7	0	0	398	261	246	
1.5	9	0	0	398	261	246	
1.6	11	0	0	398	261	246	
1.7	16	0	0	398	261	246	
1.8	16	0	0	398	261	246	
1.9	16	0	0	398	261	246	
2.0	14	0	0	398	261	246	
2.1	16	0	0	398	261	246	
2.2	12	0	0	398	261	246	
2.3	15	0	0	398	261	246	
2.4	16	0	0	398	261	246	
2.5	10	0	0	398	261	246	
2.6	14	0	0	398	261	246	
2.7	13	0	0	398	261	246	
2.8	13	0	0	398	261	246	
3.0	10	0	0	398	261	246	
3.1	19	0	0	398	261	246	
3.2	14	0	0	398	261	246	
 is stablised at 0.1(s)


Fork Launching... "/usr/bin/wascmd -r QizQxC7CUf.PlayMovies" pid:2767
Wait until usr.cpu CPU usage < 30.0
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.2	61	 "QizQxC7CUf.Play" not found0	398	259	246	
0.3	72	 "QizQxC7CUf.Play" not found0	397	256	246	
0.5	92	0	0	395	249	245	
0.6	76	0	0	377	229	245	
0.7	100	2	0	376	227	245	
0.8	100	30	0	376	226	245	
0.9	98	21	0	377	226	245	
1.0	94	15	0	376	224	245	
1.1	92	33	0	376	223	244	
1.2	74	15	0	376	220	244	
1.3	87	30	0	375	217	244	
1.5	71	20	0	374	211	244	
1.6	64	11	0	373	205	244	
1.7	88	33	0	373	203	244	
1.8	79	27	0	372	201	244	
1.9	47	0	0	372	200	244	
2.0	56	4	0	372	200	244	
2.1	57	9	0	372	200	244	
2.2	88	40	0	372	200	244	
2.3	69	15	0	372	199	244	
2.4	47	0	0	372	199	244	
2.5	57	0	0	372	199	244	
2.6	78	26	0	372	198	244	
2.7	89	35	0	370	196	244	
2.8	98	44	0	368	194	244	
2.9	98	39	0	366	192	244	
3.0	91	44	0	364	189	244	
3.1	98	47	0	353	178	244	
3.2	96	49	0	347	171	244	
3.4	96	42	0	343	167	244	
3.5	89	41	0	338	163	244	
3.6	90	37	0	336	160	244	
3.7	93	36	0	341	166	244	
3.8	80	33	0	341	166	244	
3.9	90	41	0	341	165	244	
4.0	92	42	0	341	164	244	
4.1	95	45	0	337	159	244	
4.2	100	38	0	341	163	244	
4.3	100	12	0	335	154	244	
4.5	100	6	0	332	149	244	
4.6	100	8	0	332	146	243	
4.7	96	0	0	331	142	243	
4.8	100	2	0	331	136	242	
4.9	98	0	0	331	132	242	
5.0	96	0	0	331	130	242	
5.1	80	0	0	331	130	242	
5.2	83	26	0	331	129	242	
5.3	100	56	0	326	122	242	
5.4	98	59	0	317	112	242	
5.6	100	70	0	313	107	242	
5.7	92	54	0	315	109	242	
5.8	94	38	0	313	105	242	
5.9	68	44	0	309	102	242	
6.0	70	42	0	315	108	242	
6.1	65	45	0	315	108	242	
6.2	59	55	0	314	106	242	
6.3	61	50	0	313	105	242	
6.4	60	53	0	309	101	242	
6.5	57	49	0	312	104	242	
6.6	60	50	0	311	104	242	
6.7	60	50	0	309	102	242	
6.8	65	59	0	309	101	242	
6.9	59	55	0	308	101	242	
7.0	58	50	0	308	100	242	
7.1	59	50	0	307	100	242	
7.2	60	50	0	306	99	242	
7.3	60	53	0	306	98	242	
7.4	58	54	0	306	98	242	
7.5	67	48	0	305	98	242	
7.6	72	55	0	305	97	242	
7.7	93	37	0	303	95	242	
7.8	100	40	0	303	94	242	
7.9	74	14	0	302	93	242	
8.0	57	0	0	301	90	242	
8.2	58	4	0	295	81	242	
8.3	79	27	0	292	77	242	
8.4	69	38	0	292	76	242	
8.5	62	48	0	291	76	242	
8.6	60	32	0	291	75	242	
8.7	67	2	0	290	74	242	
8.8	57	0	0	290	74	242	
8.9	67	29	0	288	72	242	
9.0	62	56	0	288	71	242	
9.1	61	47	0	287	71	242	
9.2	60	50	0	287	71	242	
9.3	84	68	0	278	62	242	
9.4	96	73	0	278	62	242	
9.5	84	69	0	275	59	242	
9.6	62	53	0	272	55	242	
9.7	92	71	0	268	51	242	
9.8	88	65	0	257	41	242	
9.9	64	57	0	256	40	242	
10.0	68	58	0	256	40	242	
10.1	60	50	0	256	40	242	
10.2	62	56	0	256	40	242	
