
Pre-Reclaim: 240000

Sleep for 5000ms
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	68	0	47	337	46	64	
0.2	62	0	51	340	60	69	
0.3	63	0	51	344	64	75	
0.4	62	0	50	347	67	81	
0.5	60	0	50	351	71	87	
0.6	59	0	54	354	95	90	
0.7	62	0	52	355	98	91	
0.8	60	0	50	358	101	97	
0.9	62	0	50	360	104	102	
1.0	60	0	47	363	107	107	
1.1	62	0	53	367	110	113	
1.2	62	0	49	371	114	119	
1.3	62	0	46	374	119	124	
1.4	64	0	47	377	127	128	
1.5	65	0	45	378	165	129	
1.6	57	0	49	381	168	135	
1.7	59	0	52	386	172	141	
1.8	60	0	51	393	179	150	
1.9	65	0	47	397	184	156	
2.0	63	0	51	401	188	163	
2.1	62	0	50	405	192	169	
2.2	64	0	48	412	198	177	
2.3	82	0	46	418	205	182	
2.5	79	0	43	421	208	186	
2.6	61	0	48	423	248	189	
2.7	63	0	51	426	258	193	
2.8	57	0	51	428	260	197	
2.9	15	0	0	428	260	197	
3.0	9	0	0	428	260	197	
3.1	14	0	0	428	260	197	
3.2	13	0	0	428	260	197	
3.3	12	0	0	428	260	197	
3.4	11	0	0	428	260	197	
3.5	14	0	0	428	260	197	
3.6	11	0	0	428	260	197	
3.7	14	0	0	428	260	197	
3.8	10	0	0	428	260	197	
3.9	13	0	0	428	260	197	
4.0	11	0	0	428	260	197	
4.1	16	0	0	428	260	197	
4.2	19	0	0	428	260	197	
4.3	18	0	0	428	260	197	
4.4	14	0	0	429	260	197	
4.5	12	0	0	429	260	197	
4.6	14	0	0	429	260	197	
4.7	13	0	0	429	260	197	
4.8	12	0	0	429	260	197	
4.9	9	0	0	429	260	197	
5.0	14	0	0	429	260	197	
5.1	17	0	0	429	260	197	

Pre-Reclaim: 0

Sleep for 1000ms
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	11	0	0	429	260	197	
0.2	10	0	0	429	260	197	
0.3	8	0	0	429	260	197	
0.4	14	0	0	429	260	197	
0.5	9	0	0	429	260	197	
0.6	11	0	0	429	260	197	
0.7	11	0	0	429	260	197	
0.8	18	0	0	429	260	197	
0.9	11	0	0	429	260	197	
1.0	13	0	0	429	261	197	

Wait stablised tot.cpu < 50
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	9	0	0	429	261	197	
0.2	9	0	0	429	261	197	
0.3	10	0	0	429	261	197	
0.4	9	0	0	429	261	197	
0.5	13	0	0	429	261	197	
0.6	20	0	0	429	261	197	
0.7	22	0	0	429	261	197	
0.8	24	0	0	429	261	197	
0.9	12	0	0	429	261	197	
1.0	12	0	0	429	261	197	
1.1	12	0	0	429	261	197	
1.2	12	0	0	429	261	197	
1.3	11	0	0	429	261	197	
1.4	11	0	0	429	261	197	
1.5	18	0	0	429	261	197	
1.6	16	0	0	429	261	197	
1.7	7	0	0	429	261	197	
1.8	16	0	0	429	261	197	
1.9	10	0	0	429	261	197	
2.0	12	0	0	429	261	197	
2.1	12	0	0	429	261	197	
2.2	17	0	0	429	261	197	
2.3	13	0	0	429	261	197	
2.4	14	0	0	429	261	197	
2.5	11	0	0	429	261	197	
2.6	24	0	0	429	261	197	
2.8	9	0	0	429	261	197	
2.9	14	0	0	429	261	197	
3.0	14	0	0	429	261	197	
3.1	10	0	0	429	261	197	
3.2	14	0	0	429	261	197	
 is stablised at 0.1(s)


Fork Launching... "/usr/bin/wascmd -r QizQxC7CUf.PlayMovies" pid:2556
Wait until usr.cpu CPU usage < 30.0
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	64	 "QizQxC7CUf.Play" not found0	429	259	197	
0.3	66	 "QizQxC7CUf.Play" not found0	429	258	197	
0.5	91	0	0	427	251	197	
0.6	94	19	0	409	232	197	
0.7	98	14	0	408	229	197	
0.8	82	21	0	408	227	197	
0.9	80	22	0	408	226	197	
1.0	89	30	0	408	224	197	
1.1	94	39	0	407	223	197	
1.2	94	43	0	407	223	197	
1.3	94	43	0	407	223	197	
1.4	94	37	0	407	223	197	
1.5	96	39	0	407	222	197	
1.6	96	38	0	406	222	197	
1.7	92	43	0	406	222	197	
1.8	94	44	0	405	220	197	
1.9	96	43	0	405	220	197	
2.0	94	38	0	405	219	197	
2.2	96	42	0	404	218	197	
2.3	92	42	0	402	216	197	
2.4	92	42	0	402	216	197	
2.5	90	16	0	402	216	197	
2.6	94	10	0	401	215	197	
2.7	90	35	0	401	215	197	
2.8	88	21	0	401	213	197	
2.9	94	26	0	402	214	197	
3.0	90	37	0	402	214	197	
3.1	87	30	0	402	213	197	
3.2	87	38	0	402	213	197	
3.3	85	34	0	402	213	197	
3.4	80	20	0	401	210	197	
3.5	98	17	0	400	209	197	
3.6	100	22	0	399	208	197	
3.7	93	32	0	399	208	197	
3.8	90	39	0	399	207	197	
3.9	94	50	0	398	206	197	
4.0	100	42	0	398	206	197	
4.1	100	42	0	398	205	197	
4.2	94	46	0	397	205	197	
4.4	100	47	0	396	202	197	
4.5	96	43	0	395	201	197	
4.6	98	47	0	394	200	197	
4.7	96	38	0	394	199	197	
4.8	92	46	0	394	199	197	
4.9	94	47	0	394	199	197	
5.0	98	42	0	394	199	197	
5.1	100	42	0	394	199	197	
5.2	100	43	0	394	199	197	
5.3	100	46	0	394	199	197	
5.4	100	38	0	394	199	197	
5.5	100	40	0	394	199	197	
5.6	100	20	0	394	199	197	
5.7	98	16	0	394	199	197	
5.8	96	44	0	393	197	197	
5.9	100	50	0	393	196	197	
6.0	100	48	0	393	196	197	
6.1	100	35	0	393	196	197	
6.2	100	46	0	393	196	197	
6.4	100	48	0	392	195	197	
6.5	100	46	0	392	195	197	
6.6	100	50	0	390	193	197	
6.7	96	40	0	389	191	197	
6.8	100	50	0	388	190	197	
6.9	98	47	0	387	188	197	
7.0	96	45	0	382	182	197	
7.1	100	48	0	375	176	197	
7.2	100	46	0	372	172	197	
7.3	100	48	0	367	168	197	
7.4	100	52	0	365	165	197	
7.5	100	46	0	362	162	197	
7.6	98	42	0	359	159	197	
7.7	100	54	0	357	158	197	
7.8	98	49	0	363	164	197	
7.9	100	46	0	363	164	197	
8.0	98	45	0	365	165	197	
8.1	98	43	0	366	166	197	
8.2	100	46	0	370	170	197	
8.3	100	48	0	372	172	197	
8.5	100	50	0	372	172	197	
8.6	100	41	0	376	175	197	
8.7	94	38	0	367	165	197	
8.8	98	22	0	362	158	196	
8.9	100	26	0	356	150	196	
9.1	100	27	0	355	147	196	
9.2	100	23	0	355	145	196	
9.3	100	32	0	355	143	196	
9.4	100	22	0	355	142	196	
9.5	100	28	0	355	138	196	
9.6	100	31	0	355	136	196	
9.7	100	44	0	354	136	196	
9.8	100	63	0	354	135	196	
