
Wait stablised tot.cpu < 50
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	18	0	0	196	13	276	
0.2	14	0	0	196	13	276	
0.3	10	0	0	196	13	276	
0.4	18	0	0	196	13	276	
0.5	16	0	0	196	13	276	
0.6	23	0	0	196	13	276	
0.7	14	0	0	196	13	276	
0.8	9	0	0	196	13	276	
0.9	15	0	0	196	13	276	
1.0	12	0	0	196	13	276	
1.1	7	0	0	196	13	276	
1.2	10	0	0	196	13	276	
1.3	9	0	0	196	13	276	
1.4	9	0	0	196	13	276	
1.5	10	0	0	196	13	276	
1.6	15	0	0	196	13	276	
1.7	14	0	0	196	13	276	
1.8	15	0	0	196	13	276	
1.9	12	0	0	196	13	276	
2.0	25	0	0	196	13	276	
2.1	18	0	0	196	13	276	
2.2	14	0	0	196	13	276	
2.3	21	0	0	196	13	276	
2.4	16	0	0	196	13	276	
2.5	12	0	0	196	13	276	
2.6	17	0	0	196	13	276	
2.7	11	0	0	196	13	276	
2.9	17	0	0	196	13	276	
3.0	9	0	0	196	13	276	
3.1	10	0	0	196	13	276	
3.2	9	0	0	196	13	276	
 is stablised at 0.1(s)


AUL Launching... "org.volt.apps"
Wait until usr.cpu CPU usage < 30.0
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.5	65	0	7	198	8	280	
0.6	83	26	45	198	10	282	
0.7	57	43	2	198	10	282	
0.8	59	45	0	197	8	282	
0.9	60	42	0	196	7	282	
1.0	90	35	40	194	9	285	
1.1	65	43	4	192	8	285	
1.2	69	49	8	192	8	285	
1.3	82	46	16	191	10	285	
1.4	65	47	4	192	11	285	
1.5	70	44	6	192	11	286	
1.6	64	46	6	192	11	286	
1.7	64	52	2	191	11	287	
1.8	62	48	0	191	11	287	
1.9	60	52	0	191	11	287	
2.0	60	48	0	190	9	287	
2.1	67	50	4	188	8	287	
2.2	68	49	13	188	11	287	
2.3	66	48	4	187	10	288	
2.4	60	51	0	187	10	288	
2.5	63	49	0	186	9	288	
2.6	65	51	8	185	10	288	
2.7	59	48	2	185	11	288	
2.8	65	48	2	184	10	288	
2.9	61	51	0	184	10	288	
3.0	65	51	0	183	9	288	
3.3	90	40	13	172	6	289	
3.4	100	13	5	179	17	290	
3.6	100	21	0	180	13	289	
3.7	100	22	0	179	11	289	
3.8	100	34	0	177	7	289	
3.9	100	36	0	175	5	289	
4.0	100	39	9	173	5	290	
4.1	91	22	20	175	9	292	
4.2	92	29	2	175	9	292	
4.3	69	25	4	175	8	292	
4.4	68	44	6	175	9	292	
4.5	70	46	0	174	8	292	
4.6	66	48	0	174	8	292	
4.7	61	48	0	174	8	292	
4.8	77	60	2	171	5	292	
4.9	94	40	38	173	11	295	
5.0	78	36	0	173	10	295	
5.2	94	39	0	173	8	295	
5.3	92	27	0	172	7	295	
5.4	96	42	0	171	6	295	
5.5	98	40	0	171	6	295	
5.6	94	27	0	171	5	295	
5.7	100	16	23	171	8	297	
5.8	100	14	5	171	9	297	
5.9	100	33	26	165	5	299	
6.0	100	35	19	171	12	301	
6.1	100	39	4	170	12	301	
6.3	100	40	6	171	12	302	
6.4	98	27	0	172	11	302	
6.5	100	24	0	171	10	302	
6.6	98	32	0	171	9	302	
6.7	98	41	0	171	8	302	
6.8	96	44	0	170	7	302	
6.9	100	51	2	167	4	302	
7.0	100	44	15	163	4	305	
7.1	100	38	14	174	16	306	
7.2	100	37	2	175	17	307	
7.3	100	44	0	182	24	307	
7.4	96	42	0	182	24	307	
7.5	98	45	0	182	23	307	
7.6	100	45	0	172	13	307	
7.7	82	47	0	172	13	307	
7.8	80	59	0	179	20	307	
7.9	84	57	0	179	20	307	
8.0	84	65	0	179	20	307	
8.1	73	57	0	179	19	307	
8.2	83	69	0	178	18	307	
8.3	88	67	0	178	18	307	
8.4	68	54	0	177	18	307	
8.5	73	56	0	176	17	307	
8.6	76	63	0	174	15	307	
8.7	85	67	0	173	12	307	
8.8	82	60	0	172	11	307	
8.9	77	55	0	172	11	307	
9.1	63	47	0	169	7	307	
9.2	78	55	6	170	9	307	
9.3	100	62	21	170	11	308	
9.4	85	54	15	170	12	309	
9.5	82	60	0	170	12	309	
9.6	72	56	0	169	11	309	
9.7	90	46	0	167	7	309	
9.8	87	21	0	166	6	309	
9.9	67	12	0	166	5	309	
10.0	88	24	37	165	6	311	
10.1	100	29	42	165	8	313	
10.2	87	43	17	166	10	314	
10.3	88	67	6	165	9	314	
10.4	62	51	0	165	9	314	
10.5	79	65	0	165	9	314	
10.6	98	78	0	163	7	314	
10.7	92	76	0	161	6	314	
10.8	88	69	2	159	4	314	
10.9	98	49	25	159	6	316	
11.0	92	43	29	160	9	317	
11.1	69	48	0	160	9	317	
11.2	73	54	0	160	9	317	
11.3	69	46	0	160	9	317	
11.4	67	50	0	160	9	317	
11.5	76	45	0	160	9	317	
11.6	64	46	0	160	9	317	
11.7	69	53	0	160	9	317	
11.8	71	50	0	160	9	317	
11.9	69	58	0	160	9	317	
12.0	74	54	0	160	9	317	
12.1	76	56	0	160	9	317	
12.2	67	47	0	160	9	317	
12.3	54	32	0	160	9	317	
12.4	13	2	0	160	9	317	
12.5	17	0	2	160	9	317	
12.7	15	2	0	160	9	317	
12.8	22	0	16	160	10	318	
12.9	18	0	0	160	11	318	
13.0	20	4	2	160	11	318	
13.1	34	26	0	160	11	318	
