
Wait stablised tot.cpu < 50
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	9	0	0	228	32	349	
0.2	11	0	0	228	32	349	
0.3	14	0	0	228	32	349	
0.4	15	0	0	228	32	349	
0.5	9	0	0	228	32	349	
0.6	9	0	0	228	32	349	
0.7	9	0	0	228	32	349	
0.8	7	0	0	228	32	349	
0.9	14	0	0	228	32	349	
1.0	21	0	0	228	32	349	
1.1	14	0	0	228	32	349	
1.2	13	0	0	228	32	349	
1.3	20	0	0	228	32	349	
1.4	16	0	0	228	32	349	
1.5	9	0	0	228	32	349	
1.6	7	0	0	228	32	349	
1.7	11	0	0	228	32	349	
1.8	2	0	0	228	32	349	
1.9	14	0	0	228	32	349	
2.0	12	0	0	228	32	349	
2.1	9	0	0	228	32	349	
2.2	7	0	0	228	32	349	
2.3	13	0	0	228	32	349	
2.4	14	0	0	228	32	349	
2.5	22	0	0	228	32	349	
2.6	9	0	0	228	32	349	
2.7	9	0	0	228	32	349	
2.8	9	0	0	228	32	349	
3.0	13	0	0	228	32	349	
3.1	7	0	0	228	32	349	
3.2	7	0	0	228	32	349	
 is stablised at 0.1(s)


AUL Launching... "org.volt.apps"
Wait until usr.cpu CPU usage < 30.0
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.5	67	0	6	230	31	350	
0.6	56	38	2	229	30	350	
0.7	64	49	2	227	29	350	
0.8	59	50	0	225	27	350	
0.9	58	35	0	222	22	350	
1.0	61	55	2	219	20	350	
1.1	61	55	0	219	19	350	
1.2	56	46	0	218	19	350	
1.3	58	48	0	218	19	350	
1.4	59	48	0	219	19	350	
1.5	58	48	0	218	18	350	
1.6	60	44	0	218	18	350	
1.7	62	48	0	217	18	350	
1.8	60	53	0	217	17	350	
1.9	62	51	0	216	16	350	
2.0	62	50	0	215	14	350	
2.1	64	53	0	213	13	350	
2.2	62	48	0	212	12	350	
2.3	60	49	0	213	12	350	
2.4	64	49	0	212	11	350	
2.5	58	50	0	210	10	350	
2.6	61	54	0	209	9	350	
2.7	62	51	0	208	8	350	
2.8	63	52	0	208	7	350	
2.9	66	48	0	208	6	350	
3.0	90	50	15	200	4	353	
3.1	100	19	19	199	9	354	
3.2	100	11	5	208	19	354	
3.4	100	16	0	208	18	354	
3.5	100	15	0	208	17	354	
3.6	100	17	0	208	17	354	
3.7	100	29	0	206	13	354	
3.8	100	29	0	206	12	354	
3.9	98	36	0	204	11	354	
4.0	100	55	0	202	8	354	
4.1	74	44	0	201	7	354	
4.2	62	38	0	201	6	354	
4.3	64	47	0	201	6	354	
4.4	73	46	12	200	8	355	
4.5	69	45	0	200	8	355	
4.6	80	70	0	199	5	355	
4.7	55	38	0	199	5	355	
4.8	86	37	22	198	9	356	
4.9	60	49	0	198	9	356	
5.0	65	35	0	198	9	356	
5.1	87	49	0	199	8	356	
5.2	91	44	0	198	6	356	
5.3	89	13	13	197	6	357	
5.4	100	4	29	198	9	359	
5.5	98	6	20	199	12	360	
5.6	96	13	0	199	11	360	
5.7	98	22	0	198	9	360	
5.9	98	25	2	193	4	361	
6.0	100	31	16	197	13	362	
6.1	100	36	12	197	15	363	
6.2	100	37	0	197	15	363	
6.3	98	18	0	198	14	363	
6.4	96	35	0	197	12	363	
6.5	98	37	0	197	12	363	
6.6	100	30	0	197	12	363	
6.7	98	40	0	196	10	363	
6.8	100	44	0	192	5	363	
6.9	100	31	20	186	5	365	
7.0	98	46	7	200	21	365	
7.1	98	48	0	216	37	365	
7.2	100	40	0	215	37	365	
7.3	96	33	0	215	36	365	
7.4	87	31	0	216	36	365	
7.5	94	50	0	215	34	365	
7.6	87	26	0	206	24	365	
7.7	61	50	0	205	23	365	
7.8	74	56	0	205	23	365	
7.9	80	73	0	205	23	365	
8.0	70	52	0	204	22	365	
8.1	76	53	0	203	21	365	
8.2	92	73	0	203	21	365	
8.3	85	70	0	203	21	365	
8.4	68	53	0	203	21	365	
8.5	72	59	0	202	20	365	
8.6	76	64	0	199	17	365	
8.7	98	73	0	197	14	365	
8.8	70	57	0	197	14	365	
8.9	78	59	0	197	14	365	
9.0	59	43	0	194	10	365	
9.1	100	57	0	195	11	365	
9.3	100	60	0	196	12	365	
9.4	94	42	0	194	9	365	
9.5	82	18	0	193	7	365	
9.6	63	0	0	192	6	365	
9.7	73	18	18	191	8	366	
9.8	76	37	16	191	8	366	
9.9	85	60	0	191	8	366	
10.0	94	65	10	190	9	367	
10.1	96	45	33	190	11	368	
10.2	87	71	0	188	9	368	
10.3	94	73	0	187	8	368	
10.4	86	64	0	186	7	368	
10.5	90	67	0	185	6	368	
10.6	88	70	0	184	5	368	
10.7	96	52	26	183	7	370	
10.8	85	56	9	183	7	370	
10.9	84	62	0	183	7	370	
11.0	76	49	0	184	8	370	
11.1	67	53	0	184	8	370	
11.2	71	52	0	184	8	370	
11.3	75	49	0	184	8	370	
11.4	75	45	0	184	8	370	
11.5	64	51	0	184	8	370	
11.6	72	43	0	184	8	370	
11.7	65	44	0	183	8	370	
11.8	67	50	0	183	8	370	
11.9	66	49	0	183	8	370	
12.0	66	51	0	184	8	370	
12.1	73	49	0	184	8	370	
12.2	73	51	0	184	8	370	
12.3	67	51	0	184	8	370	
12.4	30	14	0	184	8	370	
12.5	15	2	0	184	8	370	
12.6	11	0	0	184	8	370	
12.7	38	24	0	184	8	370	
12.8	13	2	0	184	8	370	
13.0	12	2	0	184	8	370	
13.1	9	0	0	184	9	370	
13.2	2	0	0	184	9	370	
13.3	13	0	0	184	9	370	
13.4	9	2	0	184	9	370	
13.5	9	0	0	184	9	370	
13.6	10	0	0	184	9	370	
13.7	9	2	0	184	9	370	
13.8	20	8	0	184	9	370	
13.9	20	6	0	184	9	370	
14.0	13	0	0	184	9	370	
14.1	16	0	0	184	9	370	
14.2	14	2	0	184	9	370	
14.3	18	0	0	184	9	370	
14.4	15	0	0	184	9	370	
14.5	11	4	0	184	9	370	
14.6	12	0	0	184	9	370	
14.7	7	0	0	184	9	370	
14.8	13	0	0	184	9	370	
14.9	12	0	0	184	9	370	
15.0	14	0	0	184	9	370	
15.1	13	0	0	184	9	370	
15.2	9	2	0	184	9	370	
15.3	14	0	0	184	9	370	
15.4	11	0	0	184	9	370	
15.5	29	2	0	184	9	370	
org.volt.apps is stablised at 12.4(s)


Sleep for 3000ms
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	18	0	0	184	9	370	
0.2	2	0	0	184	9	370	
0.3	20	0	0	184	9	370	
0.4	13	0	0	184	9	370	
0.5	9	0	0	184	9	370	
0.6	16	0	0	184	9	370	
0.7	7	0	0	184	9	370	
0.8	9	0	0	184	9	370	
0.9	11	0	0	184	9	370	
1.0	9	0	0	184	9	370	
1.1	7	0	0	184	9	370	
1.2	9	0	0	184	9	370	
1.3	11	0	0	184	9	370	
1.4	13	0	0	184	9	370	
1.5	14	0	0	184	9	370	
1.6	13	0	0	184	9	370	
1.7	7	0	0	184	9	370	
1.8	5	0	0	184	9	370	
1.9	16	0	0	184	9	370	
2.0	14	0	0	184	9	370	
2.1	15	0	0	184	9	370	
2.2	11	0	0	184	9	370	
2.3	12	0	0	184	9	370	
2.4	7	0	0	184	9	370	
2.5	9	0	0	184	9	370	
2.6	9	0	0	184	9	370	
2.7	7	0	0	184	9	370	
2.8	11	0	0	184	9	370	
2.9	13	0	0	184	9	370	
3.1	9	0	0	184	9	370	

Wait stablised tot.cpu < 50
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	31	0	0	184	9	370	
0.2	7	0	0	184	9	370	
0.3	12	0	0	184	9	370	
0.4	11	0	0	184	9	370	
0.5	11	0	0	184	9	370	
0.6	19	0	0	184	9	370	
0.7	14	0	0	184	9	370	
0.8	9	0	0	184	9	370	
0.9	5	0	0	184	9	370	
1.0	9	0	0	185	9	370	
1.1	12	0	0	185	9	370	
1.2	9	0	0	185	9	370	
1.3	9	0	0	185	9	370	
1.4	12	0	0	184	9	370	
1.5	11	0	0	184	9	370	
1.6	12	0	0	184	9	370	
1.7	23	0	0	184	9	370	
1.8	9	0	0	184	9	370	
1.9	7	0	0	184	9	370	
2.0	9	0	0	184	9	370	
2.1	11	0	0	184	9	370	
2.2	9	0	0	184	9	370	
2.3	31	0	0	185	9	370	
2.4	12	0	0	185	9	370	
2.5	15	0	0	185	9	370	
2.6	13	0	0	185	9	370	
2.7	18	0	0	185	9	370	
2.9	11	0	0	185	9	370	
3.0	12	0	0	185	9	370	
3.1	12	0	0	185	9	370	
3.2	14	0	0	185	9	370	
 is stablised at 0.1(s)


AUL Launching... "org.tizen.tv-viewer"
Wait until usr.cpu CPU usage < 50.0

Sleep for 3000ms
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	100	0	18	178	8	373	
0.2	100	0	0	174	8	373	
0.4	100	0	16	178	17	375	
0.5	100	0	19	170	15	376	
0.6	100	0	2	171	15	376	
0.7	100	0	0	171	15	376	
0.8	100	0	0	170	15	376	
0.9	100	0	0	170	15	376	
1.0	100	0	0	170	15	376	
1.1	100	0	0	171	13	376	
1.2	100	0	0	171	13	376	
1.3	100	0	0	171	13	376	
1.4	86	0	0	171	13	376	
1.5	71	0	0	171	13	376	
1.7	72	0	0	170	13	376	
1.8	69	0	0	170	13	376	
1.9	69	0	0	170	13	376	
2.0	65	0	0	170	13	376	
2.1	67	0	0	170	13	376	
2.2	94	0	0	170	13	376	
2.3	76	0	0	170	13	376	
2.4	69	0	0	170	13	376	
2.5	69	0	0	170	13	376	
2.6	65	0	0	170	13	376	
2.7	37	0	0	171	13	376	
2.8	24	0	0	170	12	376	
2.9	13	0	0	170	12	376	
3.0	11	0	0	170	12	376	
3.1	9	0	0	170	12	376	

Wait stablised tot.cpu < 50
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	15	0	0	170	13	376	
0.2	22	0	0	170	13	376	
0.3	7	0	0	170	13	376	
0.4	9	0	0	170	13	376	
0.5	9	0	0	170	13	376	
0.6	23	0	0	170	13	376	
0.7	17	0	0	170	13	376	
0.8	18	0	0	170	13	376	
0.9	11	0	0	170	12	376	
1.0	9	0	0	170	12	376	
