
Wait stablised tot.cpu < 50
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	13	0	0	336	15	52	
0.2	16	0	0	336	15	52	
0.3	15	0	0	336	15	52	
0.4	13	0	0	336	15	52	
0.5	36	0	0	336	15	52	
0.6	60	0	0	336	15	52	
0.7	13	0	0	336	15	52	
0.8	28	0	0	336	15	52	
0.9	38	0	0	336	15	52	
1.0	16	0	0	336	15	52	
1.1	11	0	0	336	15	52	
1.2	20	0	0	336	15	52	
1.3	15	0	0	336	15	52	
1.4	29	0	0	336	15	52	
1.5	11	0	0	336	15	52	
1.6	47	0	0	336	15	52	
1.7	15	0	0	336	15	52	
1.8	16	0	0	336	15	52	
1.9	7	0	0	336	15	52	
2.0	17	0	0	336	15	52	
2.1	18	0	0	336	15	52	
2.2	65	0	0	336	15	52	
2.3	39	0	0	336	15	52	
2.4	11	0	0	336	15	52	
2.5	48	0	0	336	15	52	
2.7	15	0	0	336	15	52	
2.8	15	0	0	336	15	52	
2.9	20	0	0	336	15	52	
3.0	8	0	0	336	15	52	
3.1	27	0	0	336	15	52	
3.2	14	0	0	336	15	52	
3.3	16	0	0	336	15	52	
3.4	20	0	0	336	15	52	
3.5	11	0	0	336	15	52	
3.6	30	0	0	336	15	52	
3.7	17	0	0	336	15	52	
3.8	9	0	0	336	15	52	
3.9	11	0	0	336	15	52	
4.0	11	0	0	336	15	52	
4.1	19	0	0	336	15	52	
4.2	12	0	0	336	15	52	
4.3	14	0	0	336	15	52	
4.4	11	0	0	336	15	52	
4.5	9	0	0	336	15	52	
4.6	16	0	0	336	15	52	
4.7	7	0	0	336	15	52	
4.8	21	0	0	336	15	52	
4.9	14	0	0	336	15	52	
5.0	18	0	0	336	15	52	
5.1	12	0	0	336	15	52	
5.2	9	0	0	336	15	52	
5.3	13	0	0	336	15	52	
5.4	15	0	0	336	15	52	
 is stablised at 2.3(s)


Fork Launching... "/usr/bin/wascmd -r QizQxC7CUf.PlayMovies" pid:2707
Wait until usr.cpu CPU usage < 30.0
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	71	 "QizQxC7CUf.Play" not found0	334	14	52	
0.6	94	0	9	320	12	57	
0.7	95	37	0	320	11	57	
0.8	94	37	0	320	11	57	
0.9	96	42	0	320	11	57	
1.0	94	40	0	320	11	57	
1.1	96	41	0	320	11	57	
1.2	92	43	0	320	10	57	
1.4	95	39	0	320	10	57	
1.5	89	30	0	319	9	57	
1.6	95	46	0	319	9	57	
1.7	94	38	0	319	9	57	
1.8	98	41	0	317	7	57	
1.9	92	41	0	316	5	57	
2.0	90	44	0	316	5	57	
2.1	85	13	0	316	5	57	
2.2	91	19	4	316	8	58	
2.3	94	31	0	316	8	58	
2.4	92	27	0	318	9	58	
2.5	88	39	0	318	9	58	
2.6	92	34	0	317	8	58	
2.7	90	42	0	317	8	58	
2.8	88	32	0	317	7	58	
2.9	100	25	0	316	6	58	
3.1	96	24	5	315	9	60	
3.2	88	37	0	315	9	60	
3.3	94	43	0	315	8	60	
3.4	96	45	0	315	8	60	
3.5	96	48	0	315	8	60	
3.6	98	43	0	314	7	60	
3.7	98	47	0	312	5	60	
3.8	98	44	13	313	11	62	
3.9	92	38	0	314	11	62	
4.0	91	41	0	314	11	62	
4.1	90	37	0	314	11	62	
4.2	94	40	0	314	11	62	
4.3	93	50	0	313	11	62	
4.4	94	46	0	313	11	62	
4.5	96	44	0	313	11	62	
4.6	94	49	0	313	11	62	
4.7	88	38	0	313	11	62	
4.8	89	39	0	313	11	62	
5.0	96	49	0	313	11	62	
5.1	96	45	0	313	11	62	
5.2	94	44	0	313	11	62	
5.3	100	49	0	313	11	62	
5.4	95	45	0	312	10	62	
5.5	87	35	0	312	10	62	
5.6	96	44	0	312	10	62	
5.7	96	47	0	312	10	62	
5.8	98	47	0	312	9	62	
5.9	98	48	0	311	8	62	
6.0	98	48	0	311	8	62	
6.1	100	48	0	311	8	62	
6.2	100	52	0	311	8	62	
6.3	100	50	0	310	7	62	
6.4	100	48	0	310	7	62	
6.5	100	48	0	309	5	62	
6.6	100	29	14	308	11	64	
6.7	100	47	4	307	10	65	
6.8	96	32	13	305	11	65	
6.9	100	42	8	297	5	66	
7.0	100	29	22	293	6	66	
7.1	100	23	30	292	7	67	
7.2	100	23	23	290	7	67	
