
Wait stablised tot.cpu < 50
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	12	0	0	191	19	206	
0.2	13	0	0	191	19	206	
0.3	17	0	0	191	19	206	
0.4	11	0	0	191	19	206	
0.5	12	0	0	191	19	206	
0.6	12	0	0	191	19	206	
0.7	16	0	0	191	19	206	
0.8	18	0	0	192	19	206	
0.9	16	0	0	192	19	206	
1.0	16	0	0	192	19	206	
1.1	17	0	0	192	20	206	
1.2	20	0	0	192	19	206	
1.3	16	0	0	192	19	206	
1.4	18	0	0	192	19	206	
1.5	14	0	0	192	19	206	
1.6	16	0	0	192	19	206	
1.7	12	0	0	192	19	206	
1.8	15	0	0	192	19	206	
1.9	14	0	0	192	19	206	
2.0	18	0	0	192	19	206	
2.1	15	0	0	192	19	206	
2.2	25	0	0	192	19	206	
2.3	23	0	0	192	19	206	
2.4	15	0	0	192	19	206	
2.5	12	0	0	192	19	206	
2.6	18	0	0	192	19	206	
2.8	14	0	0	192	19	206	
2.9	22	0	0	192	20	206	
3.0	11	0	0	192	20	206	
3.1	19	0	0	192	20	206	
3.2	18	0	0	192	20	206	
 is stablised at 0.1(s)


AUL Launching... "org.volt.apps"
Wait until usr.cpu CPU usage < 30.0
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
1.8	64	0	9	193	6	216	
1.9	92	38	37	193	7	218	
2.0	98	42	38	194	12	223	
2.1	69	42	4	195	12	223	
2.2	67	31	14	191	7	224	
2.3	84	45	29	192	11	227	
2.5	69	40	10	192	11	228	
2.6	68	46	8	192	12	229	
2.7	67	51	6	192	12	230	
2.8	66	49	4	193	12	230	
2.9	73	49	6	192	12	231	
3.0	74	49	6	193	13	231	
3.1	71	52	6	193	13	232	
3.2	72	51	4	192	12	232	
3.3	75	42	10	192	12	233	
3.4	73	43	10	191	10	234	
3.5	75	45	8	191	11	235	
3.6	100	47	12	191	11	236	
3.7	100	48	0	191	11	236	
3.8	100	42	0	190	10	236	
3.9	98	44	0	187	7	236	
4.0	100	45	0	200	20	236	
4.1	71	51	0	200	19	236	
4.2	65	47	0	199	19	236	
4.3	60	48	0	199	19	236	
4.4	67	50	0	198	18	236	
4.5	95	34	19	191	13	238	
4.7	100	17	0	198	21	238	
4.8	100	21	0	197	20	238	
4.9	100	20	0	197	20	238	
5.0	98	43	0	196	17	238	
5.1	100	44	0	195	16	238	
5.2	100	28	0	194	15	238	
5.3	100	40	0	193	14	238	
5.4	98	53	0	191	11	238	
5.5	88	36	0	191	12	238	
5.6	67	48	0	191	12	238	
5.7	62	40	0	190	11	238	
5.8	71	47	0	190	11	238	
5.9	75	56	0	190	10	238	
6.0	62	46	0	189	8	238	
6.1	67	39	0	188	8	238	
6.2	72	40	0	188	8	238	
6.3	63	39	0	188	7	238	
6.4	64	47	0	188	7	238	
6.5	71	48	0	187	6	238	
6.6	83	21	0	187	5	238	
6.7	94	11	17	185	5	238	
6.9	95	21	12	185	6	239	
7.0	98	39	18	186	10	241	
7.1	100	75	10	188	15	241	
7.2	96	41	6	189	16	242	
7.3	70	44	6	189	16	242	
7.4	73	49	2	189	15	242	
7.5	69	42	4	190	17	243	
7.6	92	60	12	185	14	243	
7.7	98	65	12	191	22	244	
7.8	80	55	0	199	30	244	
7.9	61	45	0	199	30	244	
8.0	64	49	0	199	30	244	
8.1	63	45	0	199	30	244	
8.2	63	48	0	199	30	244	
8.3	67	53	0	199	29	244	
8.4	77	65	0	199	29	244	
8.5	82	63	0	198	29	244	
8.6	71	51	0	203	34	244	
8.7	75	54	0	202	33	244	
8.8	98	77	0	202	33	244	
8.9	81	46	0	202	33	244	
9.0	76	63	0	201	31	244	
9.1	80	54	0	199	29	244	
9.2	85	60	0	198	29	244	
9.3	88	67	0	196	26	244	
9.4	80	64	0	196	25	244	
9.5	76	65	0	194	22	244	
9.6	67	47	0	193	21	244	
9.7	98	75	0	195	23	244	
9.8	90	69	0	194	21	244	
10.0	79	21	0	194	20	244	
10.1	63	0	0	193	19	244	
10.2	68	18	0	193	18	244	
10.3	67	33	0	193	17	244	
10.4	77	60	0	193	17	244	
10.5	84	69	0	191	15	244	
10.6	82	66	0	190	14	244	
10.7	100	85	0	189	13	244	
10.8	77	57	0	188	12	244	
10.9	73	65	0	186	10	244	
11.0	92	75	0	186	10	244	
11.1	87	68	0	184	8	244	
11.2	87	64	0	183	7	244	
11.3	86	66	0	182	6	244	
11.4	81	65	0	181	4	244	
11.5	100	40	40	182	9	247	
11.6	73	48	6	182	9	247	
11.7	70	57	0	182	9	247	
11.8	73	55	0	182	9	247	
11.9	75	50	0	182	9	247	
12.0	70	57	0	182	9	247	
12.1	73	53	0	182	9	247	
12.2	79	50	0	182	9	247	
12.3	70	55	0	182	9	247	
12.4	76	53	2	182	9	247	
12.5	92	47	4	182	10	247	
12.6	74	45	0	182	10	247	
12.7	68	49	0	182	10	247	
12.8	47	27	0	182	10	247	
12.9	19	0	0	182	10	247	
13.0	20	0	2	182	11	247	
13.1	25	2	0	182	11	247	
13.2	40	19	2	182	11	247	
13.4	27	10	0	182	11	247	
13.5	12	0	0	182	11	247	
13.6	12	2	0	182	11	247	
13.7	20	0	0	182	11	247	
13.8	15	0	0	182	11	247	
13.9	20	2	0	182	11	247	
14.0	12	0	0	182	11	247	
14.1	14	0	0	182	11	247	
14.2	31	0	0	182	11	247	
14.3	27	2	0	182	11	247	
14.4	30	14	0	182	11	247	
14.5	20	0	2	182	11	247	
14.6	22	2	0	182	11	247	
14.7	20	0	0	182	11	247	
14.8	18	0	0	182	11	247	
14.9	63	2	0	182	11	247	
15.0	65	0	0	182	11	247	
15.1	73	2	0	190	19	247	
15.2	23	0	0	190	19	247	
15.3	18	0	0	190	19	247	
15.4	14	0	0	190	19	247	
15.5	10	2	0	190	19	247	
15.6	16	0	0	190	19	247	
15.7	18	0	0	190	19	247	
15.8	18	2	0	190	19	247	
15.9	12	0	0	190	19	247	
org.volt.apps is stablised at 12.8(s)


Sleep for 3000ms
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	11	0	0	190	19	247	
0.2	22	0	0	190	19	247	
0.3	18	0	0	190	19	247	
0.4	18	0	0	190	19	247	
0.5	16	0	0	190	19	247	
0.6	14	0	0	190	19	247	
0.7	12	0	0	190	19	247	
0.8	14	0	0	190	19	247	
0.9	21	0	0	190	19	247	
1.0	21	0	0	190	19	247	
1.1	24	0	0	190	19	247	
1.2	29	0	0	190	19	247	
1.3	16	0	0	190	19	247	
1.4	10	0	0	190	19	247	
1.5	14	0	0	190	19	247	
1.6	12	0	0	190	19	247	
1.7	18	0	0	190	19	247	
1.8	18	0	0	190	19	247	
1.9	15	0	0	190	19	247	
2.0	25	0	0	190	19	247	
2.1	18	0	0	190	19	247	
2.2	23	0	0	190	19	247	
2.3	10	0	0	190	19	247	
2.5	10	0	0	190	19	247	
2.6	18	0	0	190	19	247	
2.7	13	0	0	190	19	247	
2.8	14	0	0	190	19	247	
2.9	22	0	0	190	19	247	
3.0	17	0	0	190	19	247	
3.1	12	0	0	190	19	247	

Wait stablised tot.cpu < 50
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	30	0	0	190	19	247	
0.2	18	0	0	190	19	247	
0.3	19	0	0	190	19	247	
0.4	14	0	0	190	19	247	
0.5	9	0	0	190	19	247	
0.6	15	0	0	190	19	247	
0.7	11	0	0	190	19	247	
0.8	21	0	0	190	19	247	
0.9	18	0	0	190	19	247	
1.0	16	0	0	190	19	247	
1.1	12	0	0	190	19	247	
1.2	14	0	0	190	19	247	
1.3	20	0	0	190	19	247	
1.4	13	0	0	190	19	247	
1.5	12	0	0	190	19	247	
1.6	17	0	0	190	19	247	
1.7	18	0	0	190	19	247	
1.8	14	0	0	190	19	247	
1.9	22	0	0	190	19	247	
2.0	15	0	0	190	19	247	
2.1	14	0	0	190	19	247	
2.2	14	0	0	190	19	247	
2.3	18	0	0	190	19	247	
2.4	14	0	0	190	19	247	
2.5	18	0	0	190	19	247	
2.6	13	0	0	190	19	247	
2.7	16	0	0	190	19	247	
2.8	14	0	0	190	19	247	
3.0	28	0	0	190	19	247	
3.1	20	0	0	190	19	247	
3.2	10	0	0	190	19	247	
 is stablised at 0.1(s)


AUL Launching... "org.tizen.tv-viewer"
Wait until usr.cpu CPU usage < 50.0

Sleep for 3000ms
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	98	0	9	182	18	248	
0.3	100	0	5	174	9	248	
0.4	100	0	9	174	10	248	
0.5	100	0	0	174	10	248	
0.6	100	0	0	173	9	248	
0.7	100	0	0	173	9	248	
0.8	100	0	0	173	9	248	
0.9	98	0	0	173	9	248	
1.0	100	0	0	173	9	248	
1.1	88	0	0	173	9	248	
1.2	70	0	0	173	9	248	
1.3	67	0	0	173	9	248	
1.4	71	0	0	173	9	248	
1.5	71	0	0	173	9	248	
1.6	90	0	0	173	9	248	
1.8	72	0	0	173	9	248	
1.9	73	0	0	173	9	248	
2.0	62	0	0	173	9	248	
2.1	96	0	0	173	9	248	
2.2	86	0	0	173	9	248	
2.3	69	0	0	173	9	248	
2.4	65	0	0	173	9	248	
2.5	67	0	0	173	9	248	
2.6	69	0	0	173	9	248	
2.7	68	0	0	173	9	248	
2.8	33	0	0	173	9	248	
2.9	13	0	0	173	9	248	
3.0	19	0	0	173	9	248	
3.1	18	0	0	173	9	248	

Wait stablised tot.cpu < 50
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	18	0	0	173	9	248	
0.2	15	0	0	173	9	248	
0.3	14	0	0	173	9	248	
0.4	25	0	0	173	9	248	
0.5	16	0	0	173	9	248	
0.6	15	0	0	173	9	248	
0.7	18	0	0	173	9	248	
0.8	14	0	0	173	9	248	
0.9	12	0	0	173	9	248	
1.0	18	0	0	173	9	248	
1.1	13	0	0	173	9	248	
1.2	19	0	0	173	9	248	
1.3	11	0	0	173	9	248	
1.4	24	0	0	173	9	248	
1.5	18	0	0	173	9	248	
1.6	12	0	0	173	9	248	
1.7	14	0	0	173	9	248	
1.8	13	0	0	173	9	248	
1.9	18	0	0	173	9	248	
2.0	18	0	0	174	10	248	
2.1	15	0	0	174	11	248	
2.2	18	0	0	174	11	248	
2.3	12	0	0	174	10	248	
2.4	25	0	0	174	10	248	
2.5	21	0	0	174	10	248	
2.6	20	0	0	174	10	248	
2.7	18	0	0	174	11	248	
2.9	13	0	0	174	11	248	
3.0	12	0	0	174	11	248	
3.1	23	0	0	174	11	248	
3.2	18	0	0	174	11	248	
 is stablised at 0.1(s)


AUL Launching... "org.tizen.ignition"
Wait until usr.cpu CPU usage < 30.0
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.6	82	0	8	173	9	251	
0.7	71	37	10	173	8	251	
0.8	81	45	21	174	8	252	
0.9	78	47	12	174	13	252	
1.0	67	45	4	173	12	252	
1.1	64	49	6	173	11	252	
1.2	69	47	4	174	6	253	
1.3	83	40	17	174	13	253	
1.4	72	46	6	174	12	254	
1.5	76	49	10	175	11	255	
1.6	73	47	8	176	12	255	
1.7	61	35	0	176	11	255	
1.8	47	29	2	175	11	255	
1.9	60	47	2	175	11	255	
2.0	68	45	0	175	11	255	
2.1	88	41	0	175	11	255	
2.2	100	37	0	175	11	255	
2.3	87	38	0	176	11	255	
2.4	63	45	0	176	11	255	
2.5	60	51	0	176	11	255	
2.6	57	45	0	176	9	255	
