
Pre-Reclaim: 240000

Sleep for 5000ms
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	100	0	44	333	28	65	
0.2	100	0	46	336	31	71	
0.3	98	0	45	338	44	75	
0.4	94	0	35	341	47	81	
0.5	94	0	46	343	50	86	
0.6	100	0	42	347	55	91	
0.7	69	0	53	348	67	92	
0.8	63	0	51	349	78	93	
0.9	85	0	51	352	81	99	
1.0	100	0	46	354	83	104	
1.1	67	0	56	358	87	110	
1.2	60	0	44	360	90	115	
1.3	77	0	50	364	94	121	
1.4	65	0	48	369	101	126	
1.5	64	0	52	372	123	131	
1.6	63	0	50	378	128	138	
1.7	68	0	49	382	133	145	
1.8	73	0	45	386	137	151	
1.9	63	0	47	391	141	157	
2.0	92	0	33	395	146	160	
2.1	83	0	43	397	168	164	
2.2	60	0	44	399	197	167	
2.4	64	0	47	404	205	173	
2.5	62	0	51	405	248	175	
2.6	60	0	47	410	264	180	
2.7	17	0	0	410	264	180	
2.8	14	0	0	410	264	180	
2.9	16	0	0	410	264	180	
3.0	12	0	0	410	264	180	
3.1	13	0	0	410	263	180	
3.2	12	0	0	410	263	180	
3.3	18	0	0	410	263	180	
3.4	13	0	0	410	263	180	
3.5	18	0	0	410	263	180	
3.6	17	0	0	410	263	180	
3.7	30	0	0	410	263	180	
3.8	7	0	0	410	263	180	
3.9	47	0	0	410	263	180	
4.0	16	0	0	410	263	180	
4.1	12	0	0	410	263	180	
4.2	16	0	0	410	263	180	
4.3	11	0	0	410	263	180	
4.4	24	0	0	410	263	180	
4.5	63	0	0	410	263	180	
4.6	37	0	0	410	263	180	
4.7	18	0	0	410	263	180	
4.8	53	0	0	410	263	180	
4.9	17	0	0	410	263	180	
5.0	16	0	0	410	263	180	
5.1	16	0	0	410	263	180	

Pre-Reclaim: 0

Sleep for 1000ms
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	25	0	0	410	263	180	
0.2	13	0	0	410	263	180	
0.3	35	0	0	410	263	180	
