
Pre-Reclaim: 150000

Sleep for 5000ms
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	66	0	43	325	17	55	
0.2	62	0	42	331	28	64	
0.3	63	0	47	336	43	70	
0.4	66	0	45	340	47	76	
0.5	60	0	52	344	51	82	
0.6	63	0	47	348	57	88	
0.7	63	0	51	348	77	88	
0.8	67	0	43	349	77	90	
0.9	65	0	44	352	80	95	
1.0	61	0	42	355	83	100	
1.1	61	0	51	358	86	106	
1.2	65	0	46	362	90	111	
1.3	65	0	47	364	93	117	
1.4	59	0	50	368	96	122	
1.5	63	0	51	370	121	124	
1.6	65	0	46	376	129	132	
1.7	59	0	50	379	149	136	
1.8	65	0	44	383	181	141	
1.9	57	0	35	387	185	146	
2.0	21	0	0	387	186	146	
2.1	23	0	0	387	186	146	
2.2	16	0	0	387	186	146	
2.3	18	0	0	387	186	146	
2.4	20	0	0	387	186	146	
2.5	19	0	0	387	186	146	
2.6	23	0	0	387	186	146	
2.7	18	0	0	387	186	146	
2.9	21	0	0	387	186	146	
3.0	21	0	0	387	186	146	
3.1	19	0	0	387	186	146	
3.2	20	0	0	387	186	146	
3.3	17	0	0	387	186	146	
3.4	24	0	0	387	186	146	
3.5	23	0	0	387	186	146	
3.6	24	0	0	387	186	146	
3.7	22	0	0	387	186	146	
3.8	20	0	0	387	186	146	
3.9	20	0	0	387	186	146	
4.0	18	0	0	387	186	146	
4.1	22	0	0	387	186	146	
4.2	19	0	0	387	186	146	
4.3	16	0	0	387	186	146	
4.4	22	0	0	387	186	146	
4.5	20	0	0	387	186	146	
4.6	27	0	0	387	186	146	
4.7	16	0	0	387	186	146	
4.8	18	0	0	387	186	146	
4.9	18	0	0	387	186	146	
5.0	22	0	0	387	186	146	
5.1	21	0	0	387	186	146	

Pre-Reclaim: 0

Sleep for 1000ms
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	21	0	0	387	185	146	
0.2	24	0	0	387	185	146	
0.3	19	0	0	387	185	146	
0.4	18	0	0	387	185	146	
0.5	25	0	0	387	185	146	
0.6	20	0	0	387	185	146	
0.7	26	0	0	387	185	146	
0.8	18	0	0	387	185	146	
0.9	22	0	0	387	185	146	
1.0	24	0	0	387	185	146	

Wait stablised tot.cpu < 50
