
Pre-Reclaim: 240000

Sleep for 5000ms
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	59	0	54	294	32	61	
0.2	62	0	46	300	39	70	
0.3	60	0	51	302	51	73	
0.4	62	0	51	306	56	79	
0.5	57	0	52	310	60	86	
0.6	59	0	49	314	63	92	
0.7	63	0	51	316	71	95	
0.8	59	0	47	317	89	97	
0.9	66	0	44	320	91	102	
1.0	62	0	49	323	94	107	
1.1	59	0	51	325	96	112	
1.2	60	0	48	328	99	117	
1.3	60	0	47	331	102	122	
1.4	57	0	33	334	106	127	
1.5	63	0	47	337	109	132	
1.6	86	0	39	340	124	135	
1.7	62	0	51	343	154	140	
1.8	71	0	48	348	159	147	
1.9	91	0	43	352	163	152	
2.0	62	0	48	358	169	160	
2.1	60	0	48	362	173	166	
2.2	57	0	52	365	176	172	
2.3	63	0	49	370	181	178	
2.4	60	0	47	374	185	184	
2.5	63	0	44	380	190	191	
2.6	62	0	51	383	194	196	
2.8	66	0	45	386	222	200	
2.9	62	0	49	388	242	204	
3.0	67	0	43	391	249	208	
3.1	40	0	28	391	260	208	
3.2	16	0	0	391	260	208	
3.3	19	0	0	391	260	208	
3.4	18	0	0	391	260	208	
3.5	10	0	0	391	260	208	
3.6	7	0	0	391	260	208	
3.7	18	0	0	391	260	208	
3.8	9	0	0	391	260	208	
3.9	11	0	0	391	260	208	
4.0	11	0	0	391	260	208	
4.1	10	0	0	391	260	208	
4.2	12	0	0	391	260	208	
4.3	16	0	0	391	260	208	
4.4	12	0	0	391	260	208	
4.5	16	0	0	391	260	208	
4.6	21	0	0	391	260	208	
4.7	18	0	0	391	260	208	
4.8	17	0	0	391	260	208	
4.9	24	0	0	391	260	208	
5.0	20	0	0	391	260	208	
5.1	14	0	0	391	260	208	

Pre-Reclaim: 0

Sleep for 1000ms
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	29	0	0	392	260	208	
0.2	14	0	0	392	260	208	
0.3	19	0	0	392	260	208	
0.4	20	0	0	392	260	208	
0.5	16	0	0	392	260	208	
0.6	22	0	0	392	260	208	
0.7	21	0	0	392	260	208	
0.8	12	0	0	392	260	208	
0.9	22	0	0	392	260	208	
1.0	22	0	0	392	260	208	

Wait stablised tot.cpu < 50
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	11	0	0	392	260	208	
0.2	18	0	0	392	260	208	
0.3	12	0	0	392	260	208	
0.4	20	0	0	392	260	208	
0.5	54	0	0	396	264	208	
0.6	57	0	0	396	264	208	
0.7	59	0	0	390	259	208	
0.8	41	0	0	399	268	208	
0.9	20	0	0	399	268	208	
1.0	16	0	0	399	268	208	
1.1	4	0	0	399	268	208	
1.2	21	0	0	399	268	208	
1.3	14	0	0	399	268	208	
1.4	25	0	0	399	268	208	
1.5	16	0	0	399	268	208	
1.6	22	0	0	399	268	208	
1.7	19	0	0	399	268	208	
1.8	19	0	0	399	268	208	
1.9	9	0	0	399	268	208	
2.0	14	0	0	399	268	208	
