
Wait stablised tot.cpu < 50
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	23	0	0	341	33	37	
0.2	18	0	0	341	33	37	
0.3	12	0	0	341	33	37	
0.4	13	0	0	341	33	37	
0.5	11	0	0	341	33	37	
0.6	14	0	0	341	33	37	
0.7	12	0	0	341	33	37	
0.8	7	0	0	341	33	37	
0.9	16	0	0	341	33	37	
1.0	15	0	0	340	33	37	
1.1	24	0	0	340	33	37	
1.2	22	0	0	340	33	37	
1.3	12	0	0	340	33	37	
1.4	10	0	0	341	33	37	
1.5	22	0	0	340	33	37	
1.6	10	0	0	340	33	37	
1.7	15	0	0	340	33	37	
1.8	10	0	0	340	33	37	
1.9	20	0	0	341	33	37	
2.0	14	0	0	341	33	37	
2.1	14	0	0	341	33	37	
2.2	19	0	0	341	33	37	
2.3	12	0	0	341	33	37	
2.4	20	0	0	341	33	37	
2.5	12	0	0	341	33	37	
2.6	24	0	0	341	33	37	
2.7	9	0	0	340	33	37	
2.8	13	0	0	340	33	37	
3.0	14	0	0	340	33	37	
3.1	23	0	0	340	33	37	
3.2	15	0	0	340	33	37	
 is stablised at 0.1(s)


AUL Launching... "org.tizen.browser"
Wait until usr.cpu CPU usage < 30.0
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
1.1	96	0	0	322	11	37	
1.2	98	41	0	322	10	37	
1.3	100	39	0	322	9	37	
1.4	98	48	0	321	8	37	
1.5	100	60	0	321	8	37	
1.6	100	61	4	318	4	37	
1.8	100	43	17	316	6	39	
1.9	100	62	13	316	7	40	
2.0	100	65	2	314	5	41	
2.1	100	33	11	314	10	42	
2.2	100	39	15	307	6	43	
2.3	100	50	7	307	8	44	
2.4	100	59	0	314	14	44	
2.5	100	62	0	313	12	44	
2.6	100	58	0	319	18	44	
2.8	98	79	0	326	24	44	
2.9	100	38	0	325	22	44	
3.1	100	38	0	322	18	44	
3.2	100	45	0	322	19	44	
3.3	100	50	0	322	19	44	
3.4	100	42	0	322	19	44	
3.5	100	41	0	321	18	44	
3.6	96	51	0	321	17	44	
3.7	100	43	4	320	16	45	
3.8	91	40	7	321	16	46	
3.9	100	32	14	320	15	47	
4.0	63	47	0	320	15	47	
4.1	62	51	0	320	15	47	
4.2	52	39	0	320	15	47	
4.3	32	23	0	320	15	47	
4.4	44	23	0	320	15	47	
4.5	13	0	0	320	15	47	
4.6	40	19	0	320	15	47	
4.8	76	27	0	320	15	47	
4.9	53	22	0	320	15	47	
5.0	29	6	0	320	15	47	
5.1	39	16	0	319	13	47	
5.2	77	10	10	317	12	48	
5.3	85	8	2	319	14	48	
5.4	74	13	0	319	13	48	
5.5	63	2	0	319	12	48	
5.6	64	10	0	319	9	48	
5.7	84	22	12	319	6	50	
5.8	94	18	20	320	13	52	
5.9	98	35	7	321	16	53	
6.0	100	48	0	322	16	53	
6.1	100	43	0	322	16	53	
6.2	100	33	0	320	15	53	
6.3	100	50	0	320	14	53	
6.4	100	50	0	319	13	53	
6.5	100	42	0	318	12	53	
6.7	100	38	0	317	11	53	
6.8	100	52	0	315	8	53	
6.9	100	48	0	313	6	53	
7.0	100	50	0	312	5	53	
7.1	100	36	14	311	8	55	
7.3	100	48	11	312	10	56	
7.4	100	46	8	311	10	57	
7.5	100	13	8	308	10	58	
7.6	100	13	18	308	11	59	
7.7	100	17	29	302	7	60	
7.8	100	13	33	301	10	61	
7.9	96	33	8	299	9	61	
8.0	100	20	16	299	12	63	
8.1	92	12	0	299	12	63	
8.2	90	14	0	300	12	63	
8.3	78	11	2	300	11	63	
8.4	100	33	5	296	8	64	
8.5	100	23	12	293	6	65	
8.7	100	35	18	292	12	65	
8.8	100	41	0	301	20	65	
8.9	100	26	0	304	23	65	
9.0	98	12	0	302	20	65	
9.1	100	28	0	305	23	65	
9.2	100	38	0	305	23	65	
9.3	75	13	0	305	23	65	
9.4	69	10	0	305	23	65	
9.5	71	10	0	304	23	65	
9.6	92	6	0	302	20	65	
9.7	96	16	0	293	11	65	
9.8	98	17	0	290	9	65	
9.9	100	14	0	289	8	65	
10.0	98	25	0	289	7	65	
10.1	96	18	10	285	7	65	
10.2	98	22	17	275	7	66	
10.3	100	44	14	275	16	68	
10.4	96	25	2	273	13	68	
10.5	92	36	2	271	12	68	
10.6	94	44	0	269	11	68	
10.7	100	48	10	265	10	69	
10.9	100	42	4	267	15	69	
11.0	100	22	4	265	14	69	
11.1	88	22	2	265	15	69	
11.2	85	23	0	266	15	69	
11.3	68	20	0	267	16	69	
11.4	42	10	0	268	17	69	
11.5	48	10	0	269	18	69	
11.6	31	10	0	270	19	69	
11.7	44	27	0	271	20	69	
11.8	78	18	0	271	20	69	
11.9	81	23	0	270	19	69	
12.0	79	23	0	271	20	69	
12.1	87	21	0	271	20	69	
12.2	84	10	0	270	19	69	
12.3	73	10	0	266	15	69	
12.4	80	14	0	262	11	69	
12.5	88	8	4	260	10	69	
12.6	70	4	6	257	8	70	
12.7	96	34	12	254	11	70	
12.8	100	40	2	252	9	70	
12.9	80	18	2	249	8	70	
13.0	95	8	7	243	6	70	
13.2	92	8	9	244	12	71	
13.3	68	4	0	243	13	71	
13.4	90	8	2	243	12	71	
13.5	61	4	0	242	12	71	
13.6	73	8	4	241	12	71	
13.7	70	11	2	241	12	71	
13.8	76	4	15	241	13	72	
13.9	76	18	0	273	45	72	
14.0	98	14	0	272	44	72	
14.1	82	27	0	272	44	72	
14.2	94	12	0	272	43	72	
14.3	80	4	0	271	43	72	
14.4	81	19	0	271	42	72	
14.5	68	8	0	271	42	72	
14.6	67	4	0	270	41	72	
14.7	92	39	0	270	41	72	
14.8	100	56	0	270	41	72	
14.9	100	7	0	269	40	72	
15.0	100	22	0	269	39	72	
15.1	80	10	0	269	39	72	
15.2	72	10	0	268	38	72	
15.3	96	6	0	268	38	72	
15.4	80	24	0	267	37	72	
15.5	79	19	0	266	35	72	
15.6	100	32	0	266	31	72	
15.7	81	15	0	265	29	72	
15.8	78	22	0	264	27	72	
15.9	72	8	0	263	26	72	
16.0	78	10	0	260	23	72	
16.1	100	2	0	262	26	72	
16.3	100	9	0	262	26	72	
16.4	86	4	0	263	25	72	
16.5	96	11	0	260	22	72	
16.6	84	18	0	259	20	72	
16.7	79	4	0	261	18	71	
16.9	93	0	0	252	8	71	
17.0	95	4	0	252	8	71	
17.1	96	4	8	252	9	72	
17.2	98	0	6	253	8	73	
17.3	100	6	19	249	10	74	
17.4	100	10	23	255	17	77	
17.5	100	20	19	254	17	80	
17.7	100	24	18	254	16	82	
17.8	100	21	0	251	14	82	
17.9	100	22	20	251	14	84	
18.0	100	24	22	250	14	86	
18.1	100	33	22	250	13	89	
18.2	98	34	12	246	10	91	
18.3	100	24	0	243	7	91	
18.4	98	17	13	237	6	92	
18.5	100	22	10	233	8	92	
18.6	100	15	11	233	12	94	
18.7	100	10	0	232	11	94	
18.8	100	22	0	232	10	94	
18.9	100	10	19	229	10	95	
19.0	100	10	8	259	40	96	
19.1	94	29	0	261	40	96	
19.2	68	2	0	261	40	96	
19.3	76	20	0	260	39	96	
19.4	68	6	0	259	38	96	
19.5	88	0	0	258	37	96	
19.6	84	0	0	255	34	96	
19.7	57	0	0	254	33	96	
19.8	58	0	0	254	33	96	
19.9	60	0	0	254	33	96	
20.0	63	0	0	254	33	96	
20.1	67	2	0	253	33	96	
20.2	56	4	0	253	32	96	
20.4	64	0	0	253	32	96	
20.5	70	20	0	259	38	96	
20.6	65	6	0	255	34	96	
20.7	100	38	0	247	26	96	
20.8	100	40	0	243	22	96	
20.9	100	35	6	252	33	96	
21.0	100	40	0	252	33	96	
21.1	98	31	0	259	39	96	
21.2	92	27	0	259	38	96	
21.3	66	6	0	258	38	96	
21.4	59	0	0	258	38	96	
21.5	63	6	0	263	43	96	
21.6	67	8	0	263	43	96	
21.7	82	28	0	263	42	96	
21.8	58	0	0	263	43	96	
21.9	64	6	0	263	43	96	
22.0	61	2	0	263	42	96	
22.1	69	8	0	262	41	96	
22.2	73	17	0	261	41	96	
22.3	78	14	0	261	41	96	
22.4	74	20	0	261	41	96	
22.5	57	2	0	261	41	96	
22.6	57	2	0	261	41	96	
22.7	76	18	0	260	40	96	
22.8	70	2	0	259	39	96	
22.9	71	8	0	253	33	96	
23.0	98	27	0	249	29	96	
23.1	67	4	0	246	26	96	
23.2	64	2	0	248	27	96	
23.3	58	0	0	248	28	96	
23.4	71	10	0	244	24	96	
23.5	100	25	8	240	19	97	
23.6	100	33	6	232	11	98	
23.7	78	24	4	233	12	98	
23.8	65	0	0	232	12	98	
23.9	40	0	0	231	11	98	
24.0	24	0	7	232	12	98	
24.1	16	0	0	232	12	98	
24.3	31	8	0	232	12	98	
24.4	42	2	10	232	12	99	
24.5	33	4	0	235	15	99	
24.6	24	4	0	237	17	99	
24.7	32	6	0	241	20	99	
24.8	49	8	0	242	22	99	
24.9	19	0	0	242	22	99	
25.0	17	0	0	242	22	99	
25.1	11	0	0	242	22	99	
25.2	17	0	0	242	22	99	
25.3	32	9	0	242	22	99	
25.4	21	0	0	242	22	99	
25.5	29	2	0	242	22	99	
25.6	15	0	0	242	22	99	
25.7	16	2	0	242	22	99	
25.8	28	9	0	242	22	99	
25.9	13	0	0	242	22	99	
26.0	15	0	0	242	22	99	
26.1	9	0	0	242	22	99	
26.2	22	0	0	242	22	99	
26.3	21	10	0	242	22	99	
26.4	18	0	0	242	22	99	
26.5	13	0	0	242	22	99	
26.6	7	0	0	242	22	99	
26.7	17	2	0	242	22	99	
26.8	20	7	0	242	22	99	
org.tizen.browser is stablised at 23.7(s)


Sleep for 3000ms
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	16	0	0	242	22	99	
0.2	11	0	0	242	22	99	
0.3	23	0	0	242	22	99	
0.4	18	0	0	242	22	99	
0.5	15	0	0	242	22	99	
0.6	18	0	0	242	22	99	
0.7	15	0	0	242	22	99	
0.8	30	0	0	242	22	99	
0.9	15	0	0	242	22	99	
1.0	19	0	0	242	22	99	
1.1	27	0	0	242	22	99	
1.2	27	0	0	242	22	99	
1.3	28	0	0	242	22	99	
1.4	17	0	0	242	22	99	
1.5	7	0	0	242	22	99	
1.6	11	0	0	242	22	99	
1.7	13	0	0	242	22	99	
1.8	30	0	0	242	22	99	
1.9	23	0	0	242	22	99	
2.0	17	0	0	242	22	99	
2.1	14	0	0	242	22	99	
2.2	18	0	0	242	22	99	
2.3	34	0	0	242	22	99	
2.4	17	0	0	242	22	99	
2.5	13	0	0	242	22	99	
2.7	11	0	0	242	22	99	
2.8	13	0	0	242	22	99	
2.9	34	0	0	242	22	99	
3.0	18	0	0	242	22	99	
3.1	19	0	0	242	22	99	

Wait stablised tot.cpu < 50
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	29	0	0	242	22	99	
0.2	32	0	0	250	30	99	
0.3	20	0	0	250	30	99	
0.4	11	0	0	250	30	99	
0.5	15	0	0	250	30	99	
0.6	33	0	0	250	30	99	
0.7	24	0	0	250	30	99	
0.8	20	0	0	250	30	99	
0.9	17	0	0	250	30	99	
1.0	20	0	0	250	30	99	
1.1	40	0	0	250	30	99	
1.2	17	0	0	250	30	99	
1.3	30	0	0	250	30	99	
1.4	26	0	0	250	30	99	
1.5	14	0	0	250	30	99	
1.6	35	0	0	250	30	99	
1.7	21	0	0	250	30	99	
1.8	24	0	0	250	30	99	
1.9	24	0	0	250	30	99	
2.0	33	0	0	250	30	99	
2.1	23	0	0	250	30	99	
2.2	19	0	0	250	30	99	
2.3	24	0	0	250	30	99	
2.4	16	0	0	250	30	99	
2.5	31	0	0	250	30	99	
2.6	35	0	0	250	30	99	
2.7	18	0	0	250	30	99	
2.9	36	0	0	250	30	99	
3.0	21	0	0	250	30	99	
3.1	47	0	0	250	30	99	
3.2	16	0	0	250	30	99	
 is stablised at 0.1(s)


AUL Launching... "org.tizen.tv-viewer"
