
Pre-Reclaim: 240000

Sleep for 5000ms
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	61	0	53	271	35	94	
0.2	62	0	46	274	37	99	
0.3	59	0	48	276	41	104	
0.4	62	0	50	279	51	109	
0.5	64	0	46	282	54	114	
0.6	63	0	49	285	57	120	
0.7	65	0	45	289	79	124	
0.8	65	0	51	292	82	129	
0.9	64	0	46	296	86	134	
1.0	60	0	50	299	89	140	
1.1	60	0	48	304	94	147	
1.2	58	0	49	308	98	153	
1.3	59	0	50	314	104	160	
1.4	61	0	47	317	110	163	
1.5	63	0	47	317	122	163	
1.6	67	0	46	320	125	168	
1.7	57	0	49	324	129	174	
1.8	65	0	45	329	134	181	
1.9	64	0	49	333	138	188	
2.0	58	0	46	337	143	193	
2.1	60	0	49	341	154	198	
2.2	67	0	48	343	178	202	
2.3	63	0	54	347	182	208	
2.4	65	0	46	350	185	214	
2.5	64	0	51	353	188	220	
2.6	62	0	53	357	192	226	
2.8	62	0	50	359	194	232	
2.9	64	0	53	361	196	239	
3.0	65	0	49	363	198	244	
3.1	59	0	47	364	199	249	
3.2	57	0	47	368	203	255	
3.3	61	0	52	371	206	261	
3.4	62	0	49	373	209	266	
3.5	61	0	49	380	229	270	
3.6	50	0	40	382	258	272	
3.7	12	0	0	382	258	272	
3.8	9	0	0	382	258	272	
3.9	9	0	0	382	258	272	
4.0	12	0	0	382	258	272	
4.1	13	0	0	382	258	272	
4.2	17	0	0	382	258	272	
4.3	12	0	0	381	258	272	
4.4	9	0	0	381	258	272	
4.5	7	0	0	381	258	272	
4.6	11	0	0	381	258	272	
4.7	7	0	0	382	258	272	
4.8	10	0	0	382	258	272	
4.9	4	0	0	382	258	272	
5.0	15	0	0	382	258	272	
5.1	14	0	0	382	258	272	

Pre-Reclaim: 0

Sleep for 1000ms
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	6	0	0	382	258	272	
0.2	10	0	0	382	258	272	
0.3	9	0	0	382	258	272	
0.4	9	0	0	382	258	272	
0.5	7	0	0	382	258	272	
0.6	16	0	0	382	258	272	
0.7	15	0	0	382	258	272	
0.8	20	0	0	382	257	272	
0.9	13	0	0	382	257	272	
1.0	24	0	0	382	257	272	

Wait stablised tot.cpu < 50
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	22	0	0	383	257	272	
0.2	9	0	0	383	257	272	
0.3	2	0	0	383	257	272	
0.4	11	0	0	383	257	272	
0.5	9	0	0	383	257	272	
0.6	11	0	0	383	257	272	
0.7	16	0	0	383	257	272	
0.8	7	0	0	383	257	272	
0.9	7	0	0	383	257	272	
1.0	9	0	0	383	257	272	
1.1	13	0	0	383	257	272	
1.2	12	0	0	383	257	272	
1.3	16	0	0	383	257	272	
1.4	16	0	0	383	257	272	
1.5	18	0	0	383	257	272	
1.6	11	0	0	383	257	272	
1.7	12	0	0	383	257	272	
