
Wait stablised tot.cpu < 50
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	12	0	0	335	21	67	
0.2	7	0	0	335	21	67	
0.3	14	0	0	335	21	67	
0.4	14	0	0	335	21	67	
0.5	14	0	0	336	22	67	
0.6	16	0	0	336	22	67	
0.7	16	0	0	336	22	67	
0.8	12	0	0	336	22	67	
0.9	12	0	0	336	22	67	
1.0	18	0	0	336	22	67	
1.1	14	0	0	336	22	67	
1.2	20	0	0	336	22	67	
1.3	17	0	0	336	22	67	
1.4	9	0	0	336	22	67	
1.5	19	0	0	336	22	67	
1.6	10	0	0	336	22	67	
1.7	12	0	0	336	22	67	
1.8	9	0	0	336	22	67	
1.9	7	0	0	336	22	67	
2.0	14	0	0	336	22	67	
2.1	18	0	0	336	22	67	
2.2	14	0	0	336	22	67	
2.3	12	0	0	336	22	67	
2.4	15	0	0	336	22	67	
2.5	17	0	0	336	22	67	
2.6	19	0	0	336	22	67	
2.7	12	0	0	336	22	67	
2.8	11	0	0	336	22	67	
2.9	14	0	0	336	22	67	
3.1	18	0	0	336	22	67	
3.2	17	0	0	336	22	67	
 is stablised at 0.1(s)


AUL Launching... "org.volt.mycontents"
Wait until usr.cpu CPU usage < 30.0
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
1.4	58	0	1	331	9	69	
1.5	71	42	12	331	13	70	
1.6	61	49	0	330	11	70	
1.7	57	50	0	329	10	70	
1.8	66	50	0	327	8	70	
1.9	66	50	0	326	7	70	
2.0	69	47	0	325	6	70	
2.1	73	43	20	323	9	72	
2.2	74	50	15	321	13	74	
2.3	62	48	2	321	13	74	
2.4	62	51	0	321	13	74	
2.5	68	50	0	321	13	74	
2.6	58	44	0	321	13	74	
2.7	57	36	0	321	12	74	
2.8	60	44	0	321	12	74	
2.9	61	43	0	319	6	74	
3.0	100	63	14	315	8	75	
3.1	73	57	6	314	10	75	
3.2	60	46	4	314	10	76	
3.3	62	51	2	314	11	76	
3.4	85	44	15	301	3	76	
3.6	100	27	12	303	5	77	
3.7	100	31	15	299	4	77	
3.8	100	41	20	290	3	78	
