
Wait stablised tot.cpu < 50
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	12	0	0	340	21	104	
0.2	13	0	0	340	21	104	
0.3	16	0	0	340	21	104	
0.4	7	0	0	340	21	104	
0.5	12	0	0	340	21	104	
0.6	15	0	0	340	21	104	
0.7	16	0	0	340	21	104	
0.8	17	0	0	340	21	104	
0.9	13	0	0	340	21	104	
1.0	11	0	0	340	21	104	
1.1	12	0	0	340	21	104	
1.2	17	0	0	340	21	104	
1.3	7	0	0	340	21	104	
1.4	18	0	0	340	21	104	
1.5	15	0	0	340	21	104	
1.6	16	0	0	340	21	104	
1.7	12	0	0	340	21	104	
1.8	13	0	0	340	21	104	
1.9	11	0	0	340	21	104	
2.0	4	0	0	340	21	104	
2.1	14	0	0	340	21	104	
2.2	17	0	0	340	21	104	
2.3	9	0	0	340	21	104	
2.4	14	0	0	340	21	104	
2.5	11	0	0	340	21	104	
2.6	11	0	0	340	21	104	
2.8	16	0	0	340	21	104	
2.9	15	0	0	340	21	104	
3.0	14	0	0	340	21	104	
3.1	12	0	0	340	21	104	
3.2	18	0	0	340	20	104	
 is stablised at 0.1(s)


AUL Launching... "org.tizen.browser"
Wait until usr.cpu CPU usage < 30.0
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.2	83	0	12	334	19	107	
0.4	100	14	16	325	17	109	
0.6	99	20	8	325	21	111	
0.8	100	32	3	323	16	111	
0.9	100	36	14	322	17	112	
1.0	100	16	12	323	16	113	
1.2	100	22	14	323	15	113	
1.3	100	33	15	323	16	114	
1.4	100	30	20	324	17	115	
1.6	100	30	12	326	21	117	
1.7	100	40	12	326	25	118	
1.8	100	41	0	326	24	118	
1.9	100	52	0	326	24	118	
2.0	98	53	0	326	23	118	
2.1	96	54	0	326	22	118	
2.2	96	71	0	326	20	118	
2.3	94	69	0	325	17	118	
2.4	96	75	4	326	16	118	
2.5	98	52	27	326	20	120	
2.6	100	61	2	325	18	120	
2.7	100	54	0	324	17	120	
2.8	98	73	0	324	17	120	
2.9	100	67	0	331	23	120	
3.0	92	58	0	332	22	120	
3.1	100	64	0	330	19	120	
3.2	100	63	0	329	16	120	
3.3	96	66	0	328	15	120	
3.4	94	71	0	328	13	120	
3.5	100	59	0	327	12	120	
3.6	98	42	0	326	10	120	
3.7	96	39	0	325	9	120	
3.8	96	42	0	325	8	120	
3.9	92	50	0	324	7	120	
4.0	100	47	0	323	6	120	
4.1	96	52	7	322	7	121	
4.2	100	32	17	317	9	122	
4.3	96	17	23	314	14	124	
4.4	61	2	0	318	18	124	
4.6	61	41	0	320	20	124	
4.7	22	6	0	320	20	124	
4.8	45	32	0	320	20	124	
4.9	33	20	0	320	19	124	
5.0	7	2	0	320	19	124	
5.1	49	20	0	320	19	124	
5.2	71	31	0	319	18	124	
5.3	31	12	0	318	18	124	
5.4	77	15	0	319	18	124	
5.5	34	11	0	319	18	124	
5.6	20	9	0	319	18	124	
5.7	13	4	0	319	18	124	
5.8	17	9	0	319	18	124	
5.9	13	2	0	319	18	124	
6.0	17	9	0	319	18	124	
6.1	24	8	0	319	18	124	
6.2	30	9	0	318	17	124	
6.3	80	13	0	318	17	124	
6.4	100	20	0	317	16	124	
6.5	81	17	0	316	15	124	
6.6	71	25	0	315	14	124	
6.7	78	12	4	315	14	124	
6.8	100	38	4	314	14	124	
6.9	100	40	4	314	14	124	
7.0	98	61	0	313	12	124	
7.1	100	56	4	313	12	125	
7.2	100	58	6	312	12	125	
7.3	98	43	6	312	12	125	
7.4	79	33	4	312	10	125	
7.5	62	6	0	312	10	125	
7.6	94	43	0	311	9	125	
7.7	100	46	6	310	11	126	
7.8	94	38	2	307	8	126	
7.9	98	43	12	303	9	126	
8.0	100	42	2	298	6	127	
8.2	100	44	10	297	11	127	
8.3	100	38	8	294	10	127	
8.4	100	38	0	294	10	127	
8.5	100	55	6	293	11	127	
8.6	98	44	8	292	11	127	
8.7	91	49	12	292	11	127	
8.8	98	50	2	292	10	127	
8.9	90	33	2	293	12	127	
9.0	76	15	4	293	13	127	
9.1	84	14	4	295	16	127	
9.2	92	39	0	296	17	127	
9.3	92	61	0	297	19	127	
9.4	80	14	0	297	18	127	
9.5	82	20	0	298	19	127	
9.6	73	10	0	297	17	127	
9.7	100	6	6	286	9	127	
9.8	100	12	4	294	20	127	
9.9	100	4	0	292	18	127	
10.0	96	33	0	294	20	127	
10.1	100	50	0	294	20	127	
10.2	63	4	0	294	20	127	
10.3	80	10	0	292	18	127	
10.4	98	25	2	285	12	127	
10.5	100	27	8	278	8	127	
10.6	100	42	12	277	12	127	
10.7	94	29	2	268	6	127	
10.8	82	35	14	265	13	128	
10.9	100	42	4	262	11	128	
11.0	100	24	4	258	8	128	
11.1	100	44	10	257	11	128	
11.2	100	42	0	259	12	128	
11.3	90	21	6	258	12	128	
11.4	72	16	0	259	14	128	
11.5	78	12	0	262	16	128	
11.6	100	46	0	262	16	128	
11.7	100	33	0	264	19	128	
11.8	100	33	0	265	20	128	
12.0	88	31	0	265	20	128	
12.1	80	14	0	263	18	128	
12.2	82	27	0	262	16	128	
12.3	98	27	0	257	12	128	
12.4	88	33	0	251	6	128	
12.5	61	17	7	248	6	128	
12.6	93	15	11	246	10	129	
12.7	81	10	13	242	9	129	
12.8	94	26	8	239	8	129	
12.9	100	19	10	238	11	130	
13.0	92	35	2	238	11	130	
13.1	100	38	4	240	13	130	
13.2	100	42	0	240	13	130	
13.3	98	20	0	241	13	130	
13.4	100	15	8	242	16	131	
13.5	80	12	8	241	18	131	
13.6	90	16	18	239	17	132	
13.7	78	6	8	237	16	132	
13.8	76	7	13	234	13	133	
13.9	98	9	28	232	12	136	
14.0	71	4	12	232	14	137	
14.1	94	17	15	230	16	137	
14.2	98	6	31	227	63	137	
14.3	84	8	12	228	69	137	
14.4	72	15	0	229	70	137	
14.5	60	4	0	228	69	137	
14.6	71	10	0	228	69	137	
14.7	67	8	0	227	68	137	
14.8	68	6	0	227	68	137	
14.9	76	14	0	258	99	137	
15.1	76	20	0	258	99	137	
15.2	66	11	0	258	98	137	
15.3	100	52	0	258	99	137	
15.4	92	43	0	257	97	137	
15.5	83	19	0	257	97	137	
15.6	73	10	0	257	96	137	
15.7	67	4	0	256	96	137	
15.8	77	10	0	255	95	137	
15.9	62	11	0	255	95	137	
16.0	88	13	0	252	91	137	
16.1	100	14	0	250	89	137	
16.2	92	14	0	248	87	137	
16.3	70	13	0	248	87	137	
16.4	72	9	0	247	87	137	
16.5	90	25	0	247	85	137	
16.6	92	38	0	246	81	137	
16.7	59	15	0	244	74	136	
16.8	63	23	0	243	73	136	
16.9	84	38	0	242	72	136	
17.0	65	4	0	242	71	136	
17.1	98	35	0	242	71	136	
17.2	100	38	0	242	72	136	
17.3	81	13	0	241	70	136	
17.4	68	9	0	241	70	136	
17.5	65	4	0	241	70	136	
17.6	86	8	0	237	67	136	
17.7	75	17	0	232	61	136	
17.8	100	15	0	229	56	136	
17.9	98	10	2	230	55	136	
18.0	100	10	12	219	44	137	
18.1	94	6	10	219	44	138	
18.2	98	4	4	219	41	138	
18.4	100	0	12	219	40	140	
18.5	98	8	5	218	38	140	
18.6	100	13	7	223	43	141	
18.7	100	12	12	221	40	142	
18.8	98	25	9	221	39	143	
18.9	100	27	4	218	37	144	
19.0	100	30	8	219	37	145	
19.1	98	33	16	219	37	147	
19.2	100	22	24	216	34	150	
19.3	98	24	22	214	32	153	
19.4	100	19	22	211	29	156	
19.5	98	37	6	212	30	156	
19.6	100	31	10	196	14	158	
19.7	98	12	19	194	12	160	
19.8	100	14	12	194	11	161	
19.9	100	15	10	194	11	162	
20.0	100	14	8	195	11	164	
20.1	100	9	18	192	8	165	
20.2	100	16	10	219	36	166	
20.3	98	19	0	223	39	166	
20.4	78	0	0	224	37	166	
20.5	67	7	0	223	37	166	
20.6	98	16	0	221	34	166	
20.7	98	11	0	228	41	166	
20.9	98	17	0	224	37	166	
21.0	100	39	0	221	34	166	
