
Pre-Reclaim: 240000

Sleep for 5000ms
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	59	0	44	332	27	57	
0.2	58	0	49	335	36	62	
0.3	64	0	49	339	48	67	
0.4	59	0	49	343	54	74	
0.5	59	0	48	346	58	79	
0.6	59	0	50	349	61	84	
0.7	58	0	51	353	66	88	
0.8	65	0	48	353	72	90	
0.9	64	0	48	354	88	91	
1.0	64	0	51	357	91	97	
1.1	64	0	48	360	94	102	
1.2	60	0	49	363	96	107	
1.3	60	0	49	367	100	113	
1.4	65	0	49	371	105	120	
1.5	60	0	49	375	109	126	
1.6	66	0	44	379	121	130	
1.7	57	0	47	380	151	132	
1.8	61	0	50	386	156	139	
1.9	62	0	44	390	161	146	
2.0	63	0	52	395	166	153	
2.1	64	0	45	400	171	160	
2.2	62	0	51	404	175	166	
2.3	62	0	53	409	180	174	
2.4	64	0	51	413	184	180	
2.6	63	0	49	417	188	186	
2.7	64	0	51	421	194	190	
2.8	67	0	54	424	238	194	
2.9	67	0	52	427	246	200	
3.0	64	0	46	429	257	204	
3.1	24	0	8	429	267	204	
3.2	11	0	0	429	267	204	
3.3	12	0	0	429	267	204	
3.4	10	0	0	429	267	204	
3.5	11	0	0	429	267	204	
3.6	20	0	0	429	267	204	
3.7	13	0	0	429	266	204	
3.8	15	0	0	429	266	204	
3.9	12	0	0	429	267	204	
4.0	16	0	0	429	267	204	
4.1	16	0	0	429	267	204	
4.2	12	0	0	429	267	204	
4.3	12	0	0	429	267	204	
4.4	6	0	0	429	267	204	
4.5	24	0	0	429	267	204	
4.6	8	0	0	429	267	204	
4.7	16	0	0	429	267	204	
4.8	9	0	0	429	267	204	
4.9	14	0	0	429	267	204	
5.0	19	0	0	429	267	204	
5.1	16	0	0	429	267	204	

Pre-Reclaim: 0

Sleep for 1000ms
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	7	0	0	429	267	204	
0.2	13	0	0	429	267	204	
0.3	10	0	0	429	267	204	
0.4	13	0	0	429	267	204	
0.5	15	0	0	429	267	204	
0.6	15	0	0	429	267	204	
0.7	12	0	0	429	267	204	
0.8	18	0	0	429	267	204	
0.9	21	0	0	429	267	204	
1.0	13	0	0	429	267	204	

Wait stablised tot.cpu < 50
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	11	0	0	429	267	204	
0.2	7	0	0	429	267	204	
0.3	16	0	0	429	267	204	
0.4	12	0	0	429	267	204	
0.5	11	0	0	429	267	204	
0.6	10	0	0	429	267	204	
0.7	10	0	0	429	267	204	
0.8	7	0	0	429	267	204	
0.9	9	0	0	429	267	204	
1.0	10	0	0	429	267	204	
1.1	11	0	0	429	267	204	
1.2	14	0	0	429	267	204	
1.3	11	0	0	429	267	204	
1.4	10	0	0	429	267	204	
1.5	12	0	0	429	267	204	
1.6	11	0	0	429	267	204	
1.7	12	0	0	429	267	204	
1.8	8	0	0	429	267	204	
1.9	15	0	0	429	267	204	
2.0	15	0	0	429	267	204	
2.1	11	0	0	429	267	204	
2.2	17	0	0	429	267	204	
2.3	11	0	0	429	267	204	
2.4	12	0	0	429	267	204	
2.5	19	0	0	429	267	204	
2.6	11	0	0	429	267	204	
2.7	18	0	0	429	267	204	
2.8	9	0	0	429	267	204	
3.0	22	0	0	429	267	204	
3.1	14	0	0	429	267	204	
3.2	13	0	0	429	267	204	
 is stablised at 0.1(s)


Fork Launching... "/usr/bin/wascmd -r QizQxC7CUf.PlayMovies" pid:2898
Wait until usr.cpu CPU usage < 30.0
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	61	 "QizQxC7CUf.Play" not found0	430	265	204	
0.4	75	 "QizQxC7CUf.Play" not found0	427	259	203	
0.7	88	0	0	408	233	203	
0.8	88	23	0	408	230	203	
0.9	80	27	0	407	229	203	
1.0	87	30	0	407	227	203	
1.1	94	31	0	407	227	203	
1.2	98	37	0	407	227	203	
1.3	98	42	0	407	227	203	
1.4	96	45	0	406	226	203	
1.5	94	40	0	406	226	203	
1.6	96	45	0	406	225	203	
1.7	90	41	0	405	224	203	
1.8	92	39	0	405	223	203	
1.9	92	39	0	404	222	203	
2.0	96	41	0	404	222	203	
2.1	96	37	0	403	221	203	
2.2	92	46	0	402	220	203	
2.3	92	33	0	402	220	203	
2.4	92	4	0	400	218	203	
2.5	91	36	0	401	218	203	
2.7	93	24	0	402	218	203	
2.8	90	33	0	402	218	203	
2.9	92	29	0	401	217	203	
3.0	91	40	0	401	217	203	
3.1	86	32	0	401	216	203	
3.2	67	10	0	401	212	203	
3.3	88	19	0	400	209	203	
3.4	98	16	0	399	207	203	
3.6	88	27	0	398	204	203	
3.7	80	31	0	398	203	203	
3.8	96	41	0	398	203	203	
3.9	92	41	0	398	201	203	
4.0	100	43	0	397	200	203	
4.1	100	50	0	397	200	202	
4.2	100	54	0	397	198	202	
4.3	94	36	0	397	197	202	
4.4	90	43	0	397	196	202	
4.5	93	41	0	395	192	202	
4.6	100	56	0	394	191	202	
4.7	98	51	0	394	188	202	
4.8	96	42	0	394	188	202	
4.9	92	44	0	393	188	202	
5.0	96	48	0	393	188	202	
5.1	100	53	0	393	188	202	
5.2	93	41	0	393	187	202	
5.3	93	41	0	393	187	202	
5.5	98	43	0	393	187	202	
5.6	95	44	0	393	187	202	
5.7	92	38	0	392	187	202	
5.8	91	49	0	392	187	202	
5.9	94	43	0	392	187	202	
6.0	94	44	0	392	187	202	
6.1	90	37	0	392	187	202	
6.2	92	35	0	392	187	202	
6.3	98	43	0	392	186	202	
6.4	92	41	0	391	184	202	
6.5	98	44	0	391	184	202	
6.6	100	50	0	391	184	202	
6.7	96	48	0	390	184	202	
6.8	100	48	0	390	184	202	
6.9	100	48	0	390	183	202	
7.0	100	47	0	390	183	202	
7.1	100	42	0	390	183	202	
7.2	100	44	0	390	183	202	
7.3	96	41	0	388	180	202	
7.4	100	50	0	387	179	202	
7.5	98	41	0	384	175	202	
7.6	98	50	0	372	163	202	
7.7	100	48	0	368	158	202	
7.8	100	52	0	366	156	202	
7.9	100	48	0	364	154	202	
8.0	100	46	0	362	153	202	
8.2	100	43	0	362	152	202	
8.3	100	48	0	360	150	202	
8.4	100	50	0	357	148	202	
8.5	100	50	0	355	146	202	
8.6	100	50	0	357	148	202	
8.7	100	28	0	367	156	202	
8.8	100	31	0	369	158	202	
8.9	100	35	0	369	158	202	
9.0	100	32	0	369	158	202	
9.1	100	24	0	369	157	202	
9.2	100	32	0	369	156	202	
9.3	100	29	0	369	156	202	
9.4	100	30	0	369	156	202	
9.5	100	35	0	369	156	202	
9.7	100	29	0	369	156	202	
9.8	100	27	0	369	156	202	
9.9	100	34	0	369	156	202	
10.0	100	42	0	369	156	202	
10.1	98	34	0	372	159	202	
10.2	100	37	0	372	159	202	
10.3	96	23	0	365	151	202	
10.4	100	28	0	364	149	202	
10.5	100	25	0	364	149	202	
10.6	100	31	0	364	148	202	
10.7	98	17	0	363	147	202	
10.9	100	22	0	354	136	202	
11.0	100	22	0	352	132	202	
11.1	100	19	0	351	130	201	
11.2	98	20	0	351	128	201	
11.3	100	19	0	351	126	201	
11.4	100	0	0	351	122	201	
11.5	100	2	0	351	117	201	
11.7	100	19	0	350	115	201	
11.8	98	38	0	350	115	201	
11.9	100	72	0	339	101	201	
12.0	100	68	0	336	98	201	
12.1	100	33	0	334	95	201	
12.2	100	42	0	334	95	201	
12.3	100	42	0	331	90	201	
12.4	100	37	0	327	86	201	
12.5	100	42	0	333	92	201	
12.6	98	45	0	335	94	201	
12.7	100	44	0	333	92	201	
12.8	100	48	0	333	92	201	
12.9	100	44	0	328	87	201	
13.0	100	44	0	332	90	201	
13.1	100	46	0	331	90	201	
13.2	98	44	0	330	88	201	
13.3	98	43	0	328	86	201	
13.4	98	43	0	328	85	201	
13.5	100	48	0	327	85	201	
13.6	100	46	0	325	83	201	
13.7	100	46	0	326	83	201	
13.8	100	48	0	326	83	201	
13.9	100	46	0	325	83	201	
14.0	100	46	0	325	83	201	
14.1	100	46	0	325	83	201	
14.2	100	50	0	324	82	201	
14.3	100	39	0	324	81	201	
14.5	100	37	0	323	80	201	
14.6	94	2	0	323	79	201	
14.7	92	2	0	322	78	201	
14.8	96	17	0	318	70	201	
14.9	94	13	0	316	67	201	
15.0	91	11	0	313	62	201	
15.1	92	38	0	313	62	201	
15.2	93	37	0	312	61	201	
15.3	92	41	0	311	59	201	
15.4	92	4	0	310	57	201	
15.5	96	2	0	309	56	201	
15.6	96	0	0	308	54	201	
15.7	96	31	0	307	53	201	
15.8	98	45	0	307	53	201	
15.9	100	44	0	306	52	201	
16.0	100	47	0	306	52	201	
16.1	100	53	0	304	50	201	
16.2	100	38	0	297	43	201	
16.3	100	62	0	298	44	201	
16.4	98	50	0	297	42	201	
16.5	100	60	0	294	39	201	
16.6	100	45	0	289	35	201	
16.7	100	46	0	282	28	201	
16.8	100	46	0	278	24	201	
17.0	95	36	0	277	23	201	
