
Wait stablised tot.cpu < 50
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	11	0	0	330	37	63	
0.2	14	0	0	330	37	63	
0.3	12	0	0	330	37	63	
0.4	9	0	0	330	37	63	
0.5	17	0	0	330	37	63	
0.6	16	0	0	330	37	63	
0.7	13	0	0	330	37	63	
0.8	14	0	0	330	37	63	
0.9	16	0	0	330	37	63	
1.0	9	0	0	330	37	63	
1.1	13	0	0	330	37	63	
1.2	16	0	0	330	37	63	
1.3	16	0	0	330	37	63	
1.4	10	0	0	330	37	63	
1.5	12	0	0	330	37	63	
1.6	13	0	0	330	37	63	
1.7	12	0	0	330	37	63	
1.8	16	0	0	330	37	63	
1.9	13	0	0	330	37	63	
2.0	14	0	0	330	37	63	
2.1	16	0	0	330	37	63	
2.2	10	0	0	330	37	63	
2.3	16	0	0	330	37	63	
2.4	14	0	0	330	37	63	
2.5	10	0	0	330	37	63	
2.6	12	0	0	330	37	63	
2.7	13	0	0	330	37	63	
2.8	14	0	0	330	37	63	
3.0	11	0	0	330	37	63	
3.1	14	0	0	330	37	63	
3.2	14	0	0	330	37	63	
 is stablised at 0.1(s)


Fork Launching... "/usr/bin/wascmd -r QizQxC7CUf.PlayMovies" pid:2801
Wait until usr.cpu CPU usage < 30.0
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.2	72	 "QizQxC7CUf.Play" not found0	329	36	63	
0.4	86	0	0	320	25	63	
0.5	100	13	4	312	19	63	
0.6	85	22	2	312	19	63	
0.7	84	27	0	312	18	63	
0.8	92	36	0	312	17	63	
0.9	90	37	0	312	17	63	
1.0	94	44	0	312	17	63	
1.1	94	43	0	312	17	63	
1.2	96	44	0	312	17	63	
1.3	94	43	0	312	17	63	
1.4	94	41	0	311	16	63	
1.5	92	40	0	311	15	63	
1.6	98	44	0	310	15	63	
1.7	92	40	0	309	13	63	
1.8	94	45	4	308	13	63	
1.9	92	34	0	308	13	63	
2.0	90	14	0	307	12	64	
2.1	98	36	0	307	12	64	
2.2	85	29	0	308	13	64	
2.3	81	30	0	308	13	64	
2.5	81	29	0	307	12	64	
2.6	86	39	0	307	12	64	
2.7	82	33	0	307	11	64	
2.8	100	25	8	307	13	64	
2.9	100	27	0	305	12	64	
3.0	92	37	0	305	12	64	
3.1	85	35	0	305	12	64	
3.2	100	51	0	305	11	64	
3.3	96	37	0	304	10	64	
3.4	94	48	0	304	10	64	
3.5	98	44	0	304	10	64	
3.6	94	55	0	302	8	64	
3.7	98	52	0	301	6	64	
3.8	94	54	0	300	5	64	
3.9	92	40	0	300	5	64	
4.0	92	48	0	300	5	64	
4.1	91	51	0	300	5	64	
4.2	100	58	0	300	5	64	
4.3	95	44	9	299	6	65	
4.5	98	40	10	300	9	66	
4.6	92	46	0	300	9	66	
4.7	89	44	0	300	9	66	
4.8	96	44	0	300	9	66	
4.9	100	59	0	300	8	66	
5.0	100	52	0	299	7	66	
5.1	100	58	0	299	7	66	
5.2	100	44	0	299	7	66	
5.3	100	52	0	299	7	66	
5.4	100	38	12	298	9	67	
5.5	100	38	12	298	11	68	
5.6	100	52	0	297	10	68	
5.7	98	48	0	295	8	68	
5.8	100	27	25	288	3	69	
5.9	100	18	36	286	4	70	
6.0	100	17	37	285	6	71	
6.1	100	13	33	284	11	72	
6.2	98	46	8	282	10	73	
6.3	98	44	6	282	10	73	
6.4	98	40	13	279	10	74	
6.5	100	40	12	278	11	75	
6.6	100	46	6	278	11	75	
6.7	96	52	4	277	11	76	
6.8	100	38	15	275	10	77	
7.0	100	44	2	282	17	77	
7.1	100	52	0	284	20	77	
7.2	100	46	0	287	23	77	
7.3	100	50	0	287	23	77	
7.4	98	55	0	287	23	77	
7.5	98	37	0	287	23	77	
7.6	98	40	0	287	23	77	
7.7	100	52	0	289	25	77	
7.8	94	41	0	282	16	77	
7.9	100	33	0	281	15	77	
8.0	100	9	11	274	10	78	
8.2	100	18	13	275	15	79	
8.3	100	20	0	274	14	79	
8.4	100	31	0	274	11	79	
8.5	98	19	21	273	14	81	
8.6	98	20	9	275	14	82	
8.7	96	18	0	275	14	82	
8.8	96	30	0	275	13	82	
8.9	98	51	0	275	13	82	
9.0	98	47	0	275	12	82	
9.1	98	57	0	274	12	82	
9.2	100	66	0	272	8	82	
9.4	100	54	0	269	6	82	
9.5	98	62	14	266	5	83	
9.6	100	62	15	267	7	84	
9.7	100	60	17	269	14	86	
9.8	100	75	6	266	11	87	
9.9	100	66	17	263	10	89	
10.0	100	77	8	270	18	90	
10.1	98	88	0	267	15	90	
10.2	100	79	0	262	9	90	
10.3	100	78	10	257	8	90	
10.4	100	62	21	254	12	92	
10.5	92	45	33	251	12	96	
10.6	70	51	8	246	12	96	
10.7	75	47	12	243	11	97	
10.8	74	43	9	242	11	97	
10.9	63	48	4	242	12	97	
11.0	67	44	4	240	10	97	
11.1	61	47	4	239	10	97	
11.2	59	49	0	236	8	97	
11.3	66	50	4	266	39	98	
11.4	72	58	0	267	37	98	
11.5	58	50	0	266	36	98	
11.6	60	48	0	265	35	98	
11.7	60	44	0	265	35	98	
11.8	63	49	0	265	35	98	
11.9	69	51	0	263	33	98	
12.0	60	42	0	263	32	98	
12.1	63	47	0	263	32	98	
12.2	63	52	0	262	31	98	
12.3	63	49	0	264	33	98	
12.4	64	48	0	264	33	98	
12.5	59	45	0	264	33	98	
12.6	61	47	0	264	33	98	
12.7	69	54	0	264	32	98	
12.8	62	51	0	263	32	98	
12.9	72	43	0	263	30	98	
13.0	85	38	0	263	29	98	
13.2	98	31	0	262	28	98	
13.3	80	12	0	262	27	98	
13.4	66	0	0	262	26	98	
13.5	73	18	0	258	19	97	
13.6	73	13	0	254	14	97	
13.7	73	22	8	253	14	98	
13.8	63	47	0	253	14	98	
13.9	61	47	0	253	12	98	
14.0	60	11	0	252	12	98	
14.1	62	2	8	252	11	99	
14.2	62	0	0	252	10	99	
14.3	57	32	5	251	11	99	
14.4	59	52	4	251	11	99	
14.5	66	59	5	250	11	99	
14.6	64	44	4	250	11	100	
14.7	66	48	2	250	11	100	
14.8	88	63	12	243	10	101	
14.9	100	75	4	245	17	101	
15.0	88	77	0	243	14	101	
15.1	65	53	0	239	11	101	
15.2	98	72	10	232	8	102	
15.3	96	67	14	221	5	102	
15.4	90	60	12	218	9	103	
15.5	79	52	15	219	13	103	
15.6	64	51	0	218	13	103	
15.7	64	49	0	218	12	103	
15.8	65	47	0	217	11	103	
15.9	70	47	0	217	11	103	
16.0	65	50	0	216	11	103	
16.1	100	82	0	212	6	103	
16.2	92	66	10	206	3	105	
16.3	100	45	41	199	6	107	
16.4	100	58	25	192	4	110	
16.5	100	63	22	188	3	112	
