
Pre-Reclaim: 240000

Sleep for 5000ms
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	59	0	50	283	23	96	
0.2	59	0	50	286	29	101	
0.3	62	0	48	288	32	107	
0.4	57	0	52	291	45	111	
0.5	59	0	47	294	47	116	
0.6	63	0	50	297	51	122	
0.7	60	0	49	301	56	127	
0.8	72	0	49	302	76	130	
0.9	62	0	49	306	80	136	
1.0	61	0	51	311	85	143	
1.1	60	0	46	315	89	150	
1.2	64	0	53	320	94	157	
1.3	61	0	51	326	100	164	
1.4	68	0	46	329	123	167	
1.5	85	0	44	333	126	173	
1.6	65	0	46	336	130	179	
1.7	67	0	48	340	134	185	
1.8	62	0	50	346	139	192	
1.9	62	0	48	350	143	198	
2.0	59	0	45	352	151	201	
2.1	66	0	46	352	164	203	
2.2	64	0	51	352	179	203	
2.3	59	0	50	356	185	208	
2.4	61	0	52	359	188	213	
2.5	65	0	50	361	190	219	
2.7	67	0	56	364	193	224	
2.8	61	0	52	366	195	230	
2.9	60	0	48	369	199	236	
3.0	72	0	42	371	201	241	
3.1	60	0	46	373	202	247	
3.2	76	0	45	376	205	253	
3.3	80	0	49	379	208	258	
3.4	58	0	53	381	210	263	
3.5	67	0	47	384	213	268	
3.6	62	0	47	386	236	271	
3.7	62	0	46	388	262	274	
3.8	42	0	5	388	267	274	
3.9	57	0	0	388	268	274	
4.0	7	0	0	388	268	274	
4.1	31	0	0	388	268	274	
4.2	28	0	0	388	268	274	
4.3	13	0	0	388	268	274	
4.4	7	0	0	388	268	274	
4.5	12	0	0	388	268	274	
4.6	13	0	0	388	268	274	
4.7	33	0	0	388	268	274	
4.8	18	0	0	388	268	274	
4.9	50	0	0	388	268	274	
5.0	13	0	0	388	268	274	
5.1	15	0	0	388	268	274	

Pre-Reclaim: 0

Sleep for 1000ms
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	17	0	0	388	268	274	
0.2	62	0	0	388	268	274	
0.3	23	0	0	389	268	274	
0.4	18	0	0	389	268	274	
0.5	42	0	0	389	268	274	
0.6	14	0	0	389	268	274	
0.7	13	0	0	389	268	274	
0.8	19	0	0	389	268	274	
0.9	16	0	0	389	268	274	
1.0	22	0	0	389	268	274	

Wait stablised tot.cpu < 50
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	20	0	0	389	268	274	
0.2	13	0	0	389	268	274	
0.3	9	0	0	389	268	274	
0.4	9	0	0	389	268	274	
0.5	12	0	0	389	268	274	
0.6	63	0	0	389	268	274	
0.7	35	0	0	389	268	274	
0.8	4	0	0	389	268	274	
0.9	43	0	0	389	268	274	
1.0	9	0	0	389	268	274	
1.1	20	0	0	389	268	274	
1.2	12	0	0	389	268	274	
1.3	9	0	0	389	268	274	
1.4	19	0	0	389	268	274	
1.5	38	0	0	389	267	274	
1.6	12	0	0	389	267	274	
1.7	5	0	0	389	267	274	
1.8	7	0	0	389	267	274	
1.9	15	0	0	389	267	274	
2.0	9	0	0	389	267	274	
2.1	13	0	0	389	267	274	
2.2	9	0	0	389	267	274	
2.3	9	0	0	389	267	274	
2.4	6	0	0	389	267	274	
2.5	5	0	0	389	267	274	
2.7	13	0	0	389	267	274	
2.8	12	0	0	389	267	274	
2.9	11	0	0	389	267	274	
3.0	7	0	0	389	267	274	
3.1	11	0	0	389	267	274	
3.2	13	0	0	389	267	274	
3.3	11	0	0	389	267	274	
3.4	9	0	0	389	267	274	
3.5	7	0	0	389	267	274	
3.6	11	0	0	389	267	274	
3.7	9	0	0	389	267	274	
3.8	7	0	0	389	267	274	
 is stablised at 0.7(s)


Fork Launching... "/usr/bin/wascmd -r QizQxC7CUf.PlayMovies" pid:2775
Wait until usr.cpu CPU usage < 30.0
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	59	 "QizQxC7CUf.Play" not found0	389	265	274	
0.3	66	 "QizQxC7CUf.Play" not found0	387	261	274	
0.5	95	0	0	385	254	273	
0.6	68	2	0	382	249	272	
0.7	92	25	0	365	229	272	
0.9	99	19	0	364	222	272	
1.0	100	24	0	364	218	272	
1.2	95	20	0	364	216	272	
1.3	84	24	0	363	212	272	
1.4	78	13	0	362	205	272	
1.5	76	20	0	361	201	272	
1.6	86	32	0	361	197	272	
1.7	65	6	0	361	197	272	
1.8	58	4	0	360	196	272	
1.9	58	0	0	360	196	272	
2.0	77	23	0	360	196	272	
2.2	92	29	0	360	196	272	
2.3	64	11	0	360	196	272	
2.4	61	0	0	360	196	272	
2.5	53	0	0	360	196	272	
2.6	85	32	0	359	194	272	
2.7	84	33	0	358	192	272	
2.8	94	44	0	357	190	272	
2.9	98	52	0	354	187	272	
3.0	85	46	0	350	182	272	
3.1	100	52	0	340	173	272	
3.2	100	44	0	335	168	272	
3.3	98	47	0	329	161	272	
3.4	95	38	0	325	157	272	
3.5	94	43	0	330	162	272	
3.6	90	41	0	329	162	272	
3.7	87	43	0	329	161	272	
3.8	92	41	0	329	160	272	
3.9	94	43	0	324	153	272	
4.0	94	31	0	324	154	271	
4.2	98	12	0	324	151	271	
4.3	100	7	0	319	144	271	
4.4	100	15	0	320	141	270	
4.5	98	19	0	320	139	270	
4.6	96	23	0	319	136	270	
4.7	98	44	0	317	131	270	
4.8	100	34	0	313	126	270	
4.9	98	31	0	313	122	269	
5.1	97	22	0	312	118	269	
5.2	79	21	0	312	118	269	
5.3	62	0	0	312	117	269	
5.4	64	4	0	312	116	269	
5.5	68	6	0	312	115	269	
5.6	16	7	0	312	115	269	
5.7	29	11	0	311	114	269	
5.8	34	15	0	311	114	269	
5.9	34	17	0	311	114	269	
6.0	31	17	0	310	113	269	
6.1	34	21	0	309	112	269	
6.2	78	61	0	307	110	269	
6.3	66	60	0	306	108	269	
6.4	65	47	0	301	103	269	
6.5	59	52	0	307	110	269	
6.6	65	56	0	308	110	269	
6.7	84	69	0	301	104	269	
6.8	100	84	0	297	99	269	
6.9	100	88	0	285	87	269	
7.0	100	87	0	278	80	269	
7.1	100	88	0	269	71	269	
7.2	100	90	0	262	64	269	
7.3	94	81	0	253	55	269	
7.4	94	71	0	236	38	269	
7.5	66	46	0	236	38	269	
7.6	59	47	0	235	37	269	
7.7	64	50	0	233	35	269	
7.8	61	52	0	233	35	269	
7.9	59	49	0	232	34	269	
8.0	59	54	0	228	30	269	
8.1	60	52	0	231	33	269	
8.2	69	54	0	233	35	269	
8.3	63	57	0	236	38	269	
8.4	76	58	0	239	41	269	
8.5	62	49	0	239	41	269	
8.6	68	47	0	238	40	269	
8.7	65	54	0	238	39	269	
8.8	63	49	0	237	39	269	
8.9	67	56	0	237	38	269	
9.0	63	51	0	236	37	269	
9.2	73	46	0	236	38	269	
9.3	100	37	0	235	36	269	
9.4	96	33	0	234	34	269	
9.5	92	38	0	233	33	269	
9.6	73	0	0	233	32	269	
9.7	68	10	0	230	25	269	
9.8	85	26	0	226	19	269	
9.9	75	40	0	226	19	269	
10.0	71	48	0	226	19	269	
10.1	60	29	0	225	18	269	
10.2	58	0	0	224	17	269	
10.3	88	0	0	224	15	269	
10.4	96	2	0	222	11	269	
10.5	90	25	0	221	8	269	
10.6	88	45	0	220	6	269	
10.7	94	27	13	220	5	270	
10.8	100	40	8	221	7	271	
10.9	98	44	0	220	7	271	
11.0	96	46	0	224	10	271	
11.1	100	56	0	247	33	271	
11.2	100	57	0	245	32	271	
11.3	100	60	6	239	26	271	
11.4	100	46	10	243	32	272	
11.5	100	35	0	243	31	272	
11.6	98	42	0	242	31	272	
11.7	100	47	0	241	30	272	
11.8	100	40	0	241	29	272	
11.9	100	42	0	240	28	272	
12.0	90	44	0	240	27	272	
12.1	98	49	0	243	30	272	
12.2	100	46	0	244	31	272	
12.3	100	48	0	247	34	272	
12.4	100	40	0	250	37	272	
12.5	100	42	0	250	36	272	
12.6	98	42	0	249	36	272	
12.7	100	40	0	249	35	272	
12.9	98	23	0	248	35	272	
13.0	100	35	0	247	34	272	
13.1	100	48	0	244	31	272	
13.2	100	67	0	239	26	272	
13.3	94	58	0	233	18	272	
13.4	100	56	3	218	3	272	
13.5	100	36	18	218	4	275	
13.6	100	37	19	217	5	277	
13.7	100	38	20	212	3	280	
13.8	100	41	22	211	3	281	
13.9	100	42	24	209	3	283	
14.0	100	33	21	216	12	285	
14.1	98	44	9	221	16	286	
14.3	100	55	0	220	16	286	
14.4	100	52	0	221	16	286	
14.5	100	41	0	217	12	286	
14.6	100	32	0	217	12	286	
14.7	98	2	0	217	12	286	
14.8	100	0	0	217	12	286	
14.9	100	0	0	217	12	286	
15.0	100	10	0	216	11	286	
15.1	100	34	0	215	10	286	
15.2	100	42	0	217	12	286	
15.3	94	35	0	225	18	286	
15.4	96	25	10	235	25	287	
15.5	100	42	0	235	25	287	
15.6	100	43	0	234	25	287	
15.7	90	31	2	234	22	287	
15.8	100	30	18	233	21	288	
15.9	100	59	12	229	18	289	
16.0	100	56	0	224	13	289	
16.1	100	52	0	221	10	289	
16.2	96	46	0	220	9	289	
16.3	100	52	0	217	6	289	
16.4	100	35	15	213	4	290	
16.5	100	34	20	214	5	292	
16.6	94	29	15	214	7	294	
16.7	62	4	0	214	7	294	
16.8	61	0	0	214	7	294	
16.9	62	0	0	214	7	294	
17.0	84	28	0	214	7	294	
17.1	100	52	0	217	10	294	
17.3	100	40	0	229	22	294	
17.4	100	42	0	236	28	294	
17.5	100	43	0	236	28	294	
17.6	100	44	0	236	28	294	
17.7	100	50	0	232	25	294	
17.8	100	63	0	227	19	294	
17.9	98	61	0	220	12	294	
18.0	100	61	0	218	10	294	
18.1	100	63	0	216	9	294	
18.2	98	56	0	215	7	294	
18.3	100	37	0	215	7	294	
18.4	100	48	0	215	7	294	
18.5	100	54	10	215	6	295	
18.6	98	39	24	216	10	298	
18.7	100	50	0	215	9	298	
18.8	100	52	0	217	12	298	
18.9	65	6	0	221	15	298	
19.0	63	0	0	221	15	298	
19.1	62	2	0	221	15	298	
19.2	60	0	0	221	15	298	
19.3	59	0	0	221	15	298	
19.4	68	4	0	221	15	298	
19.5	70	10	0	226	21	298	
19.6	66	9	0	227	22	298	
19.8	64	2	0	229	23	298	
19.9	62	2	0	230	24	298	
20.0	61	0	0	230	24	298	
20.1	60	0	0	230	24	298	
20.2	60	0	0	230	24	298	
20.3	58	0	0	230	24	298	
20.4	65	0	0	230	24	298	
20.5	63	0	0	230	24	298	
20.6	72	0	0	230	24	298	
20.7	58	0	0	230	24	298	
20.8	61	0	0	230	24	298	
20.9	12	0	0	230	24	298	
21.0	10	0	0	230	24	298	
21.1	14	0	0	230	24	298	
21.2	7	0	0	230	24	298	
21.3	4	0	0	230	24	298	
21.4	18	2	0	230	24	298	
21.5	10	0	0	230	24	298	
21.6	12	0	0	230	24	298	
21.7	9	0	0	230	24	298	
21.8	10	0	0	230	24	298	
21.9	11	0	0	230	24	298	
22.0	4	0	0	230	24	298	
/usr/bin/wascmd -r QizQxC7CUf.PlayMovies is stablised at 18.9(s)


Sleep for 3000ms
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	9	0	0	230	24	298	
0.2	11	0	0	230	24	298	
0.3	13	0	0	230	24	298	
0.4	18	0	0	230	24	298	
0.5	7	0	0	230	24	298	
0.6	14	0	0	230	24	298	
0.7	9	0	0	230	24	298	
0.8	7	0	0	230	24	298	
0.9	12	0	0	230	24	298	
1.0	17	0	0	230	24	298	
1.1	22	0	0	229	23	298	
1.2	17	0	0	229	23	298	
1.3	5	0	0	229	23	298	
1.4	7	0	0	229	23	298	
1.5	10	0	0	230	23	298	
1.6	15	0	0	230	23	298	
1.7	12	0	0	230	23	298	
1.8	5	0	0	230	23	298	
1.9	7	0	0	237	30	298	
2.0	9	0	0	237	30	298	
2.1	11	0	0	237	31	298	
2.2	4	0	0	237	31	298	
2.3	15	0	0	237	31	298	
2.4	22	0	0	237	31	298	
2.5	0	0	0	237	31	298	
2.6	10	0	0	238	31	298	
2.7	7	0	0	238	31	298	
2.8	8	0	0	238	31	298	
2.9	16	0	0	238	31	298	
3.0	10	0	0	238	31	298	

Wait stablised tot.cpu < 50
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	9	0	0	238	31	298	
0.2	22	0	0	237	30	298	
0.3	8	0	0	237	30	298	
0.4	10	0	0	237	30	298	
0.5	14	0	0	237	30	298	
0.6	7	0	0	237	30	298	
0.7	15	0	0	237	30	298	
0.8	9	0	0	237	30	298	
0.9	10	0	0	237	30	298	
1.0	7	0	0	237	30	298	
1.1	7	0	0	237	30	298	
1.2	2	0	0	237	30	298	
1.3	12	0	0	237	30	298	
1.4	10	0	0	237	30	298	
1.5	9	0	0	237	30	298	
1.6	9	0	0	237	30	298	
1.7	14	0	0	237	30	298	
1.8	9	0	0	237	30	298	
1.9	34	0	0	237	30	298	
2.0	77	0	0	236	29	298	
2.1	10	0	0	236	29	298	
2.2	12	0	0	236	29	298	
2.3	5	0	0	237	30	298	
2.4	43	0	0	238	30	298	
2.5	7	0	0	238	30	298	
2.6	7	0	0	238	30	298	
2.7	10	0	0	238	30	298	
2.8	6	0	0	238	30	298	
3.0	23	0	0	238	30	298	
3.1	17	0	0	238	30	298	
3.2	15	0	0	238	30	298	
3.3	9	0	0	238	30	298	
3.4	4	0	0	238	30	298	
3.5	10	0	0	238	30	298	
3.6	20	0	0	238	30	298	
3.7	12	0	0	238	30	298	
3.8	18	0	0	238	30	298	
3.9	13	0	0	238	30	298	
4.0	7	0	0	239	31	298	
4.1	11	0	0	239	31	298	
4.2	7	0	0	239	31	298	
4.3	15	0	0	241	33	298	
4.4	4	0	0	241	33	298	
4.5	12	0	0	241	33	298	
4.6	10	0	0	241	33	298	
4.7	11	0	0	241	33	298	
4.8	9	0	0	241	33	298	
4.9	4	0	0	241	33	298	
5.0	12	0	0	242	34	298	
5.1	29	0	0	242	34	298	
5.2	25	0	0	242	34	298	
 is stablised at 2.1(s)


AUL Launching... "org.tizen.tv-viewer"
Wait until usr.cpu CPU usage < 50.0

Sleep for 3000ms
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	94	0	0	234	28	298	
0.2	96	0	7	234	27	298	
0.3	96	0	9	235	27	299	
0.4	94	0	0	234	24	298	
0.5	92	0	0	234	23	298	
0.6	100	0	0	234	22	298	
0.7	98	0	0	234	22	298	
0.8	98	0	0	232	21	298	
0.9	94	0	4	233	22	299	
1.0	86	0	0	233	22	299	
1.1	65	0	0	233	21	299	
1.2	65	0	0	233	21	299	
1.3	13	0	0	233	21	299	
1.4	11	0	0	233	21	299	
1.6	10	0	0	233	21	299	
1.7	12	0	0	233	21	299	
1.8	13	0	0	233	21	299	
1.9	17	0	0	233	21	299	
2.0	12	0	0	233	21	299	
2.1	14	0	0	233	22	299	
2.2	72	0	0	234	22	299	
2.3	90	0	0	288	76	299	
2.4	88	0	0	302	90	298	
2.5	82	0	0	309	96	298	
2.6	42	0	0	332	118	298	
2.7	18	0	0	332	119	298	
2.8	9	0	0	332	119	298	
2.9	16	0	0	332	119	298	
3.0	16	0	0	332	119	298	
3.1	16	0	0	332	119	298	

Pre-Reclaim: 150000

Sleep for 5000ms
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	69	0	48	354	176	306	
0.2	59	0	52	356	183	307	
0.3	43	0	35	358	188	308	
0.4	15	0	0	358	189	308	
0.5	20	0	0	358	189	308	
0.6	20	0	0	358	189	308	
0.7	12	0	0	358	189	308	
0.8	15	0	0	358	189	308	
0.9	16	0	0	358	189	308	
1.0	12	0	0	358	189	308	
1.1	14	0	0	358	189	308	
1.2	18	0	0	358	189	308	
1.3	9	0	0	358	189	308	
1.4	12	0	0	358	189	308	
1.5	18	0	0	358	189	308	
1.6	16	0	0	358	189	308	
1.7	14	0	0	358	189	308	
1.8	14	0	0	358	188	308	
1.9	12	0	0	358	189	308	
2.0	14	0	0	358	189	308	
2.1	11	0	0	358	189	308	
2.2	9	0	0	358	189	308	
2.3	14	0	0	358	189	308	
2.4	12	0	0	358	189	308	
2.5	13	0	0	358	189	308	
2.6	15	0	0	358	189	308	
2.7	14	0	0	358	189	308	
2.8	9	0	0	358	189	308	
3.0	7	0	0	358	189	308	
3.1	11	0	0	358	189	308	
3.2	14	0	0	358	189	308	
3.3	12	0	0	358	189	308	
3.4	18	0	0	358	189	308	
3.5	9	0	0	358	189	308	
3.6	15	0	0	358	189	308	
3.7	9	0	0	358	189	308	
3.8	18	0	0	358	189	308	
3.9	16	0	0	358	189	308	
4.0	9	0	0	358	189	308	
4.1	16	0	0	358	189	308	
4.2	11	0	0	358	189	308	
4.3	12	0	0	358	189	308	
4.4	20	0	0	358	189	308	
4.5	16	0	0	358	189	308	
4.6	11	0	0	358	189	308	
4.7	12	0	0	358	189	308	
4.8	14	0	0	358	189	308	
4.9	9	0	0	358	189	308	
5.0	18	0	0	358	189	308	
5.1	14	0	0	358	189	308	

Pre-Reclaim: 0

Sleep for 1000ms
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	11	0	0	358	189	308	
0.2	9	0	0	358	189	308	
0.3	17	0	0	358	189	308	
0.4	12	0	0	364	194	308	
0.5	19	0	0	364	194	308	
0.6	18	0	0	364	194	308	
0.7	9	0	0	364	194	308	
0.8	12	0	0	364	194	308	
0.9	16	0	0	364	194	308	
1.0	7	0	0	364	194	308	

Wait stablised tot.cpu < 50
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	17	0	0	364	194	308	
0.2	9	0	0	364	194	308	
0.3	18	0	0	364	194	308	
0.4	15	0	0	364	194	308	
0.5	10	0	0	364	194	308	
0.6	19	0	0	364	194	308	
0.7	17	0	0	364	194	308	
0.8	10	0	0	364	194	308	
0.9	10	0	0	364	194	308	
1.0	13	0	0	364	194	308	
1.1	15	0	0	364	194	308	
1.2	14	0	0	364	194	308	
1.3	14	0	0	364	194	308	
1.4	16	0	0	364	194	308	
1.5	20	0	0	364	194	308	
1.6	9	0	0	364	194	308	
1.7	9	0	0	364	194	308	
1.8	9	0	0	364	194	308	
1.9	14	0	0	364	194	308	
2.0	20	0	0	364	194	308	
2.1	12	0	0	364	194	308	
2.2	20	0	0	364	194	308	
2.3	12	0	0	364	194	308	
2.4	11	0	0	364	194	308	
2.5	11	0	0	364	194	308	
2.6	14	0	0	364	194	308	
2.7	14	0	0	364	194	308	
2.8	15	0	0	364	194	308	
3.0	11	0	0	364	194	308	
3.1	18	0	0	364	194	308	
3.2	9	0	0	364	194	308	
 is stablised at 0.1(s)


AUL Launching... "org.volt.apps"
Wait until usr.cpu CPU usage < 30.0
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.4	57	0	0	365	184	308	
0.5	48	33	0	364	179	308	
0.6	62	53	0	363	178	308	
0.7	63	52	0	361	176	308	
0.8	59	37	0	357	170	308	
0.9	67	48	0	358	171	308	
1.0	58	48	0	354	167	308	
1.1	59	49	0	354	167	308	
1.2	58	52	0	354	167	308	
1.3	57	52	0	354	167	308	
1.4	59	52	0	353	166	308	
1.5	80	45	0	352	165	308	
1.6	61	47	0	352	165	308	
1.7	57	55	0	352	164	308	
1.9	63	43	0	352	164	308	
2.0	62	51	0	350	162	308	
2.1	59	51	0	348	160	308	
2.2	60	51	0	347	160	308	
2.3	61	51	0	348	160	308	
2.4	92	49	0	347	159	308	
2.5	86	51	0	346	156	308	
2.6	58	56	0	344	155	308	
2.7	63	49	0	343	154	308	
2.8	63	47	0	343	154	308	
2.9	67	51	0	343	153	308	
3.0	62	45	0	342	151	308	
3.1	60	49	0	340	149	308	
3.2	71	49	0	339	145	308	
3.3	93	72	0	335	139	308	
3.4	96	80	0	332	135	307	
3.5	57	50	0	332	136	307	
3.6	58	54	0	332	135	307	
3.7	62	50	0	331	134	307	
3.8	66	53	0	330	134	307	
3.9	83	68	0	329	131	307	
4.0	60	50	0	329	130	307	
4.1	70	40	0	328	130	307	
4.2	62	38	0	328	129	307	
4.3	73	41	0	328	129	307	
4.4	67	52	0	327	129	307	
4.5	80	50	0	325	126	307	
4.6	100	69	0	324	124	307	
4.7	98	53	0	316	114	307	
4.9	100	29	0	316	113	307	
5.0	100	36	0	316	113	307	
5.1	100	30	0	316	112	307	
5.2	98	0	0	315	111	307	
5.3	100	2	0	314	109	307	
5.4	100	2	0	314	108	307	
5.6	98	9	0	314	108	307	
5.7	98	13	0	313	107	307	
5.8	100	13	0	312	106	307	
5.9	100	28	0	312	105	307	
6.0	100	36	0	312	105	307	
6.1	100	29	0	312	105	307	
6.2	100	27	0	310	103	307	
